[00:00.430] 2020年
[03:41.130] 手刹标识是解除提起来提起来，以前是采取集起来对吧？我不解除直接开也可以没问题，它是电子手刹挂咋查它是自动解除的，但是我要是拉手刹是必须要按一下是吧？不是
[03:54.410] 也不用，因为
[03:56.770] 停完车咱们会归到P档，依规在P档它自动开灭车祸开门股价代码它就自动上，行了，对名单不用管，都是建成电子的，对。
[04:08.120] 右上角是雾灯，这是橙色小灯提示，
[04:12.240] 下面这个是仪表盘的亮度调整，上下旋转，
[04:16.120] 这都差不多，对，转灯雨刷器也基本上一样，胆敢就是后雨刷的，以前是一小横膈是上下班的，对就会变成这个了，一下是。
[04:27.290] 这也有提示，好，
[04:29.860] 这提示三一下，关左侧这个是常用的后脑玻璃水，
[04:34.220] 以前你不是搬到上下死水位是吗？这个是长就变成后窗玻璃坏了后对前面还是一样的，往人对吧？亮光放松。
[04:45.440] 方向盘调整这个车也是电控，但他是就这么点小，反感特别大，我知道一个前后的高低，
[04:54.480] 中控的话变化稍微
[04:57.700] 有点大，以前世上只有4个箭头，中间是OK，这回变成主界面小房子，
[05:04.220] 这个黑色按键变成触屏键，直接滑动选了，直接确认
[05:09.650] 电话导航，
[05:11.210] 收音机、媒体这几项和右侧是完全一样的，行程里还是之前的一些基础信息里程数？
[05:18.040] 当年车速
[05:20.120] 剩余油量、续航里程，车辆的一个能耗记录，
[05:24.020] 车辆的驾驶习惯记录，
[05:26.200] 百公里油耗平均速度驾驶人公里数，
[05:28.880] 总里程计划价值性功能数，这一圈也会对应的转回来，根据需求去选择合适的一个
[05:35.030] 信息。
[05:36.160] 然后保养里面看一下
[05:38.890] 车辆基础信息提示，行驶一段时间，首先会有4个轮胎的压力值，包括咱们快到保养提示，
[05:47.000] 冷却液机油其实都会有定，中文主题指的是咱们车辆仪表盘的风格，
[05:54.120] 现在是运动是黄色的，根据喜好切换成经典蓝色，
[05:58.480] 或者是
[05:59.720] 超级运动，
[06:01.710] 但是显示的状态不太一样，根据您的喜好去调整。
[06:05.880] 内容都一样的不一样，对内容基本一样，就是与校方的风格有变化，对根据消化器切换，
[06:12.070] 一般可能
[06:13.560] 第一个第二个用的多一些多一点，
[06:17.600] 岗位没有任何变化都是没问题的。
[06:21.690] 巡航定速和限速，老的叫OK，下面还有一个长胆敢对
[06:26.790] 按一下亮灯后不亮灯是定做，下次的切换，这会变成这个你知道吗？往上推。
[06:33.060] 小婊标志是定速，下垂是限速，中间都是设定功率数，上下调整，左侧上推确定下可以取消，只是变成在这儿了。
[06:44.130] 雷达是肯定不一样了，说一下雷达，
[06:48.330] 这个车雷达是360度，咱们随着距离的接近，雷达会在右边，大屏首先自动弹屏出现，
[06:55.710] 是这样的了，离得越近颜色越深，红格亮警报小，
[07:02.640] 30公分的车距，这一圈对4周哪里进来都会有。
[07:08.120] 倒影应该是一样的，对，这都没问题。
[07:11.990] 停好车安全测评案件归档，
[07:14.800] 然后灭车就可以了。
[07:16.760] 右边这个大屏幕开关变成这个案件了，往下尝试开启或断电，
[07:22.550] 我就不关了，操作的话，
[07:24.830] 一个是这三个案件，一个是中控板，以前是个缘由，对明白了。
[07:30.430] 小房子对于现在的天主界面在这儿左右滑动，以前您这是左右转上下班直接上下左右滑动就可以了，
[07:39.790] 同时变成触屏，直接点就会这也可以控制，这可以从这段三个都可以来个电话给你联重，
[07:47.820] 您把手机打开蓝牙，我把来电话给您连好。
[07:54.340] 说说您开一下蓝牙。
[07:57.380] 我看您这个叫什么名字。
[08:00.820] 我觉得
[08:02.460] 干里克斯hot直接点设备连接，
[08:06.610] 它会自动查这事之前谁练过的给您取消了，
[08:13.400] 这也是一个。还有一个
[08:15.720] 这是谁都不知道，这件事我不能说。
[08:21.530] 然后连接新设备，
[08:23.280] 他就会这个是您的选重点配对，它会提示您的手机签订，
[08:30.580] 然后点一个统一称号。
[08:33.310] 没错。
[08:35.370] 联系通话记录电话本会同步在车内，
[08:38.540] 电池电量移动信号出现了，这里是您手机所有的通讯录
[08:42.880] 就导入了，先生在您手机存在叫什么？
[08:46.980] 行行就一个字，行对您说行就行，是这样，这个车多了声控系统打电话的话，咱们直接用语音就叫嚣是吗？还是萧小潇明白了。
[09:02.470] 这个案件是咱们的声控系统上推，首先我给您做个演示，首先上推
[09:10.740] 呼叫
[09:13.160] 请告诉。
[09:14.280] 想要拨打的号码。
[09:15.470] 马。
[09:15.760] 或者联系人的名称。
[09:17.230] 称肖晓潇。
[09:21.320] 请您选择一个联系人。
[09:23.150] 两个你就点一个，如果是一个他有一个他直接就说道没错了。
[09:27.190] 了呼叫加名字，但一定是先上推，它都医生以后开始识别语音命令，咱们说话的时候尽量冲着上面一点时间在这个位置。
[09:36.770] 除此之外导航也是一样的，上推
[09:41.540] 导航
[09:44.080] 请告诉我您想输入的目的地。
[09:46.580] 金融街、
[09:51.070] 请选择一条街。
[09:52.680] 记录找您自己需求。
[09:55.660] 取消的话咱们就点那小叉子就可以，而且它是实景导航。
[10:00.460] 这个是用的高德的是吧？不是高德车载没有光泽的，没错。
[10:06.050] 对，收音机调频都是存好的，直接左右滑动，快速切换着都一样。
[10:11.550] 音量上大下小，这也是一致的。
[10:14.330] 找到喜欢的波段存储，直接点小加号，
[10:17.200] 进来了清除常用选项删除，或者咱们用声控去改变。
[10:24.910] Fm94.5，
[10:29.650] 都可以。
[10:30.880] 包括车里的空调温度改变，
[10:36.100] 请将空调调整为22度，
[10:41.810] 好的。
[10:42.780] 我把驾驶员侧温度调到22度。
[10:46.230] 他可以切换过来或者咱们氛围灯的改变，
[10:52.970] 请将环境氛围灯调整为
[10:55.700] 绿色
[11:00.440] 好的。
[11:01.420] 我来改变氛围照明颜色。
[11:03.640] 都是可以的。
[11:04.920] 这个声控其实挺强大的，那列完您的手机蓝牙了，如果咱们手机听歌的话，一定记住选择媒体，
[11:11.590] 它默认的是您的手机歌曲，用手机的任何播放器放歌都可以，听U盘就选择USB就可以了。
[11:17.990] 再有的话，
[11:20.250] 车辆理功能是相对多一些的。
[11:23.530] 首先快速访问里有几个大项，这个是雷达关闭，我刚才一进了雷达有对应的黄橙红小编提示这个案件关掉以后，全车雷达关没有什么提示，这个没有客观的。
[11:35.050] 我倒车的时候我要关了的话它也不提示，对，就没有管着就是光合开两个概念，
[11:41.530] 这个是车道保持正常，开车并线应该先看场灯后打方向盘，如果您没有开展动前提下，你说我就摆轮过了，轮胎一旦压到两侧的实现放盘，这时候我轻微震动提示代表跑偏了，
[11:55.120] 越野车多了一个，他们会纠正我是吧？他只是震一下，对这个是
[12:00.650] 陡坡环境遇到
[12:02.780] 这种极限路段下长陡坡，以前可能就是靠踩刹车控制车速下去，这时候启用这个功能首先开启，
[12:10.100] 他有一个工作范围值是在两公里到18公里之间，就用中间按键上下去设定速度，它就控制好速度，对设定好速度，车辆安全速度缓慢下行，通过这种特殊路段手动关闭就行了，
[12:22.780] 这个车空踩刹车了是吧？越野车
[12:25.590] 底盘要相对高着，有一个方便上下车的功能，上车时自动降低底盘，保证开启游戏就开始就行了。
[12:34.460] 还有一个
[12:35.440] 洗车机模式，
[12:36.910] 以前进洗车机可能手动干净的光玻璃天窗等等一系列的东西，咱们在
[12:43.370] 进行吸脂前点意见全部自动关闭，雷达也都会关掉，
[12:48.360] 出了几个地打开就行了，火车D盘也会上升。
[12:51.640] 对方便您操作了，辅助乡里
[12:56.040] 都是车的主动安全，然后
[12:58.890] 不需要做任何的关闭或变更。
[13:01.500] 车辆里全都是小的这些功能设定，轮胎不用管，因为不是冬季胎，不是加沙地带不换冬季胎，
[13:09.810] 包括之前的安全带调节，记一下有预警，锁车喇叭显示有体制，
[13:15.110] 车速达到15公里，中途自动锁止，
[13:17.840] 坐车镜子自动收回，
[13:20.080] 加油站提示都会有。
[13:22.320] 照明里边的话第一项就是氛围灯，颜色实际上咱们是64册的一个色板，
[13:28.950] 喜欢什么色你去点它自动就见面了，这多动态是什么？
[13:35.280] 选择多色彩，它有大的选项，它颜色会有一个小的见面，
[13:40.790] 根据喜好来调整，如果说相对会跳一点，
[13:44.720] 你需要去调行，没有固定的标准，亮度是冯登登彼岸
[13:50.270] 越低越其实暗一点就可以，晚上很烂，对。
[13:55.630] 有一半估计都亮，等会儿您自己再调整一下。
[13:59.150] 还有就是锁车走的同时，大灯照亮一会儿自动熄灭，建议15秒够用了。
[14:04.840] 车那些是也直接用的，包括刚才咱们
[14:08.430] 定有大楼到底登，这都是默认开启的。
[14:11.820] 系统里的时间我跟您核对一下，
[14:17.560] 市区应该调过了，没问题，表示自动的都不管了。
[14:21.760] 用户手册实际上就是车的电子版，车书有时间等人在这做个定理学习都没有问题的。
[14:27.750] 这一行是咱车辆空调的手动调整，首先蓝空店头温度左右上架下点现实是吧？
[14:35.850] 对这个是风量最大是7关，的确念观照头，
[14:42.410] 开的话其实都OK自动空调设定合适温度点亮凹凸见车内一直保持，
[14:48.670] 遇到起雾前后窗除点亮即可。
[14:51.880] 对现在外循环亮灯内循环制冷一定开AC不亮灯的时候，这根尖左右是分区空调，
[14:59.930] 亮灯就变成冲突状态了，这就是原来纵的概念。
[15:05.390] 这个是图是显示
[15:07.920] 还是这些功能直接在这手动去点就可以了。
[15:11.200] 这个车
[15:12.690] 新的GRE和G2S做了一个功能，叫做雾霾终结者模式，
[15:18.390] 他会一直保证开启车内会做一个二次过滤的尽快。
[15:23.580] 对，此外如果空质量非常不好的话，车内温暖质量也会非常强，我也不用管它，谁知
[15:34.870] 这个天比较好，不觉这天不好的时候就差非常大。
[15:39.740] 然后多了无线充电功能，苹果的手机8以上的或者安卓系统带有这个功能的，我看我这
[15:47.520] 您只要放着它会自动
[15:51.780] 还真冲上，他到时候照也会有中文提示，对店中店一起用。
[15:57.020] 对，只要有这功能，你要放那就都行。
[16:00.130] 你这个
[16:02.490] 只要有这功能搁这都应该可以充。
[16:05.340] 后面那半截他那什么回家事情，
[16:08.590] 后头好像还有一个什么
[16:10.600] 后头打开的邮件的，对，中间那不是我打开。
[16:16.020] 对。
[16:17.490] 不是，是交建上市。
[16:22.750] 对，有的话也可以行行。
[16:25.160] 然后这个车它换成这种ppc口了，如果咱们是手机数据线充电，需要买一个tp的转换头才可以使用
[16:33.180] 两个杯托，然后不用的话咱们关闭就可以。
[16:37.190] 中空条出风口，小贷小白现世开启，
[16:41.020] 黑色的是关闭角度，咱们就上左调整OK了。
[16:44.700] 对这些对应都是快捷键，导航一键进入，包括收音机和蓝牙音频是一个按一下蓝牙赞一下收音机，
[16:55.000] 电话，
[16:56.730] 这个是小的一个收藏。
[16:59.430] 这个屏幕的图标跟您自己的喜好去重新排列顺序的，跟手机的APP知道，反正按照就快速到这个位置了，也可以去手动去切换界面，
[17:10.880] 驾驶模式，
[17:12.810] 所以是C字母上下咱们选择
[17:16.140] 由低到高，分别由高到低，这么说，第一个就是湿滑，
[17:20.670] 雨雪天会用的比较多，个性化设置不下不开手挡一般很少使用，
[17:26.250] 包括正常咱们用的书模式，
[17:28.720] 运动模式，还有运动增强听
[17:32.950] 发动机的排气是明显有变化的，是动力最强的，相对油耗也高。
[17:38.260] 所以上面
[17:40.100] 还有一个
[17:41.240] 临到模式，这个就是根据您的不同路段去选择，在网上还有一个
[17:47.630] 沙地模式，
[17:48.840] 根据实际的
[17:50.400] 开车情况去选择不同的模式建议的话，城区就是C雨雪天湿滑，
[17:56.030] 那两个可能在比较突出的路段应该会选一道，
[18:01.430] 这个是手动档，
[18:03.580] 也是拨片换挡，D是正常的状态，自动想开手挡，按一下M往下搬一下亮灯，他会全程M状态，现在换对拨片左右，
[18:15.290] 右侧家长左侧点一般用的很少，
[18:17.590] 知道一下就行。
[18:19.460] 然后第二个
[18:22.120] 就是一st车身稳定动态系统，
[18:24.670] 默认开启，
[18:26.190] 关闭以后这会有提示，
[18:28.710] 建议不管除非说您是下载到做激烈驾驶，一般谁知
[18:35.630] 这是手动升降底盘，城区的话想单独升地盘就上推，他也会有车载提示。
[18:42.930] 对，现在再生再生对基本上呈需要什么，您要走极限路段，可能跟阿里巴巴的人对他托底，所以就升起来。
[18:54.900] 一般程序用不上，指导一下。
[18:57.270] 这个是悬挂状态。
[18:59.260] 它是分
[19:00.750] 也是快捷的一个调整状态都是一样的，对这个标识是没有用的。
[19:09.260] 这里还有一个tbc的
[19:11.140] 转接口后可能还有
[19:14.200] 上面这一行对应的都是灯光，是一下都对左侧跟梅区别一样，对设定他们量都有危险时候在一直
[19:25.280] 这个是有危险
[19:36.170] 出去玩旅程的咨询服务，有客服的是对，他是人工24小时练功，24小时接电话的号码。
[19:43.200] 什么互联还会陆续有费用是吧？
[19:46.490] 对40以后会后台会主动联系您有标准，对最重要的其实我觉得是道路救援，车如果抛锚的话，案发后才会车辆定位的，
[19:56.630] 而且这个范围它是全国性质三年免费消费，算算是这样，听说扔钱一样就是变成全景了。
[20:04.700] 这联是从前一直开到后，以前不是这样，这也是对开的，现在没有感了。
[20:10.650] 但是也有个更但是就够了是吧？
[20:14.250] 支撑加强的还是有，还有对他就变成这样了，上推还是刷起。
[20:20.500] 对后台平台都是一样的，
[20:22.880] 完全一致，反之还两下就行了，同时也是电子防炫目后视镜，
[20:29.030] 坐椅子侧面这个位置
[20:31.380] 有一个圆角，
[20:33.100] 这要是腰部支撑的对吧？
[20:36.680] 这都一致。
[20:41.130] 其他的看看
[20:42.800] 好像也没用，上面那个东西是不是要装上，有一个平板在储运还没拿，他因为三星的一个平板，他装完以后他两边都能割，显示的内容和这个是一样，是方便后排操作，我知道他反正装上去就行了，放我也不用再设计，不用做任何事叫什么？
[21:01.080] 到处
[21:02.590] 比如说前面有人碰瓷的叫兰亭，您的基本意义你看一看说一下行车记录仪是在这原车自带的，
[21:13.140] 在这里
[21:16.320] 看一下，但是
[21:19.430] 咱们原车是不带存储器的，所以您得买一个USB的存储器，但他一定得是三星的，
[21:27.310] 才能插上才能读取，对回头您插了以后他是TESCO的，对TESCO的三星的，然后您可以买一个选择内存稍微大一点的，装上以后直接插着KFC就可以，同时任何一个都可以是吧？
[21:42.680] 同时的话它会让您自己选是选择多次录像还是一次性连续录像？
[21:47.670] 对，看的话应该都是在这自动看的，但是您得去单买一个原车不配。
[21:54.150] 因为刚开始
[21:55.400] 游码。
[21:57.710] 对他会重复的路一个时间段为节点，
[22:00.810] 因为之前有客户买这普通USB插上可能根本就不识别，后来查了一下才知道必须买三星的这点。
[22:08.590] 到时间弄错了。
[22:10.180] 对，买头你可以先拿试一下。
[22:13.350] 这个是原车带的，
[22:16.450] 其他的也就没什么了，看看您这边有哪些需求，还有说在了解的。
[22:23.390] 我待会会给您留个电话，后期用车如果出现哪不明白的，咱们及时沟通也可以，行行刘对吧？
[22:31.450] 没事，我待会您接我电话，139。
[22:34.940] 对。
[22:36.800] 这是微信号码的，也是微信号。
[22:39.340] 您打一个微信里面会有，您加我就行。
[22:45.630] 然后什么排气什么生什么是不能调的是吧？对。
[22:51.410] 反正只要是运动09分1066961，
[22:56.240] 那个是根据您的驾驶模式去选择加盟选择的，反正一般来讲舒适得就跟普通的
[23:03.380] 奔驰就差不多了是吧？对，就是我
[23:05.760] 就跟普通的普通的交易基本上就是差不多的一个状态，然后反正你要调成运动什么增强他深沉的
[23:16.260] 那就有变化，其他的M汽车它可能有一个炜衡的调节，它可以关闭声浪，这个是干嘛？这个完全是不是没有按键，对。
[23:28.340] 自动取形变成在这儿了，默认开启不用您按一下提示一下，行，因为堵车这个不太适用，每次都跟假照片一样，每次启动每次默认开，咱们不用只能每次启动，每次手动关，这个所有车都是一致的，对所有车也是的，都是这样加K没有这个。
[23:46.130] 停车费没有吗？没有，假如平板那个是11313款没有13款，
[23:52.030] 估计了超市这样，我知道那是那种投放跟的，对，那会儿是不是也配了一个金属盖？
[23:59.850] 无钥匙启动也有，没有就是插钥匙的。
[24:03.700] 我知道那个插钥匙盖那个插钥匙拔下来，它应该有金属棒插上就是无钥匙启动300应该有，那会儿没有没事没有那事就是换代以后的第一就是换了这个样子以后的第一步不是那个放P过的吗？在放屁了放屁了时候没有，咱俩一直没发现。
[24:22.910] 没开启这个功能是吧？肯定是没有，反正我来现在是不到7年，你要是13年的话，我应该可能要您买的早可能还没到，反正后期的话。
[24:34.020] 钥匙插上是可以，但是也有一个金属盖一个盖也可以，没有我们什么
[24:40.030] 形象，下车说说外边跟后边好的
[24:47.210] 奔驰的车型。
[24:48.680] 太多了。
[24:57.210] 不要电路有了您。
[24:59.740] 没有了，您关注一下。
[25:02.570] 锁车的话就是要是再上N高潮4个门是一致的，然后不管是哪1个
[25:10.190] 开的话要是离近了，手往中间一哥这边开了三左右单位开，就是油箱盖一样，是开口前提下厂家
[25:22.200] MI
[25:24.200] 93号的，这是131 38号，是不是用改革
[25:31.490] 中间批牌照扣偏左一点的位置就可以
[25:38.440] 踢一下开面官都没有特别，然后底下的话是拖车钩、三脚架、舞台教和一个充气泵，没有备胎。
[25:46.180] 对。
[25:48.280] 然后这里是随车的东西，荧光就中医医治急救包，初中手册都在这里，多了一个擦屏幕的这块小步。
[25:57.820] 对，没有那边大便的话，
[26:00.790] 后排都放到还是走向这两个案件，行行。
[26:04.220] 这个小平板一会我领二把钥匙，我给您带过来，行好的。
[26:08.520] 编委都是一样的对吧？我们也是高度上流的人公车，
[26:13.110] 对4门开锁跟左边直观，我上边啰嗦什么呢？
[26:22.660] 现在我还没进来，你跟我来。
[26:28.000] 咱们等于是开票到8月1号是吧？
[26:31.360] 对，8月1号还不干。
[26:33.440] 先把这事弄完了，交不了，还是后面是生肖第一个回去完事儿了。
[26:40.190] 年会先吃。
[26:41.920] 好，拜拜。
[26:50.560] 不保险的是吗？
[26:54.210] 麻烦你了，就这工作没事。
[26:58.120] 很正常，有时候一天骄傲时候车都没点，您就这样，您登不了没往那走，因为那个部位他站住，先把车子给送装饰去，把脚垫后备箱垫先装。
[27:08.200] 行行可以，我就在这等会对您那走走。
[27:11.360] 咱给您两把钥匙，还有晓萍马云说
[30:36.280] 行吧，bye bye。
[31:06.240] 还有仨车擦。
[31:12.080] 明天有什么我们弄完了。
[31:15.020] 3.4.5和产品的无聊。
[31:18.730] 删掉了。
[31:19.920] 你上去干嘛？
[31:21.420] 你不方便您跟一个妈那车就没了。
[31:26.260] 你看见我他门口来了。
[31:29.040] 三。
[31:32.400] 坏。
[32:05.540] 三
[32:06.680] 三
[32:07.690] 三。
[32:19.920] 三。
[32:21.880] 三
[32:57.900] 那车干嘛呢？
[33:00.920] 把那一有名。
[33:02.480] 明白了。
[33:04.190] 站着两边都进不去，要不就往前顶到头了，那一。
[33:09.010] 真白。
[33:17.490] 三。
[33:21.990] 的。
[33:23.760] 的
[33:25.550] 的
[33:41.200] 数据。
[33:44.210] 场。
[33:45.090] 场
[34:29.310] 场
[34:33.160] 场
[35:05.340] 的
[35:22.040] 做
[35:23.360] 数据。
[35:33.870] 马上注册一下，
[35:36.360] 然后
[35:38.830] 我给您注册完了以后，咱们在手机上有一软件下载，
[35:42.580] 二位都是安卓的系统，
[35:45.140] 用这软件的话您扫一个码安装一下自己
[35:49.120] 让喂马
[35:56.090] 现在的系统
[36:03.370] 这个二维码扫一下，
[36:07.160] 然后咱们在浏览器中打开，别使QQ的浏览器是其他的可以。
[36:12.880] 别QQ的，对，别说QQ了，QQ打不开，
[36:17.680] 可能
[36:21.470] 罗女士留个您的电话，1。
[36:23.670] 邀您说。
[36:25.150] 20您说。
[36:26.530] 30913好勒。
[36:29.350] 三。
[36:30.790] 谁知
[36:33.540] 从90
[36:34.630] 开始现在
[36:36.460] 给您手机马上会发一个6位数字的激活短信，收到您告诉我。
[36:42.270] 您注册过自己。
[36:45.850] 服务不就之前有的我看一眼，因为之前真不知道。
[36:52.910] 看一下不着急。
[36:54.870] 148612。
[36:58.460] 对26
[37:00.180] 0913我查一下就知道了吗？
[37:05.120] 像没事来说这样我想买看着我可能要再扫一下，没事您方圆有的
[37:11.870] 没法进行。
[37:13.810] 现在补发的费用您自己承担的是8800块钱，
[37:18.140] 合适2%，我们所有的投资都是你看这而且何必的对。
[37:23.870] 百万。
[37:24.760] 包括我们最新出的PSP，
[37:27.020] 他们费用
[37:28.030] 公司只要发生包括
[37:29.560] 的由于我这一块保管的，我们
[37:33.710] 他们携手门口行为销售的，
[37:36.070] 看到发动机变速箱小，让您车身的油漆开关的，
[37:42.110] 谁知
[37:44.900] 给您手机重新发了一个激活码，收到您到我
[37:51.810] 其实所有的都会让人家把通话过程中的时候整整
[37:56.400] 咱们家都是109
[37:58.420] 8589910。
[38:01.580] 晚上12.6。
[38:03.460] 我会有多大的损伤，
[38:06.320] 但是
[38:08.010] 内容
[38:09.980] 用
[38:11.550] 话
[38:16.920] 场
[38:20.410] 可能
[38:29.110] 技术
[38:30.410] 三
[38:36.240] 家乐福面粉，
[38:39.040] 车牌号码1780758，好好。
[38:44.550] 下完您安装完就行，不用那个注册，我到时都给您注册好。
[38:50.090] 就这样就完了。
[38:53.240] 然后您可以现在打开点一下登录，
[38:58.000] 就是说把这个印象
[39:00.120] 看到在家这屋里信号不好网慢，然后
[39:04.360] 有关观点地方WiFi不行，WiFi超慢，有一种
[39:11.110] 人太多无求的话，
[39:14.770] 新车回头您刚开始别开太快，车速不超120，发动机的转速不要超3，
[39:21.430] 前1500公里咱们还是尽量平稳驾驶，少急加速急刹车，
[39:26.020] 出了1500公里您正常用。
[39:28.240] 油的话这回就得高一点，就是8号了。
[39:31.520] 包括
[39:32.910] 您过渡做好了，
[39:35.410] 他说90以上，7年代一般家庭2+98个，对，
[39:40.950] 您开心会有什么行，比如说你有的那个地方对没有对外地或者有乙醇汽油或者说油品不太好，咱们加油的时候就得适当的加一点燃油添加剂。
[39:53.930] 对一箱油加一罐就行，
[39:56.800] 家之前先加快乐跑在加油，这样的话他们把稀释一下，对。
[40:02.940] 要看登录这样对您去外地免不了，因为现在外地好多地方都是一分，
[40:09.540] 因为现在没办法，这是密码吧，现在您就可以第一行是您的电话站在前面加一个加号86，
[40:17.800] 不是您那个电话号码前面加一个加号86中国区才可以。
[40:22.350] 861吗？大A小A123456。
[40:27.400] 车我刚给您分过去，您等一下。
[40:32.280] 因为为什么要跟您说到营销，说实话不是汽车，包括咱们国际中美汽车
[40:37.930] 还没下完。
[40:40.000] 但是如果说这种模式的发生的国际，谁知
[40:46.080] 单子昨天写的单子3月不是新闻，
[40:53.380] 这票换票到8月1了，进口车没有小8月1，
[40:57.650] 万一这份新增量的
[41:00.220] 这是罗女士本人
[41:01.920] 买了交谊舞，三我这些时间了，开票应该就是联系，对。
[41:06.340] 关键是。
[41:08.350] 当然现在说这样就算登录了，对明天这一行就出现您车所有的数据了，包括这儿还有车辆的定位功能点0移动，
[41:18.760] 我们的茶室，然后使用期间允许那样
[41:23.400] 晚上
[41:26.250] 谁知
[41:27.770] 蓝点就是您测量位置，回头您变的话，这个信息它也会自动更新。
[41:33.040] 刚才咱们对罗女士本人
[41:35.440] 叔叔您好，罗女士久等了我是克服的，然后给您申请购买新车小礼物，一个代表团跟指标的大伞，也感谢您二位选择在咱们店购车了。
[41:44.670] 罗女士留一个您的手机号，1860186122600
[41:51.400] 090309130613，车提走以后电联给您打回访电话，到您接听一下电话，配合一下回访，厂家也会打，但是抽查性有可能联系你也有可能不联系，如果厂家打了接听了，每一项评了满分，到时候再把手机号进行一下截屏拿给销售，帮您申请礼物。
[42:10.350] 您拿手机扫一下，在咱们店里边电话，您上一个车也是我们电话没戏的。
[42:16.430] 然后主要针对他，你这次做的是车座的置换，还没置换先买的。
[42:24.910] 我同事想想看看这个密码，应该为A123创建联系人
[42:32.510] 直接点完成，然后再返回关注一下咱们公众号楼下经常组织活动的功能模式。
[42:38.950] 回头您
[42:40.920] 过个10天一周左右您去把密码变更一下，因为冲数都是一样的，大一小123456。
[42:49.440] 不留了。
[42:52.760] 这次买车是朋友或者别人介绍过来的，还是说自己直接手册？
[42:58.230] 老客户。
[43:00.950] 了对一上一台车咱们要买的。
[43:06.270] 客户签字，罗女士谦您本人的如果都非常满意，给您的销售这打一个对勾评价的go，
[43:14.000] 然后服务公约绝不捆绑销售手机号码联系来触发的数据，对，因为注册是女士电话一定的只能有一个对关联之后可以有两个手机都同时又可以
[43:27.180] 对您二位用车愉快，我相信你先我得印三包这最后一次，
[43:32.720] 但是sp的不能联系了，他就给我一
[43:38.970] 有车钥匙的心吗？没有卖的吗？咱们店里没有炮楼。
[43:46.310] 对，没有卖的。
[43:47.930] 您稍等我一分钟，我去给您印象三包。
[43:55.800] 你就不会现场吗？
[43:57.590] 对，然后他们我做过一篇才能做就激活了，这还了。
[44:03.520] 其实三年内不能办理了。
[44:10.770] 你刚才都看到
[44:13.530] 的。
[44:14.340] 这样的。
[44:19.070] 现在
[44:22.130] 这种两个手机上
[44:26.260] 条件
[44:28.970] 上
[44:30.190] 的
[44:32.150] 换算。
[44:36.910] 昨天
[44:44.140] 最近
[44:51.130] 其他
[45:00.950] 的
[45:04.460] 要不然你开心了，太了。
[45:08.920] 看来可以说这段时间基本是的。
[45:15.500] 明天我上午下午要3D的，从头到宏观的记得的
[45:24.340] 也不算，但是我要懂，
