[00:00.090] 李露过来办手续。
[25:22.480] 我那太小了。
[25:27.290] 特别小的。
[25:41.500] 满的
[25:45.060] 抱着电脑。
[25:46.530] 这个给您吧。
[26:17.400] 好勒。
[26:26.020] 那一会我就走了，出手去了这手机我处处戴不戴着。
[26:31.180] 1390128
[26:35.180] 0153。
[26:42.290] 妈讲。
[26:44.120] 我下回再来这有事再找您。
[26:47.240] 工具还挺好使。
[27:20.210] 谢谢领导，还真有小姑娘装。
[27:23.930] 但是我在手机里发现了5颗小螺丝，不知道装
[27:28.000] 的新的蛮横了。
[27:30.510] 139这怎么有个公车，店里怎么能有宝马的自行车呢？
[27:36.000] 什么？
[27:51.450] 马上
[27:57.480] 号。
[27:59.800] 一会你身份证带了吗？
[28:02.090] 我去拿东西。
[28:30.480] 那个车好了吗？
[28:32.650] 好了，我张了。
[28:34.820] 不会吧？
[28:42.170] 冷了。
[28:43.980] 查什么？
[28:46.280] 哪个？
[28:51.770] 没开张。
[28:56.360] 都在。
[29:01.650] 待着吗？
[29:46.830] 手机给
[29:49.140] 银行发展方向，
[29:53.130] 现场
[30:01.510] 对吧？
[30:03.470] 走这边
[30:14.000] 你这房子已经和
[30:16.480] 厨房的一样差不多，你
[30:20.760] 了，
[30:22.930] 要灵敏在这样。
[30:24.420] 有吗？您是只要人凌源市吗？我姓刘总乔教授元，接下来我带您聊一下这个车，还给你讲车，还有这车他有救援服务叫没事私密，我给您激活再帮您准备好。
[30:37.220] 等一下电脑的这边流程之间的
[30:41.690] 好吧？
[30:42.400] 我还有事儿。
[30:44.090] 要开会你条，等说咱们先看看说重点，一会咱们先看好不好看吗？
[30:48.720] 对。
[30:51.080] 用办临牌吗？我一会我带金牌手续我都准备齐，你马上走，行，那你就半天牌去。
[30:57.850] 我们先讲白天排得他本人跟我一块去，行，那你跟我说，
[31:02.640] 你跟我说咱们恰恰他来说，你跟我说了，你别他给你办人旁，你反正马上也得一点
[31:09.190] 一一点吃饭，等会你去讲去吧，你去讲车对吧？就1.00台。
[31:17.090] 坐立的魔女就我们南门您吗？到那就搞定了，大概法定咱就定了一点，我们准备找你咱就弄一下吗？不你就想出来的我不走，
[31:25.690] 我不走不是一点就办，我们到1点多行行，你们行政就先搁着，我不能准时过来咱就跟死人可以吧？没问题。
[31:37.010] 如果有问题，
[31:49.830] 都是事儿。
[31:53.690] 为什么？
[33:03.560] 我给你发过去了。
[33:06.140] 等等别正面我知道吗？我跟你的账号我开始票行好了。
[34:13.470] 在这后面。
[34:14.590] 等会出去是吧？
[34:17.200] 网上
[34:23.470] 的
[34:27.690] 的
[35:26.950] 对。
[37:36.900] 等你以后你说车架号，您说对了吗？咋到那去当人口找找不着，
[37:43.990] 偏好，网上说什么车架号
[37:46.540] 规范，
[37:48.790] 求。
[37:50.440] 行行没问题。
[39:02.740] 我这个叫着吃饭了。
[39:04.340] 我说
[39:21.170] 约在哪里？
[39:22.550] 马上在门口。
[39:25.210] 礼拜都休息完了，一会儿再见。
[39:33.990] 20年的新车是吧？
[39:37.510] 你把指标网站的用户名密码
[39:40.330] 告诉我这是一个
[39:42.670] 养护礼包，因为这车送咱们了，一次一早就出去了活跃，而不是一年这边交完了，没事你过来我公里数证据一1000，
[39:50.270] 时间±1个月，别超期就行，没问题话本人已充分了解汕头饭，行行好。
[40:03.120] 真tm烦。
[40:06.480] 咱这活没法干。
[40:33.720] 7月就别想。
[40:34.900] 谢谢今天行咱们
[40:38.190] 你给我
[40:42.480] 你说说你本人都没人没来这签名。
[40:45.850] 二两。
[40:52.360] 但是
[40:53.680] 委托人是蓝打伞。
[40:58.690] 没事。
[41:02.390] 收款明细的现在。
[41:04.240] 前心目中之前
[41:06.320] 前往首先您
[41:12.570] 复印
[41:53.380] 今天的话您就
[41:55.010] 开口，其他的有临牌可以车上一块儿。
[41:59.610] 然后
[42:01.270] 手机的话都放我这，把您
[42:03.370] 第5款拿过来。
[42:05.080] 等等。
[42:08.520] 身份证跟。
[42:10.000] 居住证你是本人是吗？不是你不我说人有委托书是吧？
[42:15.110] 2020年7月记录
[42:18.400] 都完美了，6号指标是张国良客户，然后在现场到时候
[42:24.630] 发给我。
[42:25.210] 那就是账号和密码是吧？
[42:27.760] 你帮我账号密码以后或者你要这里下来了，
[42:31.370] 排名
[42:38.470] 来蓝海。
[42:39.760] 不要对账号和密码记得吗？
[42:44.090] 评估表。
[42:45.380] 等。
[42:47.810] 保护礼包有是吧？
[42:55.430] 现在系统
[42:57.400] 体现不了什么了。
[42:59.110] 小字凡是
[43:00.770] 我知道了，然后面条已经做好了，平台上传行驶证，
[43:04.200] 他这边给你讲完车以后，你就可以开车直接走。
[43:06.880] 准备装饰是吗？没有车接走，然后
[43:10.550] 先给它开辟了，那也行，您先坐着急。
[43:14.960] 时间着急是吗？
[43:17.000] 行，车上有一个密互联，我先给您实名认证，您把您深证给屋里，糊弄完了以后出去讲课，看守所
[43:23.500] 面房也得做，
[43:25.870] 不要到时指标发给，或者到时候张运帮我不行，发疯地方不行，好好。
[43:31.220] 您用的什么手机苹果还是安卓？
[43:33.430] 苹果打开您APP下软件。
[43:41.200] 英文搜索MEI
[43:45.160] 然后留个您的电话，
[43:47.910] 或者是比赛的秘密客户端，
[43:51.270] OK。
[43:52.030] 您给我留个您电话号，186您说860286024662466。
[43:57.490] 不是军人。
[43:59.030] 微信密码知道。
[44:03.340] ks233
[44:06.580] 给您手机马上发一个6位数字的激活短信，收到您告诉我一下。
[44:14.910] 369029号了。
[44:17.640] 那个软件您下完直接点登录就行了，我这一会都会给您注册完毕。
[44:39.430] 我待会给您讲功能，讲的功能都拥有一个客户面访，然后说一些注意事项，
[44:45.240] 然后签几个字就行。
[44:47.320] 等一下。
[44:52.770] 我这儿的话时长差不多在40分钟。
[44:55.450] 时间够吗您？
[44:58.100] 着急。
[45:00.760] 您说您
[45:02.860] 能到几点您告诉我。
[45:04.720] 没事得尽快。
[45:07.380] 没事，您先把我电话记了，后期用车如果咱们讲的不是特别细，或者说您后期用车有问题直接打给我也行，139
[45:15.430] 131098
[45:17.270] 6961。
[45:19.320] 我姓郭郭晋。
[45:48.560] 的
[45:56.510] 然后当地
[45:57.870] 对点登录，
[46:00.270] 然后第一行会有账号
[46:02.280] 和密码，账号您填
[46:05.270] 加减号的加号，数字86+86家庭电话
[46:10.440] 号。
[46:33.130] 密码大A小A123456，
[46:52.520] 车会在里面出现
[46:55.320] 数据的同步，比赛快的话今天下午慢的话，明天以后这个软件您在手机上能看到您自己这台车跑多少公里，这么多，
[47:05.540] 玻璃水是否缺失，明天压力什么时候保养，
[47:08.920] 包括车辆的定位都可以。
[47:14.400] 然后您帮我拿着身份证这样拍一个照片上，
[47:18.560] 同时摘一下。
[47:20.920] 我这有。
[47:23.310] 对给我打身份证号。
[47:25.820] 然后要
[47:28.980] 真正你说好我这里用完了，
[47:44.920] 到7月31号。
[47:46.720] 对半个月。
[47:49.560] 没有您那个指标如果没出的话，
[47:52.220] 这指标倒是出来。
[47:54.030] 啥？
[47:55.850] 安排个时间，没事，到时候你安排时间，如果说31号之前您不行，您给姑娘打电话，咱叙一下。
[48:03.530] 好，您方连续三次
[48:07.770] 部门
[48:10.220] 打。
[48:21.650] 可以了，咱们说那句话。
[49:34.400] 怪。
[49:35.180] 我是去年在咱这换了一个手机，
[49:39.260] 就我这手机，然后前两天我的手机对。
[49:44.460] 可能
[49:46.190] 掉地下了，然后就开了，我说那就给装上了。
[49:50.920] 结果我仔细我这一看，这里面都好多小螺丝全都调出来，就没拧紧，
[50:03.150] 就对我现在
[50:05.690] 我
[50:07.560] 有个十字的，我找了个东西我就看了看我给扭了，但是还有好几个
[50:14.310] 螺丝，然后还有好多螺丝眼都富裕的，然后还有好几个小螺丝给拿出来了，
[50:20.410] 然后我找人帮着忙给恢复争取和尚了。
[50:24.820] 但是我这里面现在就
[50:27.100] 有几个螺丝都没，
[50:29.300] 我就想问问这摔，那不能把螺丝摔掉了，别的都不掉。
[50:34.020] 这是好几个小螺丝都是松的。
[50:37.870] 用
[50:46.410] 这螺丝明尽了才能摔掉，但是就说
[50:49.280] 刷说说他关键是你说掉一个我都不找你，就好家伙我这数数有五六个螺丝，没有若流黑螺丝眼没有螺丝，我这只简直
[51:00.410] 小的只有4个螺丝，他不可能要摔全摔掉。
[51:10.870] 对。
[51:20.450] 不我这换了一个，你看看你们来了多少回。
[51:28.860] 您不行您让找个人找。
[51:31.520] 对照弄不。
[51:33.260] 我就说你确定那你给看看，
[51:48.800] 要付费。
[51:56.200] 我这电池过质保期了，
[52:01.900] 我电池每次只要我就稍微抖音都烫特别烫。
[52:20.660] 4月份是吧？
[52:24.710] 我还得再花钱。
[52:32.290] 这疫情期间你们也没有特殊情况是吗？
[52:40.870] 你们能上家给维修来。
[52:45.910] 逆行期间，
[52:51.630] 就是说反正现在不管了是吧？是不是？你要是不管了我就
[52:57.220] 过两天就315维权的，我就不信，我就打315投诉一下问问
[53:02.430] 看看能不能给解决。
[53:16.530] 行您核实一下，您看看我就说我这手机屏幕我就坏了。
[53:22.040] 这打修到最后能修好了，来回来去来换了三个人，
[53:26.750] 中间拆装修了好几遍，我这iPad的我的态度也是
[53:31.780] 修了一不止一次，我就在这，你看看我们那一有一派的换一个，
[53:37.110] 签名也修了两三回，
[53:41.150] 我对吧？是不是你们修一个都休好长时间，所以我就通过这件事，我就觉得你们可能
[53:48.230] 你们的技术从安装的
[53:50.730] 这个上面可能会有问题，所以我就想还有一个我这手机我现在拿了，我刚在书当着你面我再摔完了，他要才能掉下螺丝来。
[53:59.710] 那可以没问题，但是我觉得这就是我摔了我承认我也没说别的，但是我从这里头减出了一堆螺丝来，
[54:06.870] 我觉得这个不应该。
[54:13.560] 行吧。
[54:14.520] 好吧？
[54:15.290] 行
[54:17.010] 行行今天交代。
[54:20.920] 什么都没毛病，就是吊起来，然后手机
[54:24.580] 和屏幕从那壳上下来了，我就找了螺丝，我就找，因为就后面两个螺丝充电口旁边两个螺丝拧开了，把这装上，但是我打开我发现
[54:34.440] 有一天老装不进去，我说结果我一看那
[54:36.980] 那块应该是代词的，结果快我这一看那块吸着好几个螺丝，
[54:42.920] 俄罗斯我也给剪出来了，我单边收着对吧？我觉得你教一科两科我无所谓，
[54:49.070] 现在我这看了里面就好几颗螺丝全是掉的，要不然就是你们当初您跟你说了对吧？我就觉得就掉太多了，让我接受不了。
[54:58.200] 你要说掉一颗无所谓，I调就调了，早上给您了就完了，但我觉得全掉了，那怎么可能？
[55:06.270] 对吧？
[55:08.090] 好。
[55:11.490] 好谢谢拜拜。
[55:15.900] 好勒。
[55:16.950] 败坏。
[55:18.940] 再见
[56:18.910] 你好，唐伟在屋里吗？
[56:24.740] 好，拜拜。
[57:39.610] 来。
[57:41.340] 你这不是
[57:45.150] 哪个地方吗？
[57:46.770] 董先生？
[57:48.810] 我这边有。
[57:51.270] 你不要。
[57:53.770] 我看看
[57:56.040] 玻璃的
[57:57.770] 一瓶二锅头那瓶的，
[57:59.950] 你看后面这是开的就不值钱，那就得赶紧我们还着急，咱们把办完了，我们少了三分钟，我用一下给了。
[58:10.110] 在这里
[58:11.200] 我走我怎么样？
[58:13.300] 给带着我不要，
[58:15.830] 然后咱俩办临牌，
[58:18.530] 然后你那指标网站，要不然你回去弄完了发一电子版给我就行了。
[58:24.590] 了你的网站在哪？我知道。
[58:26.850] 多少年前的事儿了。
[58:28.630] 也是
[58:29.640] 是吧回单位。
[58:31.430] 对我下午会。
[58:35.670] 你这车你开走吗？
[58:38.000] 开走，所以他来他把我的车走开，开我的车回去，
[58:41.360] 完了开这新手机号能给我说咱要不然137，你就让人家把你开着车走。
[58:47.840] A我说那间熟悉说怎么回他没事在长办什么，你要开车走了一会，你要不行一会我带着他在院里开，咱俩这样，因为就咱俩回去，他一个车你开我帮你看看，咱先回去不开会了，然后我跟张磊又把车开走了，先搁着我跟你们先带你和医生，我说要不然咱俩回去的时候，
[59:05.090] 你得试着说你回家为这开始我们今天对吧？
[59:08.510] 对你开车我这边咱先回去，然后一会你开会我跟张磊过来把那车就车开了，对咱俩先弄，你先熟悉，人家等到已经变了。
[59:16.450] 没事，你要不行回来我
[59:18.900] 我下午你过来找我说我带你在院里开开就完了。
[59:23.400] 你要着急没事行。
[59:26.200] 你要着急你就先开他车走，我给他弄又跟他商量，另外
[59:31.990] 真的小小汽车什么网站网上搜一下吗？
[59:35.910] 我这给你弄了。
[59:40.960] 用
[59:43.490] 你什么可以打了我一下那么疼，你跟你附件咱先回去你开会，完了那我张磊拍着我说我吧我觉得就能你先接着一下，您稍等一会他们会弄，明明搞不清楚您这是什么，是之前在这买的车是吧？换手机了，我们拿房间给不了我，
[60:06.210] 不知道为什么自己注册的账号退出。
[60:10.040] 是你自己注册的吗？对。
[60:12.370] 我怎么不用了？
[60:14.960] 您没挂车。
[60:17.660] 您别着急，您当初买车时候什么已经登进去了，完了什么信息流都出来了，正常用了，但是到后来我一直没登过这软件，
[60:26.920] 登录名记着是加号八吊，
[60:29.530] 注册人的手机。
[60:31.670] 登录的吗？
[60:32.960] 加号86 10分。
[60:35.690] 给你，后来注册你这个注册肯定用不了。
[60:41.130] 真不点。
[60:43.000] 右上角小零头。
[60:44.570] 就因为中午吃饭还这么瘦的，
[60:46.990] 你手机拿出来给你下来一下，
[60:52.270] 两把钥匙都给他了。
[60:59.530] 叫什么名什么样？
[61:00.860] 你是苹果手机吗？
[61:03.640] 都没在，都是M1A2C
[61:06.830] 没在德思。
[61:10.520] 网上英文。
[61:11.540] 对。
[61:14.710] 这儿因为客服不要用在私密还是没在。
[61:26.480] 不用。
[61:28.490] 回来了。
[61:50.050] 下载。
[61:52.140] 号
[61:55.760] 好多？
[62:00.500] 3点。
[62:07.040] 00:35这样做活，您好女士，耽误您一点时间，这是送您的一个小礼品，我先登记一下您的信息了。
[62:15.550] 没事，您不戴口罩不戴帽子，拿着身份证，然后你按照
[62:19.810] 是本人吗？是给个散了。
[62:23.620] 是吧？
[62:24.420] 对，现在都不能no好就直接了，没有这张
[62:31.270] 7月7号是吗？这教授日期。
[62:34.180] 这家日期是7月7号，什么东西？
[62:37.380] 他就半天牌用完，你看这里了，完了咱俩一起
[62:43.520] 他下载了。
[62:44.920] 开完了给打电话接受了，对。
[62:49.770] 中国的吗？
[62:55.650] 您好。
[62:57.560] 登录还是宿松路？
[62:59.260] 等我给您发个信箱号码，您告诉我。
[63:02.940] 什么车？
[63:04.430] 25713227，先生问您可以吗？就做一个简单的面访问，您几个小问题全部都是1~5分评分标准，5分是满意，整体交车流程安排满意吗？谁知手术在我们这坐车。
[63:19.840] 对都很满意。
[63:22.000] 手机号是吗？号您平时有什么兴趣爱好吗？咱们这边市场活动也挺多，打球、运动、看电影、旅游
[63:28.770] 或者调研都是存钱吗？
[63:31.760] 密码我知道，手机尾号3624是您的吗？
[63:35.360] 3624。
[63:36.920] 对。
[63:38.220] 到时候要是接到我们厂家回访或者我们电话回访的，麻烦您配合一下违法。
[63:43.560] 我昨天不可能我给您打电话，
[63:51.290] 那就
[63:52.200] 我的妈感觉是把昨天收的解放，我找你开车去，我哪有右下角
[63:59.410] 大解放能力去开店。
[64:01.790] 好勒，麻烦您再签两个，这横线上签，反正今天3000能登上就行了，今天用不了
[64:07.950] 车跑一跑就没用了。
[64:14.110] 那个软件回头可以看有多少有多有跑到5公里结束停车设施定位，
[64:19.740] 但是现在都用不了，
[64:21.240] 车牌的话就不用
[64:23.050] 没了，今天知道怎么登就行了。
[64:27.320] 嘉哥在哪呢？
[64:30.200] 在食堂的吗？
[64:32.400] 那行。
[64:37.710] 上。
[64:41.590] 你下午1点过来，
[64:49.160] 你解放你给你修好了。
[64:51.240] 我哪知道说话，雷雷哥我昨天说那话我听都听听费劲，那车有停车券吗书记？
[64:59.710] 没事，一会到门口说就给他办了，甭着急，你要着急你就先走，他我弄。
[65:07.450] 放心他着急，我不知道你不我帮她整完就完了，我一会过来拿车先带他回去，
[65:13.010] 你开哪个车回去，开门车他开完之后带他，我们先回去，然后又过来不行，咱还得办临牌的呢。
[65:20.050] 对。
[65:23.880] 我们俩先办临牌的行吗？
[65:25.710] 我这5分钟之内就咱搁底下有发票，你可别给发票个了。
[65:30.930] 我的妈这还能再少开2张，那平台是10天的市值多少钱，
[65:36.280] 争取给你跟他说给办一个月。
[65:41.590] 咱们这个车是6月17号生产的。
[65:44.590] 他知道
[65:46.140] 6月27
[65:49.490] 6月17号生产的，
[65:52.590] 刚出锅的大馒头太牛了，我靠6月份的车都太太早了，
[65:58.430] 7月7号开票，
[66:06.590] 我得勒。
[66:07.360] 可以了，不用他他就可以。
[66:13.600] 汽车太牛了。
[66:17.360] 都是真的吗？
[66:30.160] 刚巧。
[66:31.160] 不能傻。
[66:34.470] 怎么
[66:35.990] 入了的？
[66:39.120] 刚才带你演示的功能应该
[66:45.110] 我们还有一个
[66:46.570] 这是外包无损内搜索，你在
[66:51.890] 完了发票还有合格证
[66:54.150] 都在这里，到时他马上就能办临牌车，一共220都给您了，给客户讲解车辆有三包保养手册，三包它就费劲了，
[67:02.650] 没备胎也没吃东西，全都在财务交代，
[67:08.200] 他做多少就在这座都开到这儿了。
[67:10.720] 反正就近的这么say店都行。
[67:14.110] 你要您最近刚刚还没在这方面，它保养大概多少钱做的？
[67:19.610] 为什么大宝小宝都多少钱？
[67:21.560] 怎么说您看情况了，有的时候服务顾问也会让你们买M记的鸡油，
[67:27.750] 你就考虑风肯定可以选正常的小宝大宝多少钱？
[67:32.620] 小宝的话1000多块钱小宝就行，1万公里1800 1000多。
[67:38.080] 6万多肯定是贵。
[67:41.360] 不知道。
[67:42.620] 他第一次大宝是什么，都是一年1万。
[67:46.760] 一一一小一大。
[67:51.520] 当这是三包原件，原件是给您的，复印件您空白注册自己三年不限公里质保，三年之内咱们质量的问题都没退休，
[68:00.830] 还能在我那个东西大包
[68:03.510] 多少钱，大宝带来多少，他一小一大小的大字21,000过大宝是大毛，得2000多块钱。
[68:09.830] 你什么时候办退钱手续给我？
[68:12.060] 哪个？
[68:12.890] 他有行车记录有没有钱，我就问他们怎么操作怎么弄，然后我不会差你的都补贴联系。
[68:20.090] 马上
[68:21.090] 这几个字，
[68:23.020] 这玩意关于这里的
[68:25.160] 拿着爸妈哥哥车上从车上去，
[68:28.320] 给我一上车，
[68:33.100] 跟你那手机可以用。
[68:35.820] 这拿的不是我的手了吗？我以为。
[68:40.030] 到底保养给企业早点，
[68:42.420] 1万多给他做，你这次我还得开一年1万。
[69:06.270] 这边使用上，到时您遇到问题您再随时联系我们。
[69:10.040] 咱说一遍，其实您要有个大概的印象，看这里面好多功能也得是作用，
[69:15.760] 所以技术也还挺好玩的，真的您出了一个小店，一个大包围脚垫，
[69:23.020] 你们赶快补充一下特征。
[69:25.600] 这脚垫后备箱搁的那个时候，
[69:27.630] 是不是给你偷上的？
[69:39.440] 换一个U盘，插上它行车自动记录自己的激活是吗？对。
[69:43.880] 他存储介质他就
[69:51.120] 好了，一会我想
[70:00.400] 他手机要不通过蓝牙脸听手机的歌，也是得找一个转换头，先一个Top star完了
[70:05.950] 他不用来直接接那个东西了，不能我走进了，你稍微一下怎么上呢？
[70:13.850] 行，两个口的三走。
[70:19.760] 回去把店盘了。
[70:21.690] 身份正在检查。
[70:24.260] 你手机
[70:27.400] 我后边伴着快乐，
[70:32.010] 这样开车走，
[70:33.870] 晚上两个慢慢的别的散什么都拿着了是吧？
[70:51.590] 你那个车是什么？
[70:56.310] 行。
[70:58.440] 最后
[71:01.320] 你着车的时候，如果台的
[71:04.430] 还是着车声音跟普通着车不一样。
[71:07.260] 在哪里？
[71:09.100] 旁边需求
[71:10.970] 能开就行。
[71:12.440] 走。
[71:17.830] 然后这个钱1500公里，别超速，就。
[71:21.710] 咱们当当
[71:23.640] 就在市内的任何一条高速公路源头一条马路上。
[71:27.480] 他歇120你就开120，
[71:30.490] 别幽门一下到蝶花我就没拿着。
[71:34.840] 还跟这位哥你就在这等着，一会我们俩就回来，行，好了，你进去喝口水，一会他给你打电话你就出去了。
[71:42.150] 行，他进不去。
[71:44.180] 你到那门口拍一下门，让他给你开一下。
[71:50.110] 你等特别就往下一拉就行了。
[71:54.400] 不得适应。
[71:55.740] 不是你这么厉害。
[71:59.040] 你要实在不行你就来找我。
[72:01.800] 我带您在这院里头。
[72:07.700] 然后一会我给你发，
[72:09.980] 我一会给你发两个图，两个二维码，一个是我们。
