[00:00.000] 转型。
[08:54.710] 来电一波的同时，屏幕手机都显示成功，名利会有名字，自己开车这跟腱
[09:00.220] 上推接听下D挂断或者手机接听的同时选择一下手机听筒，其他人就听不到了。
[09:06.580] 如果说车上的朋友不方便的话，下车自动断开，信息会清空，
[09:11.820] 其他人开也看不到任何信息，上车开蓝牙自动导练上了，就练这一次。
[09:17.570] 手机听歌选择媒体，首先往右划一下，选择媒体员，他会问您听什么？第一个
[09:24.350] 手机歌曲，除此之外，车内还有一个SD卡的位置以及两个USB接口，
[09:29.640] 都在这里
[09:31.140] 插在哪个端口，选择对应输出才可以，
[09:34.630] 然后用手机然后播放器放歌就可以了，这SD卡是插在这儿的是吧？
[09:40.070] 对，可以查一个长征队，我去拿一下数据线演示一下头皮。
[09:53.640] 没收入的。
[09:54.900] 他说的比较快。
[09:56.610] 记不住了，然后什么说明白，
[10:00.180] 随便找个播放器就行。
[10:03.350] 所谓动动识别
[10:05.870] 是吧？剩下一手直接上下滑就可以了，这个也是一样的。
[10:13.950] 好，然后
[10:17.630] 没有导航，但他升级以后比原车导航要更好使，因为它可以把你的手机导航直接投到大屏幕上来用，
[10:24.380] 打开设置通用选项，
[10:26.920] 设置
[10:31.400] 所以蓝牙不能把它拖上去，就蓝牙不可以，只能是现
[10:35.650] 苹果的手机自带开play车载看到吗？
[10:38.660] 点一下打到这步，这个线一定记住插在USB接口右侧这个
[10:44.350] 还有一个手机跟屏幕标识，左边那个标怎么都不行，上线就行，标识
[10:50.530] 标的
[10:51.360] 让咱们看它会提示自动手动连接，选择自动确认，
[10:55.580] 接受
[10:59.060] 前提你的手机还要开启siri这个功能，也许
[11:05.830] 他就直接把你的手机屏幕投到大屏了，我给你操作一下。
[11:10.290] 这个是主界面跟你手机内容一致，
[11:13.220] 常用什么？
[11:14.920] 百度，
[11:17.460] 这样选择百度手机同样操作百度就可以了，
[11:20.760] 然后随便打内容是完全一致的，跟百度对要比原车导航好像太多了。
[11:28.360] 所以对随便找个地儿就行了，完全一样，所以有这个升级。
[11:35.010] 确实
[11:36.670] 是不是太近了？
[11:38.210] 对。
[11:40.880] 他显示一分钟就到达。
[11:46.920] 你推到哪去了？你这线是不是有点虚？
[11:52.750] 手机壳可能比较
[11:56.680] 手机壳有点虚。
[11:59.280] 点。
[12:01.240] 完全一样。
[12:03.130] 点开机导航声音是从车载来转出，
[12:06.760] 准备出发全程使用跟着走不行吸收，所以就没有不用原车手机导航激动，
[12:16.940] 完全一样，原车以前您那车可能有导航卡还得升级，对那些都不用也不行，等相对差一点。
[12:26.750] 记住了用插件就行了，设置完这一次下次用直接插线就OK了，平果县就行，对是苹果，这是原车带的。
[12:33.780] 待段开始到咔咔掉就行了，不用导航结束，对。
[12:39.070] 这就给你搁车里了，充电也都可以。
[12:44.030] 再有就是车辆里，
[12:47.030] 看一下车辆功能，
[12:49.100] 驾驶辅助系统里都是车辆的主动硬件，安全帽认开启，不做任何的变更关闭。
[12:56.400] 不一样了是
[12:58.150] 这个车首先多了一个氛围，灯照明设定里对灯白天com也能看出来，就64个颜色，喜欢什么色儿，您调到侧板上都能见面了。
[13:09.270] 这边有事对前边也会有
[13:12.950] 喜欢什么哪去调，左边是明暗变化，白天的光线相对强，不是很明显，晚上非常亮了。
[13:21.120] 晚上停车左右镜子下面有小照地灯出现。
[13:24.200] 环境照明对镜子下面有小照地灯左右，镜子下面锁车，离开的同时大灯照亮一会儿延时熄灭，建议15秒一般够用。
[13:33.850] 车内岩石也是对应的，对还有
[13:37.620] 车辆的一些小功能设定，比如说安全，但机器人会累一下有预警，
[13:42.480] 锁车喇叭响一声提示做好车辆锁车镜子电动折叠，车速达到15公里，4分钟自动落锁，
[13:50.100] 还有后备箱现在是完全开启，可以选择只开一半，完全开启相对方便一点，对。
[13:57.030] 再有用户手册，实际上是车辆的电子版车书，有时间等人在这座点击，特别对，他是有动态演示的。
[14:07.360] 时间我给您核对一下，是区应该调购表示自动的没问题，都是对的。
[14:14.070] 这一行全是车辆空调的手动调整，
[14:18.170] 蓝红箭头温度左右上加下减，第，二个就是风向，您吹什么位置，前锋到正面脚下自行去切换。
[14:27.180] 第三个风量最大是7，冠的话第三个线要一直关到头，
[14:32.630] 开的话任何一根线都可以调节风量就行了。
[14:37.320] 自动空调您可以设定车内的一个合适的温度，
[14:41.070] 点亮凹凸见车内会一直保持这个状态，自动
[14:45.280] 起雾的话，雨雪天前冲后成熟点亮即可，这是也知道对。
[14:50.920] 这个不亮灯左右是分区空调，个人控制个人启动雾灯，然后你要关的话就沾了一下就行。
[15:00.600] 宠物他就只吹下面看一下，关闭就关闭，这是后面。
[15:06.210] 现在外循环亮灯内循环一致，
[15:09.050] 我卖杨晨制冷开空调，建议内循环制冷必须开AC，否则没有这种状态。
[15:15.200] 未必出风口，小竖线冲上都是初con C这是什么？分区同步空调，亮灯温度是一致的，左右灭灯变成个人控制个人，
[15:26.080] 水平状态是关闭，
[15:29.640] 前排5个包括都是一模一样的，
[15:33.130] 双闪在这，对这些都是快捷导航，没有收音机一键进入，
[15:39.850] 蓝牙音频，
[15:41.370] 然后变化，还有刚才看到的车辆
[15:45.720] 都是一样的，
[15:47.790] 这个案件驾驶模式对应的
[15:51.490] 蓝方块小姐的C字母上下选择一共是5个状态，分别是节油一、
[15:58.180] 舒适、C运动S和运动。
[16:01.230] 这4档模式由低往高涨，每上一档功率都比之前放大，
[16:06.080] 越往上调提速快动力越强，但是相对油耗会高一些，
[16:10.730] 一般咱们建议舒适就够了。
[16:13.480] 第二个雷达关闭，我刚才演示离近了，雷达有一圈的皇城小格提示，
[16:19.010] 第二个按键点亮红灯，全车雷达关什么时候用到洗车机？
[16:24.570] 一个很近，它会一直响，对吧？
[16:27.470] 临时关一下，对，出去以后想着开就行了。
[16:32.320] 停车怎么样？
[16:33.860] 不怎么样，这个就是一下自动的，这就是自动泊车，他就是福利了。
[16:41.310] 首先的话待会咱们最后也是因为出去需要尺度上去找车位，
[16:47.130] 这是发动机启停自动熄火功能之前也有，对默认开启，基本北京非常堵的用不上，
[16:53.640] 启动以后直接去摁灭关闭就行了，对我基本上就关掉，不用这一排全是灯光。
[17:01.170] 阅读灯左侧
[17:03.400] 右侧
[17:05.480] 设定了一个开门亮灯，
[17:08.020] 挂号4门自动熄灭，晚上这非常有用，
[17:10.970] 爱上了
[17:13.240] 全牌照名单，
[17:14.980] 后排两侧都可以独立开庭完毕，这是全把后面就亮了。
[17:22.160] 这两个新功能叫me who点之前您买那个叫智能互联，
[17:27.000] 这两个文件还是一样，按一下会自动接到奔驰的服务后台。
[17:31.570] 右边的me标识是信息咨询件，比如说想订机票酒店餐厅查询兴趣点，
[17:37.390] 旅程咨询服务、道路救援都是右边这一个中间紧急呼叫，
[17:43.010] 行车过程中假设遇有人员受伤或者紧急情况，
[17:47.080] 暗红色的除了连接后台120自动连接，尽量不去占用，
[17:51.220] 三年免费使用周期，一会激活明天正式启用。
[17:56.890] 就是说以前
[17:58.630] 一就相当于您把电话呼出去了，后台就人工接电话了，是这样一个状态。
[18:04.970] 这个车的张连是手动的，前后划就可以，这个案件是天窗往上推是翘起，
[18:12.680] 往后推是平开，
[18:14.440] 找到合适的位置按一下调整大小就行了，否则话就可以默认最大状态。
[18:20.280] 反之往前关一下就可以。
[18:25.730] 手动防眩目后视镜正常掰到红场视角就行了，晚上远光刺眼做一个折射就可以了。
[18:33.630] 摸一下座椅，侧面这个位置有一个腰部支撑大圆角，
[18:39.000] 前后上下4个小凹槽，N桌前别撒手，按住钱，
[18:43.740] 要窗户往外顶，前后上下调整跑长途，这个就非常有用了。
[18:50.860] 可以调解。
[18:52.460] 车友装。
[18:53.020] 是吗？您？
[18:54.360] 没有装饰是吗？没事，我带你今天身上这么活动，稍等你
[19:00.100] 弄好勒。
[19:09.680] 这个自动泊车可以实现车辆自己找车位，同时自己停车的一个功能，
[19:14.970] 他怎么来使用？比如说现在您假设到停车场，现在需求车辆自动查找车位，
[19:21.770] 首先您自己挂一个先进档，
[19:24.030] 还钱岗位以后咱们按一下这个摄像头，
[19:27.990] 完了以后他会提示您前行开到停车位置，
[19:31.650] 现在需要做的就是正常的开车，
[19:34.270] 不管车位在左侧侧方右侧侧风左侧垂直又的配置，
[19:39.690] 他都会自动识别车位，
[19:41.650] 跟这种地上有没有停车位的标线都没关系，他车的宽度有要求，它只要能识别到她会她测这个距离，
[19:50.110] 它只要能识别到他就一定能进去。
[19:54.670] 咱们去找一个位置是食道，说明他这种
[19:58.180] 他能够放到它的量，它就会识别。
[20:03.550] 像这儿有这个车就比较碍事了，要没有车上贴的近一点过才可以。
[20:11.140] 你看找到以后才会就提示了，这是侧方对吧？左侧垂直，
[20:16.290] 只要你从这儿过，她只要有车位，它就会自动识别。
[20:20.490] 但如果说像这儿这一大排一个车都没有，全是车位，它不识别，因为他认为不需要他。
[20:26.670] 是这样。
[20:28.390] 因为太空了他也不识别，我就按停车场给您找一个。
[20:42.880] 你看找到以后它就自动识别您从那过，
[20:45.710] 只要它识别到它，
[20:47.530] 他就提示了，
[20:49.020] 如果想停，这时候您需要做，他自己去首先刹停停，住以后它会提示您选择并确认，
[20:56.510] 一个车位没得选就直接确定，如果是左右或者是上下是多坐车，你就要滑动选一个车位在咱确定，
[21:04.810] 这时候按确定，
[21:06.770] 这是垂直车位，
[21:09.030] 他有两个选项后退，直到进去车头冲外前进至车头扎进车位很快，
[21:14.890] 好处肯定选择后退对吧？确定
[21:18.000] 及时关注到的。
[21:19.840] 官倒等来看一下，自动泊车完全启动了，刚才咱们挂到影了，这是黄色的，它现在变成绿色的了。
[21:27.710] 咱们看一下现在需要做的是脚趾控制刹车带点车控制车速，就是其他的什么都不管。
[21:35.530] 咱们看一下这个状态，
[21:40.800] 看到了他就开始自己往里揉了。
[21:43.920] 绿色远端小红线，短的是它的刹车点，他进不去了，他当然自己刹停会换挡往上走了，你看
[21:52.500] 它会反向打轮了。
[21:54.370] 对，它进不去了，他就开始测试距离，他开始反向上了。
[21:58.840] 上完以后。
[22:00.210] 调整好，它又会再挂到倒再倒。
[22:04.920] 您只要带刹车就行了，其他都不管。
[22:21.960] 他会再调一个，
[22:24.620] 一个是测地上的地线，二一个是测两车的距离，
[22:29.100] 所以他会
[22:30.560] 需要调整的，没有馅也没关系，
[22:34.160] 跟着地上有没有停车位标线，一点关系都没有，他不看他测的是距离，
[22:42.720] 停完以后咱们看一下他会他自己杀停，对，它会自动切换为驻车档了都。
[22:49.330] 自动救助，这对它就会提示已经结束，您现在需要做就按一下启动键，锁车离开就结束
[22:55.510] 了，什么都没有。
[22:56.880] 刚才演示是垂直，
[22:59.100] 它会有倒退前进选项，
[23:01.310] 如果是册封只能到处去，没有钱进去，就是选项车位直接挂倒档了，就这点区别，其他的完全一致。
[23:13.600] 比上一代产品要好很多，您之前买那些OK
[23:18.010] 也有自动泊车，但是它是半自动，他只管方向盘，
[23:21.780] 其他的档位刹车油门都得让您自己弄，换挡它会方法有提示。
[23:27.340] 对，她只是打方向盘，其他的都不管，这回就变成全自动的了
[23:31.740] 了。
[23:33.350] 要是说您首要长，
[23:35.580] 还是用相对还是安全，至少他不能蹭上。
[23:39.510] 行，但如果说
[23:41.110] 技术过硬，这个过程就相对会慢一些了，就不如自己了。
[23:45.840] 对，根据自己需求去选。
[23:49.230] 因为本身那个车也有倒影，所以倒车，而且它雷达4周都有了，所以还是相对更好，主要是什么滴滴响，对它基本上没有什么盲区了。
[24:19.330] 现在这车
[24:21.340] 续航还有139公里。
[24:24.110] 没问题，给您这儿基本价格都接近1/4了。
[24:28.180] 看看其他的还有什么问题吗？车内就是这些基本上。
[24:31.580] 没问题，咱就下车说说，要是在外边的一些使用注意事项，后备箱有点东西给你做个轻点。
[24:37.110] 灭车按一下启动键。
[24:39.290] 车一会就开走是吗？好。
[24:50.930] 他一会会给您。
[24:52.030] 办。
[24:52.790] 办。
[24:53.760] 车首先4个门后备箱。
[24:55.340] 都锁好的。
[24:56.100] 要是有两板上。
[24:57.710] 这活只一下。
[24:58.970] 有声音转动尿酸下代表多好，这是一把。
[25:02.800] 第二。
[25:03.950] 佐指出，
[25:05.120] 开锁如果这车门没锁时，比如这种情况都是不上，他能锁上，但是它没有声音转灯不亮，
[25:11.800] 这是明显区别。
[25:13.460] 两个月。
[25:15.200] 对后备箱最下面的按键您尝试独立开。
[25:20.120] 随车三脚架上面。
[25:22.200] 车自带。
[25:23.190] 没有备胎，下面的话就是一点儿。
[25:25.800] 空间，您做个食物用。
[25:28.130] 随车的东西。
[25:29.200] 具体包括哪些。
[25:31.720] 安卓，还有。
[25:32.650] 一根数据线，这是您的金融合同，没事。
[25:35.670] 这个是保养信息保养代金券。
[25:37.960] 车的说明书。
[25:38.950] 书到了救援指南，秘书林的介绍都在这里，
[25:42.640] 急救风风电商铺剪刀一样，有一个荧光救生衣，这跟交警的反光背心这次晚上有事故，穿着起到警示作用。
[25:51.070] 此之外。
[25:52.810] 很重要，这是您这台车的三包。
[25:56.970] 755665这台车，7月20号财产的
[26:00.290] 开票咱们今年29号，
[26:02.130] 质保的话首先
[26:04.240] 三年不限里程数，从今天开票开始算，针对质保期内不管这车开多少公里，这些大件如果出现质量问题相关，
[26:12.650] 后边每一个易损件都对应天数公里数的条件限制，
[26:17.100] 除了后面对应条件，您前面易损件再坏了就自费交了，您见张总。
[26:25.200] 行，咱就进屋把后边是给您办完了。
[26:28.720] 我们焦点赠品，你这啥时候给？
[26:34.200] 雨伞。
[26:35.890] 你等一会面访就给拧了。
[26:38.570] 一会儿军工还有面访就给您。
[26:40.330] 了，来咱先进屋行。
[26:42.730] 要把那东西放进去是吗？
[26:44.120] 行，我给您开了。
[26:45.870] 开门了已经您就行。
[26:47.650] 了。
[26:50.560] 邮箱还是在右侧，您的油还是加95号。
[26:54.330] 他那个车停了，钙就能打开是吧？
[26:57.620] 4门开。
[26:58.320] 左岸一下就打开了。
[27:00.200] 跟小K一样。
[27:01.040] 专门开水4门，罗嗦它也是最快搜索的。
[27:05.240] 来了过来我给您所。
[27:10.520] 没关上。
[27:12.560] 稍等，来您再看一下。
[27:15.960] 好，
[27:24.350] 把脊背坐着。
[27:32.850] 买东西根本
[27:34.690] 盯住您几句，首先新车刚开始开不要太快，车速咱们不超120，
[27:41.730] 发动机的转速不要超3000转，
[27:44.230] 前1500公里咱们尽量做到一个平稳驾驶，少急加速急刹车，
[27:49.520] 出了1500公里正常使用就行了。
[27:53.490] 邮的话北京用车95号就都用。
[27:56.780] 如果说去外地，有些地方比如说
[28:00.130] 油品不好，或者说有乙醇汽油，咱们家的稍微的高一点，97 98的。
[28:05.440] 如果说
[28:06.760] 必须加油走，又没有9798油只有92，您怎么办？适当的加一点量，增加G
[28:14.240] 一箱油加一罐就可以，
[28:16.810] 只有92号的没有，对加油之前先夹一块用添加剂在加油，提高医疗的成功性就可以了。
[28:25.220] 这车就是你开身份证原件带了吗？
[28:28.560] 你的声音。
[28:32.890] 用你的那就用您的身份原件在这儿。
[28:37.560] 是这样吗？
[28:38.520] 我知道了，那就这样。
[28:41.820] 身份证信息用母亲电话留你了，
[28:46.000] 你先打开你的手机APP搜一个软件
[28:50.320] 来
[28:52.910] 英文搜索MEI
[28:58.280] 你的电话号码。
[28:59.770] 现在客户端对。
[29:04.800] 然后直接下载就行了。
[29:07.090] 留一个你电话。
[29:08.830] 您说。
[29:10.450] 您说。
[29:11.440] 阿姨不是军人是吧？
[29:15.040] 好。
[29:19.300] 4，
[29:22.400] 给您的手机马上会发一个短信，里边有一个6位数字收到您告诉我。
[29:27.180] 1560560531好勒。
[29:33.880] 那你去了吗？
[29:36.270] 了。
[29:37.350] 你不就在家门口吗？
[29:39.920] 那是多少？549119。
[29:43.360] 我给你拿车上。
[29:45.300] 一会儿给你出错了。
[29:47.100] 你书吧茶。
[29:48.600] 有装吗？
[29:50.520] 家庭人口。
[29:59.790] 刚才都是
[30:04.160] 咱们三包的一个原件的保养的话，咱们车还是一年或1万公里做一次，离我们这儿近听，
[30:13.220] 南边又转就是售后，来之前提前咱们一天预约一下，这样话节省您时间。
[30:19.390] 再说任何质量问题改变了。
[30:23.290] 三包上有
[30:25.230] 电话5873 4个9您直接打都行。
[30:29.730] 您要是不约，估计排队的就比较厉害。
[30:38.730] 保养车去
[30:39.790] 的
[30:40.680] 一年或1万公里做一次
[30:43.280] 电视
[30:45.020] 两
[30:52.330] 6
[30:54.830] 的
[30:58.860] 下完了是吗？
[31:00.480] 下完了直接点登陆。
[31:10.360] 讲
[31:19.110] 对，就是说我们通过
[31:21.860] 谁知
[31:23.550] 谁知
[31:25.660] 和一个人给了已经恢复了行动，手机方面还是必然跟咱们的销售这一块，
[31:32.110] 这个东西我就到了。
[31:34.110] 谁知
[31:36.110] 功能不能完全接受。
[31:38.000] 咱们节目为什么看看随时有问题了，然后后期大概做那么六七分，不您打架我问您的问题的还跟您一样，
[31:52.840] 然后你要觉得还行都给你打个折，然后这跟我们绩效挂钩，您达99分打一分，我们多么无害，能拿多少？
[32:03.210] 您谢谢您了，然后不明白您就随时给我打电话就行，然后这是第二第一行加号86的电话做装饰，用
[32:13.670] 数字里的家长号码明天就给您开出来了，这钥匙一定给我好了，要他还有这种产品，
[32:23.280] 关门的时候会咱们车门上不是一个小凹槽吗？
[32:27.180] 关键时候每个车位多少快，不是，您有一个哪个门碰一下部门都赚，有一个对密码大A小A123 456，
[32:36.470] 4个车门您放哪个都看一下，
[32:38.960] 开也是哪个成本都开，我单想穿。
[32:43.560] 对，您要单想关哪个门的话，只能是说阿姨身份证这样拿到需要拍一个照片，口罩您临时要摘一下。
[32:53.220] 因为他得真好，不要动玻璃。
[32:56.930] 农村的身份证先给我，待会他帮您排给您。
[33:03.800] 你已经进去了吗？
[33:05.800] 北京的话OK车已经进来了，数据的话快的话放疗以后慢的话明天会同步到你手机里。
[33:15.970] 不是说明书在那后备箱里边面访直接来吧。
[33:25.810] 那个里面明天会看到你这个车好多东西都是由或者是否缺失，
[33:34.390] 门窗怎么多好，轮胎压力什么时候保养太多时间了，包括这个问题让着讲一下。
[33:40.880] 因为现在您问我，您也不知道问什么，您得看看他知道哪不明白。
[33:45.100] 一块，然后我再给您讲一下您的记忆更深一点吗？必须刹车那就不用了。
[33:50.930] 知道吗？这个女生刹车啥程度，以后你车动你手机上都是的，
[33:57.270] 刹车，明天在这沙土就能看到所有数据发生。
[34:01.900] 因为刚提到
[34:03.800] 待会您手机会收到的短信，明天数据说防止溜车了吗？对。
[34:08.780] 就这么个东西，只要对只要一列车它动有信号，
[34:14.510] 就都能实现到，除非你要是平均一下，没有车不会有堵车的现象，正常的话都会有问题。
[34:30.180] 的。
[34:31.030] 越来越
[34:33.520] 科技了。
[34:34.920] 远。
[34:35.340] 但是可能年轻人接触。
[34:39.630] 起来。
[34:40.790] 快。
[34:43.280] 没事没有上慢慢开，然后先开始的时候慢慢开，然后哪不了您就及时给我打，对，光看外观是个奔驰。
[34:52.130] 对，实际上它现在里面真的东西特别低。
[34:55.660] 没事，随时问好了。
[34:59.500] 您记我一电话，后期用车如果哪有问题打给我。
[35:03.440] 等等一下。
[35:04.750] 一会还没办临牌，不着急，139
[35:08.040] 31098983。
[35:11.060] 6961。
[35:12.920] 多近。
[35:15.670] 这也是我微信号，你要是收购明白
[35:18.910] 发微信小照片视频都可以，然后本人是这位女士，
[35:30.370] 律师。
[35:31.830] 我微信的时候说一下你是谁什么车主，要不然你的微信名可能跟这个都完全对不上。
[35:40.590] 如果你要是真的
[35:44.720] 无所谓，你就告诉你，比如你说C20松鼠，
[35:48.150] 对就知道了，要不然他帮发一个他的网名这么多对不上这样的。
[35:57.120] 是吧？
[35:59.330] 1号到4号不去了。
[36:03.180] 什么明显你不没有吗？
[36:10.020] 你该怎么说呢？
[36:11.730] 不知道。
[36:13.080] 我觉得
[36:15.050] 太不公平了。
[36:20.790] 做了便烦，您得整体销售流程还地方。
[36:24.400] 今天讲解满意吗？
[36:27.320] 新车的外观没事还蛮难过的，对你的承诺都兑现了吗？对不对？您这次重播还是置换？
[36:35.270] 要是一会您自己拿好，
[36:38.320] 千万别丢，现在配药是挺贵的。
[36:41.670] 有天100真的。
[36:43.560] 9000五六千，因为他给您锁头锁心都得换，不光是换药。
[36:54.530] 话
[37:03.290] 的
[37:07.750] 的
[37:15.630] 话
[37:16.570] 在这
[37:18.440] 我签一个了。
[37:21.370] 在楼上二楼。
[37:23.730] 特别
[37:25.640] 夜吗乐那个是一样。
[37:29.120] 上面签字的全称叫什么？
[37:32.210] 寂寞月，记得
[37:36.800] 纪晓岚的纪去交款跟财务那边还有。
[37:44.460] 这样的话是您用车吗？孩子有用的，行，您找一个，这是我们店所有的电话，如果车辆有任何问题的话，
[37:53.950] 需要咨询，然后就打电话给救援或者售后的电话，
[38:00.080] 这个店里搜一些高雅或者维修问题都可以打电话了。
[38:04.480] 他
