[00:00.610] 芸芸圆圆的。
[12:06.310] 没事客气。
[12:08.090] 你们慢用好了。
[12:10.900] 国三的。
[12:12.300] 什么车？
[12:13.380] 中华，因为目前国三步有一个属于像您说如果不卖不上多少钱的话，就报废的话，国三现在
[12:20.860] 国家给的政策就1万，
[12:22.390] 但1万的话不影响7000的补贴，
[12:36.860] 这个的话就是说包含一个价格有没有什么特价车吗现在？
[12:40.410] 特价就是说反正我之前听过有什么那种特价车，比如说就可以可能是那种长库龄的，
[12:48.210] 都是沃尔沃都握，不每个店它可能销量不一样，
[12:54.440] 他有的店可能这个车的月销量能有多少？
[12:57.120] 几千台。
[12:58.040] 几千台全国吗？
[13:00.170] 厂商
[13:01.160] 和新增三家，卖最好的是3C60。
[13:05.160] 这就是沃尔沃的队伍打一般都买SUV现在是吧？
[13:09.740] 他那边的小。
[13:11.070] 的是什么？还没408，没有威系列V60cd那是旅行车，
[13:16.990] 但是你可以坐在那车里，其实和S60是下整体感受差不多不就行。
[13:22.260] 那边可能贵了30多，对38万多，因为那款车是纯进口，但是其实的话基本上零配件发动机主要发动机都是一样，维修什么的费用，后期维修就是保养的话，现在车保养一般
[13:38.330] 1万公里，然后大概费用小宝1100，
[13:42.630] 其他还可以，都是这个钱，应该你没说吗？
[13:46.060] 因为可能现在保养不多，1000块钱。
[13:48.440] 对，因为有的你可能像日系车可能像便宜一些，但是他瑞典1000多他没事，我看网上报看发的照片。
[13:55.990] 因为它主要用机油，咱们现在全国冬季油耗，这个车油耗大概多少个？
[14:00.680] 78个800万个人的事情。
[14:02.770] 8个油的你油耗这个东西，而且不超过10个油那就不算多，而且我跟你说8个，有的人可能开到7个，有的人还可能开到9个小习惯，对包括路况
[14:16.220] 堵个车都打不住，对堵车的话肯定就要高，但是平均下来的话普遍在8个油左右，正常
[14:22.520] 叫城市的方法，对就城市。
[14:25.790] 的。
[14:27.600] 还有什么？如果像这个基础上的话，因为目前我给您算的是我们这个月现成的价格，
[14:36.020] 如果这个价格的话可以给您再问问装饰和保养这方面。
[14:39.350] 配送什么就是说装饰和保养我可以给你们登，其他的配置没有什么可以给送到了吗？
[14:46.050] 其他配合，因为
[14:48.250] 你们这没有什么流媒体后视镜这个事是吧？
[14:51.190] 这不就属于装饰。
[14:52.660] 流媒体后视镜上面我知道显示一些比如说有记录的有一些功能的摄像头是的。
[14:59.780] 我们现在一般的话流媒体装得少，我们直接都是装那种隐藏式的记录仪，
[15:05.060] 平常记录仪的话基本上就是说下载一个软件绑定在手机上，可以通过手机就可以看到这个景象，
[15:11.660] 这个还算比较不错的。
[15:13.460] 他说流媒体是后视镜，后视镜节就在鲨鱼鳍后面那有一个摄像头是吧？
[15:20.250] 对，鲨鱼鳍上沃尔沃有这个是吧？
[15:22.680] 原车没有，但是可以在4S店给你，
[15:26.770] 加上装有媒体我给您确认一下，你要是送的话我就先背诵过。
[15:34.030] 不要烫是吧？还有你自己对自己做的现磨的
[15:40.310] 羡慕，你看
[15:42.150] 咱们平常的话一般是我们二楼或者对面展厅是休息区，
[15:49.790] 反正就这个价还是一开始您给她加是吧？反正我们10月份没准就可能还会低是吧？
[15:56.580] 这个价格都不确定，我现在跟您说不好，你比如说像我们主销车型车C60，
[16:03.290] 这个比上个月价格就优惠的要少了超过3000块钱，但不会说差的特别多。
[16:10.300] 是为什么要改10月份换车，因为不是10月份今天本来就打算10月份来买，然后今年先过来看看吗？
[16:17.700] 对了解，那价格合适他肯定现在也是对吧？所以说gg明白吗？
[16:23.980] 本身的话反正因为咱们之前那车是零几年的，06年，
[16:28.430] 06年70年6年，如果你
[16:31.520] 如果要是卖的话这么说，如果卖的话，如果低于5000的话就不如直接报废了。
[16:37.500] 而且目前疫情期间报废的话，指标下来比过户要快，
[16:41.350] 因为过户现在需要预约，
[16:43.530] 报废是不涉及到这个情况的，
[16:47.470] 而且新车的话如果你要提的话，就说旧车你放在店里，这个车你当天就可以开张。
[16:53.770] 包括我这个谁知吗？
[16:57.750] 颜色的话您都可以买的，对白色白色的白的还是国家白的稍微好点吗？
[17:03.970] 白日满地今是白的是，但是灰我感觉看着朝那边看烦了是吧？那两个车全是白的，但是现在天换换改色膜不也方便吗？黑暗没事对汽车是吧？
[17:16.410] 对，吃完了时间后面就完事了，
[17:20.250] 觉得啥都谁知。
[17:26.790] 价钱。
[17:28.930] 你要这样我也不跟您说虚的了，我去问我们领导，如果你要说觉得合适的话，我把今天我们价格就给您，因为您也看到了今天的话买这家人的。
[17:38.660] 对，但是昨天人多，我们这有一个抽奖，因为昨天我们是跟
[17:46.620] 我知道昨天过来，没事我给您问问您好吧？行行谢谢。
[17:52.740] 谢谢。
[18:10.000] 峰哥。
[18:11.270] 展厅第一次来S看S60，但是我没给他报，他上来自己跟我说，
[18:17.200] 去别的看过，我说他跟我说别店优惠6万，我说确实这应该不如价格没少，
[18:24.390] 一家三口。
[18:26.780] 好，那他啥意思？
[18:28.870] 他说本来预计是10月份买车，我说为什么要10月份就说是不要报废的，
[18:34.240] 我说他说价格合适也可以买，
[18:37.060] 但我没给他报，他说6万，他上来就跟我说逐渐给它就是6万。
[18:42.140] 他之前去的算了一遍，
[18:46.890] 说
[18:49.700] 这些情况我们也
[18:51.760] 的
[18:54.890] 不过学校买了。
[18:56.820] 对，我就跟她聊聊，我就可以。
[19:00.550] 你们看
[19:01.710] 咱们不聊。
[19:04.520] 好。
[19:05.480] 他开轿车开了吗？
[19:07.540] 报废我问他，
[19:09.300] 他拍拍应该就没事，北京人一家三口。
[19:14.880] 你跟他聊聊，
[19:16.290] 你尽量别被反馈了。
[19:18.830] 初次跟他说行了，你别说
[19:21.700] 药店出门在这样的，
[19:25.910] 他把车开过来。
[19:27.380] 行，那没问题。
[19:29.470] 还有什么吗？
[19:31.380] 他开车过来的，今天还有点0的电话。
[19:44.090] 谁知
[19:46.670] 有些
[19:48.070] 反正不一定能买，但是
[19:50.710] 这车子在别店都看过，
[19:53.830] 就不知道什么时候买，
[19:56.410] 说我给他报了，他不买他妈白报了。
[20:21.160] 咱们那车开过来了吗？
[20:22.670] 离开置换就开什么车，他们值不了多少钱，估计也就住的远吗？离我们这是不行。
[20:28.770] 还行，石景山。
[20:30.190] 没开车过来，开车开了开没开好，行，反正咱们这边如果你要是觉得合适的话，基本上能有个5000块钱的浮动。
[20:39.400] 千人这已经很多了，行不行？我们刚才看完了就不是你
[20:45.970] 便也记住，
[20:47.990] 别垫，它一开始也说这个店，但是网上谈了谈，因为他不有限，因为是有一个限价，我知道这个挣不了多少。
[20:57.350] 他那边先您就是说本身都看好咱就说价钱，他那边给您优惠多少钱，再下去再减2万，
[21:04.020] 再减2万25万。
[21:06.480] 2万这二检
[21:09.120] 对6这2.249,000差不多24万多，他都倒不了酒了。
[21:15.240] 这倒不了解您怎么没买，不对，这就已经可以了点，这不都挨着吗他。
[21:23.930] 结果隔壁那店是吗？
[21:26.320] 优惠确实挺高的了。
[21:28.020] 259,000。
[21:28.970] 因为我给您算到的这个是所有的一个
[21:32.310] 25万，
[21:33.760] 就算25倍。
[21:35.210] 差不多。
[21:38.110] 25. 
[21:41.630] 咱们还是说看
[21:44.400] 来看这边能给多少吗？还是说白了还是人家不是穿一件事想买，这我知道。
[21:51.030] 比两家这么想。
[21:53.410] 不过他那给的确实挺狠的。
[21:55.760] 对吧？对25 25万多是吗？25万多少？24万多对。
[22:01.690] 比如说到谁知。
[22:04.570] 65. 
[22:06.510] 就算246,000，这差多少钱呢？
[22:09.040] 差两三。
[22:10.810] 真的。
[22:12.500] 这都拆完了，你这销售卖车不就是走个量对吧？就看销量，我是走个量，但是您得理解我一下，我上面有人。
[22:21.710] 对你要说行没问题，我这边肯定想卖您，当然不过。
[22:25.880] 因为这价格比我能说做不了主。
[22:32.220] 这么说如果价格我给您给的合适，您今天能定吗？
[22:37.680] 你要说看有多合适，要是也不是考虑基本上在它基础上不会差很多了，你要说在问的话，
[22:44.630] 要说在浮动，你觉得不合适我就不用给您问了，因为本身的话你要是不是特着急，10月份咱就10月份过来再聊这个事儿，
[22:52.150] 因为10月份和这价格肯定是不一样的，
[22:56.990] 因为我们现在好多车型都要推出21款，
[23:00.030] 什么二一块，
[23:03.110] 所以价格对我们区美元的救济毕竟换代了这算对，但是整体不会差很多，是不是中期小改款。
[23:11.790] 特别小。
[23:13.290] 我觉得S60这不是杠杆这个东西，
[23:16.480] 我觉得他们二对20应该是2009说我们车C40H2C60新改款
[23:22.330] 少了个增加了个无线充电。
[23:24.270] 运动版的话。
[23:26.960] 减少了一个方向盘换挡拨片。
[23:29.620] 然后伪标有点区别，其他没什么S60都换成图片，它是在对
[23:34.480] 他是在等调到手动模式，然后是这个没有是吧？
[23:39.040] 8速的是吧？
[23:40.300] 8所这都一样的，对。
[23:42.650] 有人就说
[23:44.810] 什么叫二E款的就有了，
[23:47.310] 21款没有货方方向盘换挡拨片，
[23:50.020] 那是减少的运动版，减少了方向盘换挡拨片，但是S60的话，目前就是改款，具体增加什么配置，减少什么配置，还贷款了以后他没这么大优惠的应该，对，您刚刚上来
[24:02.550] 整体的话，你比如说
[24:04.480] 车次60的话，改款之后差了一个将近8000块钱的优惠，
[24:08.490] 新一次也不用，其实说白了现在改款为了回收一下价格，
[24:14.160] 您说这车有多大变化，其实老板新款放一起，要不细看都看不出来标准，
[24:18.740] 而且增加的配置和减少，其实
[24:21.200] 很有可能没啥必要花。
[24:25.170] 你要说增加个手机无线充电超8，
[24:28.040] 相当于可以理解成您花钱花8000块钱选装一个无线充电。
[24:32.970] 没什么，我是这么想的，你如果跟
[24:38.410] 要比那
[24:40.380] 肯定比那优势能够
[24:42.820] 优势要好好，
[24:44.780] 今天定也无所谓。
[24:47.920] 这一方面
[24:51.920] 但我们不是说方便，我们这好处，我们这就是说后期你比如说像我们维修保养维修方案给几次，
[25:01.540] 负责。
[25:02.780] 一次就得保养，三上午刚嫁给他4次是吧？对。
[25:07.340] 1万公里保养是吧？1万公里相当于他送您4年保养。
[25:11.860] 三年保养，此次保养。
[25:13.860] 什么贴膜，他们那些东西都给到这样，您说一下，我一会进去直接问问。
[25:19.790] 贴膜。
[25:20.820] 小店。
[25:22.000] 还有一个封釉是吧？平常正常都会给这贴膜脚垫封釉的。
[25:27.300] 也没给什么，他基本上底盘装甲给了吗？
[25:31.110] 咱哥俩都对。
[25:33.480] 还有啥没有他欠缺的，别的您先说他那给您什么东西，我这些了就给你
[25:41.560] 264,000多倍，大概我就说264,000，然后送了4次保养这些装饰是吧？
[25:52.830] 264,000，主要我看这钱他这车价肯定没有变化，
[25:56.920] 这里边都是因为你打票上不能改对吧？打票感觉这是厂家那边管控，这不是我们
[26:06.050] 估计他是送的保险和税费。
[26:08.620] 应该这么算，要别的没有钱这是。
[26:18.840] 加个微信，回头我们这今儿不行没生给他了，说你哪天行了，咱俩微信聊。
[26:24.030] 加你微信的行了，您联系也没用，对不对？要。
[26:29.300] 你要能给他优惠，咱就你。
[26:32.800] 对。
[26:33.580] 您加我微信。
[26:36.410] ct5是真有点远了，
[26:39.520] 他喜欢我儿子喜欢ct，我他爸喜欢，所以说这电话的话他又
[26:45.210] 又去了三我都不行，你走了。
[26:49.360] 现在他爸来这他后悔了。
[26:51.860] 也不后悔这车也行，我知道这个沃尔沃也不错，我更偏向于买车，
[26:58.780] 就去反对两种风格。
[27:02.100] 马立足点车
[27:07.190] 反正各有利弊，凯迪拉克可能就是追求动力性能，
[27:11.020] 但沃尔沃相对来说就安全，对。
[27:13.710] 如果比较
[27:14.960] 稳重，说好听点看重沃尔沃就是安全系数高，
[27:20.120] 没别的，所以说在没别的这块，我这车动力还可以，你要是正常190瓶对没问题。
[27:26.830] 动力够用是吧？
[27:29.290] 说够使得是
[27:32.800] 我们讲跟人飙车这肯定不行，我就说他这个标准肯定标不过去，
[27:38.090] 是吧？
[27:41.140] 这个也挺好，就能计算价格了，看你能接受哪个价格是吧？
[27:46.160] 就接受的对吧？越低越
[27:55.410] 加了个信吗？
[27:59.190] 那就
[28:01.280] 逛一圈那边还有别的，他说这么多天了吗？
[28:04.360] 对。
[28:07.560] 沙尘里边应该也没问题吧。
[28:11.010] 不好说，但是你要说完全比他低多少的话要保护，
[28:15.600] 哪怕是一样，我们都在这买的，是这意思吧？
[28:18.360] 这个也不一定。
[28:22.150] 反正您看看，因为你要说能定下来，咱们这车就别说，反正考虑了，到时候咱们就过来，我们必须买的，那会儿肯定要买的时候，
[28:29.910] 然后过来咱们再好好聊聊，而且到时候因为每个系这一点，我们这个家那车保险是不是就到6月份
[28:37.510] 到11月份到10月，所以就到10月份就报废无所谓，如果报废的话您有违章都可以处理，但是如果想保留原号牌的话，违章必须处理，
[28:47.330] 应该是没有位置，肯定你处理也不怎么开了，那车子也我都开开了你时间了，
[28:55.290] 也没有什么违章，完了再说，我们还想摆脱保留车号的话，就是说报废之前你把违章查一下这个车，
[29:03.030] 把违章处理了，
[29:04.710] 号牌就能保留。
[29:12.040] 谢谢您给琢磨行，大家都照顾一些人是吧？
[29:17.580] 没有什么在等等，晚上马上给你打电话，到时候晚上我问问你，
[29:25.400] 倾向于这块。
[29:27.270] 但是您这时间定不下来，因为我现在给您价格了，回头7月份过来8月份过来都不一样了。
[29:32.750] 我知道一点只有三分，我知道你的价格，厂家这块是不是不一定就是对了。
[29:38.670] 因为厂家这边价格他那边是随着市场一直在增长，可能
[29:44.520] 当时
[29:47.100] 最开始的优惠是最开始上市的时候没什么优惠，最上次的话是5万55,000，现在是6万，
[29:53.990] 但是6目前已经10这6万持续了近两两个多月。
[29:59.380] 抵押
[30:00.440] 是电动没准10万，不是没准18万，您这么说有可能。
[30:07.280] 没事，你说完了我们要觉得反正就对您觉得这车把这些钱也值。
[30:16.270] 对，它同时就过来了，还去别的院去看看是吧？我们不去了，还在医院里吗？对行。
[30:24.170] 一会走的时候出门扫到停车，马上车停哪了。
[30:27.090] 那边。
[30:28.220] 行。
[30:29.030] 去哪个展厅都有，出门跟他说一声。
[30:31.570] 要什么？
[30:33.110] 出门停车门去。
[30:34.700] 停车马对，要不他收费去给圣，其实他们的前台找找销售，让他给嫂子就行。
[30:40.910] 我现在正在扫一个，扫完15分钟好那好的。
[30:45.260] 好了，谢谢我。
[30:50.320] 有点。
[30:51.870] 等一会别活动。
[30:54.130] 走了姐。
[30:58.840] 不我给，你微信。
[31:06.400] 天龙号。
[31:10.790] 非常感谢
[31:14.200] 给你的内心，
[31:15.840] 我就看见平胸是一点都没有。
