[00:00.000] 应该是有送的，应该是他有个什么红宝满意。
[04:48.240] 小马的咱们了毛病我再给你看保养，看看销售当时
[04:54.870] 今天厂家这是空白的，先给你看一个厂家，这没有了。
[05:01.680] 还有吗？
[05:02.690] 我再抽抽殿里的。
[05:11.430] 的
[05:18.590] 后来
[05:29.560] 活动
[05:40.430] 咱们这个车车架号081108
[05:48.940] 081102。
[05:53.390] 销售当时送呢子A网
[05:57.040] 送了一次E保养给了医保圈，
[06:00.470] 再来能做一次保养，
[06:03.320] 但是他机油机滤
[06:08.360] 机油几率。
[06:09.920] 用纪律对他一般。
[06:12.170] 送的什么A保B保指的一般就是。
[06:14.100] 机油机滤没别的东西。
[06:16.240] 你像单换什么东西都。
[06:17.720] 自己花钱。
[06:26.730] 三
[06:29.930] 对电商的话空间。
[06:34.950] 边水乡那整一下子不？
[06:37.090] 怎么整一下子那个事
[06:41.960] 580块钱，
[06:43.440] 一起交到时候取车时候一块。
[06:47.010] On may. 
[06:47.680] 别的我估计甭整别的。
[06:49.750] 了，
[06:50.260] 无非就还有一个首保的建议。
[06:53.520] 首访发动机不是刚运转了1万公里，他不是从出场拉下来时候里边肯定会多少有一些。
[07:01.150] 毛茶吗？
[07:02.320] 它不运转完了以后，毛茬子就掉下来了吗？
[07:05.840] 你光靠抽油他给我们。
[07:07.130] 抽不干净，然后一般首保。
[07:09.030] 都会建议做一个发动机的养护，
[07:11.580] 那个是711，
[07:13.120] 你自己决定你做我就给你加上，不做咱就不加了。
[07:17.430] 你了我给加上了，反正一般。
[07:20.520] 五保都会建议客户做。
[07:21.910] 而且随着公里数高了以后，
[07:25.300] 每次换机油的时候都会见你做。
[07:28.080] 因为对于抽油和夹心油特别好。
[07:32.640] 他会给发动机里面形成一层油膜。
[07:35.400] 一些脏东西往里进。
[07:43.060] 弟弟。
[07:47.770] 打电话没事。
[07:51.410] 了。
[07:52.820] 看一下您这车子。
[07:55.520] 7159
[07:57.470] 的。
[07:59.500] 从书本翻价格吗？这车开得多吗？
[08:05.390] 1月份到现在半年。
[08:08.070] 半年1万公里。
[08:09.780] 半年二块钱，他两天拿出7000多公里，
[08:14.800] 年年这么跑。
[08:16.900] 主要是
[08:17.800] 也不年年跑了，今天出去孩子您技术咱们这里边不因为他老家来回3000美元，
[08:23.830] 条多少？120 4000公里，对分房子都是价格。
[08:30.320] 您两个一般的地方咱们这回事。
[08:33.000] 反正。
[08:34.260] 我问你你看这太累。
[08:36.960] 别看人家车子看你自己说的。
[08:39.480] gl450的。
[08:41.300] 行不行？他现在。
[08:43.070] 这个月要。
[08:43.730] 等省花钱你看着。
[08:45.460] 折扣就85折、75折、65折5折他啥意思？
[08:49.060] 啥意思？
[08:50.780] 对吗？保养次数。
[08:52.260] 以往俩B宝起不能打185折，3SB是75，
[08:58.610] C 4B2655V5，B就是more故事。
[09:02.080] 对后边红字是你的车这价格，也就说你
[09:06.600] 简单来说你做四维保养这车是5780。
[09:10.460] 以后这车全都是这谁成交了？
[09:12.970] 你反正这个月有活动还能送电火锅拿回家用，
[09:16.840] 你饶的打折还能送完东西。
[09:19.800] 先不用我又拿我要看着办4+1下回到家里开机有没有6册，但是你保养回做，我也跟着你让快快，
[09:30.350] 我都等了他不能动不了了，咱们基础保养怕保养回不来，宝是什么？就是肌肉和筋脉
[09:36.890] 地方这些有纪律的房子这几个月
[09:40.640] 行吧？你看着来了，反正这个办完了只能在裹着用。
[09:45.260] 一天导演就。
[09:46.400] 只能跟我还能回我们家用了。
[09:48.420] 44年有效期。
[09:50.900] 不对。
[09:52.690] 你要想考虑你就取车时候再弄也行号，200969268号，
[09:57.960] 这两个东西这个月刚刚出的叫保养少花钱，
[10:07.380] 数据
[10:10.240] 了。
[10:11.800] 的
[10:15.290] 的。
[10:22.880] 昨天。
[10:27.400] 了
[10:29.580] 靓丽。
[10:31.020] 远
[10:33.270] 的。
[10:38.520] Nana. 
[10:40.090] 给你还给你打个单子就行了。
[10:43.020] 您这一年要能开3万公里，你找一个实惠开展了不用了。
[10:47.700] 这两个地方两
[10:50.040] 三。
[10:53.700] 我没有信心了，我等会儿。
[10:58.700] 三
[11:00.120] 三
[11:02.290] 申请。
[11:05.770] 俺正就一会先查着，反正这两天也没报出来，到时候我还留着上次给您打着电脑单子，让他们参考一下看看。
[11:13.320] 那个毛病他不是说搞进去二胡比赛，明白，
[11:19.890] 关键是你要是说真是跑堂的规划，他跟除非是你又能拿到了。
[11:26.200] 懂所以说。
[11:27.970] 就说都是让他们参照上次再加上这次进场一块来看看，
[11:33.020] 一般的机油是一天两包，咱看看有什么问题，到时候有啥问题我再跟您联系，有的时候有可能就升个级就行了就行，不用。
[11:41.300] 高级的
[11:43.850] 估计得
[11:47.520] 得有个两条东西，这个是跟着天亮，
[11:53.530] 也是一种套餐开就行了，对吧？
[11:56.680] 对。
[11:57.470] 买OK了吧？
[12:00.480] 二。
[12:03.650] 试着把三严三实
[12:06.050] 两338号130啥也不是，三是我家的检查，像我现在不忘往里面加什么，他都显示钱，最后我就收的时候，我刚跟你说了一个580+11就行了。
[12:21.110] 其他那些东西再说。
[12:23.370] 目前就是我刚刚给你报那俩机油机滤都不会收你钱。
[12:27.120] 然后用那卷给你比，
[12:29.700] 你光看上面那100万里边都没用。
[12:33.860] 不是，因为往上加什么东西？
[12:36.810] 180+410，对，你就交这俩就行了，因为这俩也没送你。
[12:42.300] 也不是送礼的卷，就是正常咱收钱做。
[12:46.050] 除了常规的apple以外，比方说咱以后可能会涉及到放空调滤清，
[12:51.140] 心想你这800多就
[12:52.800] 就是说这就实现了，这东西不用。
[12:57.300] 这东西就是过滤组合，比如您中他名字叫空调滤芯，但实际上您跟前餐馆都下潜开，阳光都是把它处理。
[13:05.740] 的
[13:06.230] 我当时
[13:08.550] 那种没有，房子有时候换换过来。
[13:12.530] 你刚开车不用。
[13:16.290] 这样行吧？
[13:18.590] 这没事了哥，一般到这就停了。
[13:22.130] 您回去等我电话，谁大保养，不知道有人刹车有，然后还有估计检查上去明天后天了，到时候先让他们看看啥问题，我再跟您说。
[13:34.340] 可是这两天车多点，就这样，还有一句话说昨天压力大点，你说慢太慢了，
[13:40.530] 如果你还卖给哪个力还没啥事儿，你留我一电话，你有啥事我打款。
[13:45.220] 没有了。
[13:46.500] 我要在这些要来了高兴，他也跟着他给
[13:51.990] 说说你卖装东西说话了，
[13:54.580] 这车手机卖给了我还真不错，
[13:57.180] 咱减去之前的原价，然后上车。
[13:59.330] 的。
[14:02.970] 44年的。
[14:06.420] 时常看到你了。
[14:09.230] 可以考虑后面。
[14:10.710] 也
[14:25.560] 说
[14:28.990] 可以开票开不了。
[14:36.080] 一
[14:45.860] 也不会讲
[14:52.810] 坏。
[14:57.840] 的
[15:01.230] 取消了那些
[15:05.050] 完了事还给你打电话。
[15:15.280] 咱就不给了。
[15:18.620] 这里边二楼有机会去准备，
[15:26.170] 上
[15:29.430] 坏数据，
[15:32.280] 场。
[15:34.190] 场。
[15:35.680] 场
[15:38.220] 句。
[15:41.840] 数据
[15:43.660] 数据
[15:46.690] 数据、
[15:48.440] 的。
[15:56.490] 坏。
[16:01.740] 坏。
