[00:00.790] 接待首次李女士看C
[04:41.880] 对了，那待会借我也没记到这路上已经有了，但是估计怎么着也得两个月左右。
[04:48.350] 那时候刚上
[04:49.640] 大前天对不对？CI列装挺好看的，
[04:56.160] 还不是好事，
[04:59.300] 它就是仿的猎装版，然后就一个猎人用。
[05:02.760] 第一次来咱们这边是吧？
[05:04.830] 之前有过用之后陈教授回来，
[05:07.560] 后边水的话也发，平时的时候给人家喝点什么，
[05:11.190] 您现在用的什么车，用卡车怎么样？用什么？
[05:15.660] 买车给他用。
[05:17.840] 然后现在用的也是轿车，
[05:20.910] 他没有他直接指标心头一台车。
[05:24.690] 对动力有要求吗？
[05:26.690] 这动力没要求，其实1.5T跟1.5T+48伏电机
[05:32.130] 日常开着区别不大，
[05:34.340] 区别不大，如果说你比如说像我刚才说提到的那几款配置，
[05:39.310] 你觉得你差不多的话，他俩里外里差了3万块钱，
[05:44.720] 原理差3万块钱，完了之后
[05:47.490] 少一东西少一全景天窗，少一座椅记忆加热，电动尾门64或者到其他基本上都是一样的。
[05:53.950] 你说。
[05:55.500] 对。
[05:56.260] 少的挺多，但是就这几样常规的东西。
[05:59.140] 你里外里差了3万块钱，
[06:01.420] 是不是？你一个配置五六千块钱，你这里面有好几个
[06:06.480] 这车之前看过吗？具体的配置了解吗？大概？知道。
[06:11.000] 是吧？配置亮点什么的给您介绍一下介绍，对看车之前有个奔驰的服务公约，不耽误您时间，先简单的给您宣讲一下。
[06:19.560] 对客户为尊以礼相待，诚信经营、合法得体，明码标价，公开透明配件渠道，清宫是绝不捆绑销售，强制消费，绝不生产。
[06:27.150] 我给他接电话，
[06:28.650] 40081809斤。
[06:30.880] 对真实现在还行业一个平板就不用。
[06:35.050] 200系列在260世界本身就是咱们在座的2.7的都是时尚，
[06:40.350] 你在网上看的时候可能有动感也不上，其实没有动产，动产都是通过车，实际在售的200就是二百十块钱的一款，
[06:47.530] 指导价35,800，
[06:49.550] 然后看50也是就这个的。
[06:52.110] 346,800这样。
[06:53.620] 它的大小是一样的，有没有？
[06:56.210] 这俩车说说那个车大概什么样子，然后他俩怎么样，其实就是这种车的中间
[07:01.520] 他俩大小是完全一样的，
[07:03.400] 只是在配置和动力方面的差距，
[07:06.090] 他俩都是1.5排量115千瓦135千瓦，
[07:09.850] 然后额外再加上电机有限的，
[07:12.420] 剩下的数据有多少？
[07:15.290] 比如说像常规的
[07:16.990] LED大都
[07:18.560] 电子客户出去。
[07:20.660] 前6过度的雷达，倒车影像，
[07:23.420] 电路全部不要了。
[07:24.780] 咱飞机飞的话前面60 86
[07:27.770] 电话不是电话，你在上面显示的，它雷达显示听说
[07:32.270] 基本上没有萌。
[07:33.880] 这是咱们我地方上面的话，全景天窗和小天窗，您看
[07:41.070] 这个叫小天窗。
[07:44.230] 二。
[07:45.120] 对200的话类似于这么一个这一个小现象怎么看？
[07:50.090] 这个是260标准。
[07:52.230] 他短对那个是长轴，200的话就只有长度没有标准。
[07:58.990] 然后等于是这种天窗，
[08:00.900] 然后
[08:03.270] 没有对看着。
[08:05.120] 没有一多了一个座椅记忆，边上123
[08:09.400] 作为机器什么概念，这是一个舒适性配置。
[08:12.720] 打比方这车您也用，家里人其他人也用，
[08:16.720] 然后每个人坐上来之后是不是位置都不一样，对您可以把你的位置存储一下，下次你上来，然后按住EN种不动，然后所有的位置都变成你之前条的，
[08:27.280] 我还是会用
[08:29.250] 然后做一加热，
[08:31.150] 座椅加热其实也就是冬天用。
[08:33.450] 对，也就那么一分钟。
[08:36.200] 对，有座椅加热可能上来之后马上可能几秒钟，然后就热了，然后没有座椅加热，说白了基本上空调一会儿
[08:43.890] 里边温度也上来了。
[08:45.420] 对，冬天夏天你就先对就这点区别，然后后边还少了一个功能。
[08:56.250] 的。
[09:00.090] 后边26楼的话，他说了一个电动尾门，这是这次新改款，
[09:06.380] 有的这论文
[09:08.360] 我们说的东西
[09:09.860] 不用我来。
[09:12.020] 对也有用也没用，想的不是联想。
[09:16.490] 谁知正常你的牌子的话是4颗晶，所以说他不会想，要不咱们赶快。
[09:22.450] 我没怎么着。
[09:23.780] 其实他也没有这个想法。
[09:25.270] 正常的话相当于0点开始自动关上了，那个的话就差跟大家。
[09:30.000] 对这个可能。
[09:31.570] 对也区别不大。
[09:33.420] 然后中间。
[09:35.870] 基本上合作是整体一样，
[09:38.600] 也是黑色内饰。
[09:40.140] 轮毂样式有区别，但是大小是一样的，没什么太大问题，都没有。
[09:45.270] 对其它智能也
[09:48.390] 然后外观颜色的话。
[09:50.960] 这个都是有蓝色红色。
[09:53.220] 咱们还有个比方说我红色的。
[09:56.950] 有红色的。
[09:58.500] 特定
[10:01.570] 然后后期的话都是骗的和清迈达到都可以参考其他位置能看到的，包括这里边的整个样板，
[10:08.610] 这是完全一样的。
[10:10.390] 对。
[10:11.290] 安静一样的，其他方面甲方比较关注一些都是有价格的。
[10:19.010] 其实
[10:20.510] 同事买车对车也没有说目标性的东西必须有什么配置。
[10:26.050] 反正常规的配置什么电动座椅调节、R雷达、影像，
[10:30.570] 包括一些比较高端的像普通自动服务器，
[10:33.560] 自动泊车，这都是原装的，
[10:36.950] 自动播送对于这里来说咱商谈还是比较不用
[10:40.920] 用习惯，谁知
[10:43.360] 他这种模式非常简单，就是电锤说，然后确定
[10:47.560] 车子没有我们
[10:49.470] 过去的，谁知
[10:52.140] 其他的东西还有什么
[10:55.510] 知道没有？
[10:56.380] 可以给您安排试驾，你自己打造。
[10:59.160] 你再嫁了吗？
[11:01.470] 可以给你安全的事件，然后实际感受一下。
[11:04.620] 就这样。
[11:05.580] 实际感受一下拍一下吗？
[11:08.190] 我得谢谢。
[11:10.190] 你在车上吗？
[11:11.630] 给您办这是。
[11:13.560] 是吧？给您办个事成稍微然后
[11:18.380] 给他办个事。
[11:19.940] 我卖给你动态的
[11:23.560] 感受一下体验一下，包括比如像刚才你们说的什么互动过程中，你就看看他方便了什么产品。
[11:30.360] 可以。
[11:36.330] 你经常用
[11:39.680] 除了是之下还可以市场
[11:47.190] 我先下去
[11:49.110] 去办登记，然后待会您就直接去水这才
[11:54.330] 对不对？
[11:55.170] 然后我这边好了之后我过来喊，然后咱们就听班我有您电话留一电话。
[12:00.940] 对哥哥车灯这个东西。
[12:04.260] 对。
[12:05.040] 对，您就直接往下走，水后边那边。
[12:11.040] 另外
[12:45.590] 的
[13:19.240] 远
[13:28.550] 号
[13:29.780] 远
[13:48.480] 给你拿过话，
[13:53.660] 的。
[13:55.870] 远
[13:56.950] 场
[13:59.380] 坏。
[14:09.320] 的。
[14:10.320] 后边D
[14:14.930] 的
[14:22.150] 数据
[14:23.290] 票
[14:26.500] 的
[14:30.060] 你去交往，
[15:00.520] 你去赶紧。
[15:01.970] 前面还有人家。
[15:08.300] 前面有没有？
[15:17.800] 直接给钱。
[15:26.640] 真厉害。
[15:34.330] 远。
[15:37.890] 来。
[15:39.040] 的。
[15:40.100] 给。
[15:44.110] 赶紧搞搞一个东西，
[15:47.280] 签字。
[15:48.840] 我签一下，反正我的
[15:51.850] 我直接拍下我就不管了，我操忘了。
[15:56.230] 事成你还非得。
[15:58.680] 视程也得。
[15:59.590] 成。
[16:00.740] 试驾吗？
[16:53.950] 交割
[16:57.540] 你能把什么拿来？
[17:00.240] 你帮我看一下号。
[17:02.480] 这个也可以。
[17:06.520] 4260
[17:08.020] 1260L621117，
[17:12.460] M勾V111。
[17:16.530] 秋天成行。
[17:35.200] 4160在哪？
[17:36.200] 要不是这个吧？
[17:40.870] 实在不工作了吗？
[17:43.230] 的
[18:13.280] 好运。
[18:14.640] 好了。
[18:16.350] 没想到试驾回来就是咱们
[18:20.060] 稍等一会咱们一下回来就行。
[18:22.910] 然后带着做了，详细给您算一下吗？
[18:26.630] 您做报价还有用。
[18:28.480] 你男生你帮我拍完吗？今天讨论定就是先看一看，看看大概多少钱。
[18:35.550] 然后红军价位的分钟再看谁知。
[18:40.070] 看看
[18:41.280] 我还
[18:42.670] 咱们找个地儿坐下，飞机开始。
[18:46.360] 没事也可以，飞机的比他要便宜20多万，
[18:49.670] 他有员工和3000米，
[18:51.650] 钱多少就多少拿多少，
[18:54.320] 要买指导价232,800的。
[18:58.440] 这款前半期才24万的，它有4万吨，
[19:03.780] 他卖10块钱，他觉得有压力高了。
[19:07.410] 然后他还有国产三厢的，
[19:11.910] 谁知
[19:12.940] 办院里二二百的话就卖了25。
[19:16.920] 对这个可能
[19:19.770] 这要比他要小一点，A点。
[19:23.630] B然后CBN
[19:28.080] 奔驰的话它定位baby，这个是一个小型的MTV，
[19:33.430] 他这个9宽度其实还是很主要是因为他高兴。
[19:39.150] 确实
[19:40.070] 它飞行的话头部空间会比较高，这种跟价格。
[19:45.170] 让外行的问题我听不懂，就是说白了就是空间大点。
[19:49.770] 对空间大，红光礼拜一过去了，轿车的话它等于这里边
[19:54.360] 上面头部空间比较什么，你往里坐上面空间比较大，对他力他视力坐姿，
[20:01.920] 然后轿车的话都是卡式的东西。
[20:04.760] 对这个屏幕上好看。
[20:07.590] 对C是分歧的。
[20:09.650] 显示的内容的话是一样的，但是C的话等于是在主驾有一块，然后在中间有一块。
[20:16.070] 对分开的。
[20:18.560] AB这都是这种。
[20:21.230] 双10.5的连品。
[20:25.030] 平时开的话。
[20:26.390] 上就你一个人用对吧？
[20:28.130] 对空间要求也不高。
[20:30.230] 你其实也可以考虑A系列，A有三箱。
[20:34.970] 三这条小
[20:37.360] 展厅应该是没摆，
[20:40.160] 但是车型跟那个车型是一样，
[20:42.900] 只不过就说白了一多一倍，
[20:45.840] 多一本相爱还真是典型是什么意思？就是类似于这种。
[20:51.490] 他没有尾箱吗？
[20:53.160] 三厢的跟他前面等都一样，然后有后边的这个东西，最后出来对这个车型也很大的。
[21:00.330] 后边不影响，
[21:04.480] 后边不影响，它还是第二排空间大小，
[21:07.990] 但是三消的话比这山要略大一些，因为三星的手机号
[21:12.600] 它是进口，它是标准内置。
[21:17.930] 接着
[21:20.110] 稍等一会儿，全部是假回来，就咱们登记完了。
[21:23.430] 这个数据也还可以，就说到要比C要小一些，
[21:28.990] 然后配置也略低一些，
[21:31.740] 然后价格
[21:38.120] 的4个人的话最大一点。
[21:40.720] 对，最大一点。
[21:42.480] 谁知
[21:44.960] 从经济上来讲投资还是最大的。
[21:48.270] 我大概的水液的价格
[21:54.200] 坐车行吗？
[21:56.280] 车型。
[21:58.390] 第
[21:59.960] C然后gl1月多少流程，
[22:04.660] 好，右调就调出来。
[22:06.790] 轿车的话就是AB所以
[22:10.160] 然后再一个就是你刚说的CI
[22:13.920] ca更上一级，谁知
[22:17.040] 因为车型定位是教材，
[22:19.550] 它的价位的话跟C差不多，但是不是新的
[22:26.600] 下降到了他可能上来之后可能没有优惠，可能加入的比C还略高一点，有可能，但那个特征又不漂亮
[22:34.750] 的，愿意在这个位置万分，然后先做着
[22:41.950] 工作着，我给你把价格大概位置
[22:48.620] 可以。
[22:51.030] 我看一下，
[22:56.230] 大概的把价格列一下，你心里有数。
[23:02.550] 数据
[23:14.440] 点
[23:16.760] 数据。
[23:24.550] 数据
[23:28.550] 的
[23:33.950] 数据
[23:37.560] 数据。
[23:44.410] 的
[23:51.260] 可以考虑一下奔驰坏，
[24:03.440] 数据。
[24:08.760] 数据。
[24:13.360] 场
[24:18.970] 句
[25:12.890] 报价之间还是奔驰的服务业，您比较麻烦，对客户为尊以礼相待，诚信中国合法得体，明码标价，公开透明配件渠道进行公示，
[25:21.720] 绝不捆绑销售消费，绝不使用嫁接一次封号。下面咱监督电话40平台了，我帮您监督没事，
[25:28.910] 没办法。
[25:30.430] 然后把单咱们使用都是全国统一的标准报价单，所有的价格在公示板上都有相应的公式，我简单的给您说一下价格构成。
[25:37.740] 给您算的这一款是C200L然后厂房指导价是315,800，
[25:43.350] 优惠完之后是253,800，
[25:45.680] 购置税大概在22,000，然后验车2500，保险大概全险在1万左右，以您最终实际上的为准。
[25:53.170] 这样的话累加起来28万不到29万这车条慢行。
[25:57.020] 对，然后店内的话还提供比如分期
[26:00.640] 首付20%，首付50%这些分期方案，像这种车的话基本上你就掏个差不多时，
[26:08.490] 花个十六七万就开回家了，然后带上一半车，价是25万，
[26:16.270] 首付一半带一半，首付12万多带个12万多，
[26:20.080] 这样的话应该是差不多16万左右，16万多不到17万
[26:25.200] 开回家对吧？三年每月还个3000多块钱，
[26:30.550] 不到4000块钱大概
[26:32.600] 这个东西的总价分期的总价会高出来。
[26:37.920] 因为你最终的话，虽然说奔驰一直强调咱没有金融服务费，
[26:42.620] 但是你还是会多出来利息，只不过相对要划算一些，我给您大概的列个方案您看一眼。
[26:49.370] 对，我以最优的方案给您列个方案看一眼，这个我们不强求。
[26:56.370] 就说白了最后选择分期还是全款，
[26:59.240] 是您的自由，但是我们就要分期划算。
[27:03.680] 肯定有分析划算，就是钱。
[27:07.580] 对，我给您列出来，您一看就明白什么意思了，就这个东西你要说
[27:13.300] 你说全款花的钱多，还是分期花的钱，肯定是分期花的钱多，
[27:18.810] 对吧？
[27:20.160] 这只有你们家没有金融服务，别的才有的费，不是奔驰，没有其他品牌都有。
[27:26.080] 用。
[27:27.090] 这里。
[27:29.010] 我就说的我给电话刚才干什么最后一个环节。
[27:37.770] 场
[27:39.560] 场
[27:42.290] 的
[27:44.440] 数据。
[27:47.230] 场、
[27:50.930] 场
[27:52.930] 场
[27:53.950] 场
[27:59.520] 坏
[28:04.020] 的。
[28:11.850] 场
[28:16.100] 号
[28:21.850] 场。
[28:24.590] 1月20多块钱还多。
[28:26.880] 你看我给你列了两个方案，
[28:29.470] 最优的方案首付50%，在50两年24期，
[28:33.790] 每月还5397，首付合计161,000
[28:37.900] 161,800，这车开回家每月还5300，总共两年下来你多还了2600块钱的利息，
[28:44.600] 相当于126,000 127,000的贷款，你一年花1300块钱，
[28:49.930] 对吧？你说钱确实多了，
[28:51.810] 对吧？但是你借谁10万块钱一年说给您1000块钱利息，
[28:57.050] 是这道理，然后36期每月只还3600，
[29:01.910] 对吧？也是首付合计161,000，总共三年下来多掏6000块钱，一年2000块钱，
[29:07.750] 对吧？
[29:08.290] 您就自己算也是126,900的贷款，他俩分期都是50 126,900，
[29:15.000] 126,900。
[29:16.650] 他俩带的一样，首付比那个首付款是都一致，然后就是美乐
[29:22.800] 你要飞24期，每月五千三三十六期每月3600。
[29:26.330] 对，所以说分期还是划算的，可以作为一个考虑的方法。
[29:30.790] 你要是利息肯定是多出来的，但是说白了咱借我借给您10万一年1万美元，
[29:36.670] 一年1000块钱你也不借给我，是这个道理。
[29:40.070] 还是划算一些。
[29:41.550] 您如果说钱准备好了，你本身可以银行比银行低多了，
[29:47.090] 因为这比银行低，你怎么会高出来，您自己算算。
[29:52.300] 10万块钱，一年5000。
[29:54.790] 对，你比银行高。
[30:00.620] 三年算它的总利率才2.99年化利率才1.56。
[30:05.940] 你要是24期的话，
[30:09.360] 你的年化利率才104，
[30:13.130] 对你肯定是。
[30:14.550] 它比银行利息高得没有意义了。
[30:17.510] 他就是把钱奔驰金融把钱带到奔驰金融的，然后再带给他的客户，带给他的客户的时候，它是贴着利息来做的，
[30:26.040] 就这样的话你才方便考虑奔驰才好考虑奔驰了。
[30:30.330] 他是做的一个他是为了推广他的产品，所以说它肯定是分成把
[30:35.580] 别的都没有什么
[30:37.160] 别的品牌也都有这类的。
[30:39.070] 对吧？对宝马有宝宝马金融，
[30:43.410] 大众金融，
[30:45.320] 谁知3个点4个点的金融服务费，你比如说奥迪，
[30:51.770] 奥迪你按10万块钱三个点来计算，你贷款12万，你不也得30003500块钱的
[30:58.440] 手续费，我这总共利息才2600，
[31:01.800] 对吧？他收你3500，没有利息还比他高。
[31:05.410] 一个道理，
[31:06.780] 一个道理，奔驰就奔驰没有金融峰会，那你
[31:11.680] 看看报价这方面都给你讲明白了吗？基本上没什么疑问，对下边一个二维码也可以对他服务公约做一个有效监督。
[31:22.490] 考虑什么时候买，近期考虑吗？还是怎么考虑？
[31:26.310] 刚刚第一次看，对刚才跟我说来着，说今天肯定不会定，近期在考虑。
[31:32.070] 大概购车计划就是七八月份8月份。
[31:34.990] 指标是谁的？是个人的。
[31:37.810] 对Jay的指标吗？还是咱自己的指标？
[31:40.400] 还不是他的名字是吧？
[31:42.470] 马辉收到在接待，不是你。
[31:45.380] 他爸不是他的名字。
[31:48.230] 是跟指标人熟，是家里人是吧？
[31:52.310] 因为分期的话就是指标人士必须得知晓，
[31:56.070] 因为指标人是类似于是车的车主，
[31:59.860] 咋会收到
[32:06.730] 收到走车回来了。
[32:09.150] 走咱们就睡一下，后面还有什么疑问顾虑没有？
[32:15.290] 咱们先去市场
[32:20.030] 走了没关系，咱们先去视察。
[32:24.200] 好
[32:51.300] 对，可以
[32:52.160] 考虑一下。
[32:53.240] 我们是全球你传感分析都一样，优惠也都一样，到时候看您最后的心情。
[32:59.320] 然后咱们试试成您不用承担什么责任，就是动态感受的。
[33:03.600] 你得承担多少，我里头大家我开
[33:07.360] 没有家里
[33:10.690] 老板做。
[33:25.270] 你们这路线南乌桥调头是吗？
[33:27.620] 不是C姓贾，
[33:30.260] 一圈4.5公里左右。
[33:42.560] 倒车影像。
[33:45.080] 这220 60都有。
[33:52.080] 我当时买车的时候，
[33:54.610] 两年分期
[33:57.090] 还优惠了。
[33:58.830] 现在没有了，现在谁知
[34:06.480] 以前是分期的话有单独的政策，
[34:11.300] 这个本是给银行还是给自己的，不是给银行奔驰金融都在银行里，为什么我分期不是给我自己的，你做的应该是商贷银行的，
[34:22.040] 但凡是自己的招商的，对你做的是商业银行，给
[34:27.690] 你做的是商业银行的，我们做的全是抵押类贷款，
[34:31.780] 他不问你要很多东西，就一张身份证，奔驰金融就直接带了，
[34:36.450] 然后是以你的车为最终的抵押品，
[34:39.850] 所以说它是质押的，你的绿本
[34:42.640] 贷款期间你没法买卖，你要想买卖的话就只能提前考虑提前还款。
[34:48.330] 你那种是等于车贷分离，
[34:50.550] 移车跟贷款没关系，
[34:52.200] 说车你扭头卖了，你这边贷款正常还就行。
[34:58.860] 当时干多少年了？我搁这干三年多了。
[35:04.690] 我之前在奥迪、寰宇、
[35:07.300] 北龙通
[35:08.780] 打着歌叫什么来着？
[35:10.540] 大高个。
[35:12.370] 朱晓波、蒋纬、国、蒋纬将会是销售，朱晓峰现在是大客户经理了吧？
[35:19.620] 那去了。
[35:23.200] 自己跳槽太快，
[35:25.250] 你销售没办法，
[35:27.680] 然后我是经过16年底过来的，
[35:34.290] 经过不搬走了吗？尽管
[35:39.600] 金冠应该是今年年底今年年底就去大兴了。
[35:44.640] 他现在还在那条路上吗？他是临时的。
[35:49.320] 五环外边那一点。
[35:51.520] 他那是个临时的，然后具体的话是在大型还在建，
[35:57.670] 刚好你今年年底明年年初才能在上面。
[36:04.470] 二
[36:08.080] 说森林
[36:10.060] 这一表没必要，真是挺别扭的。
[36:13.440] C系列的全是这样，你要说都变成那种大连平安
[36:19.690] 也没新意了。
[36:21.680] 现在只要是C系列的，
[36:24.080] 什么都是三连平A都是B市，
[36:27.880] 将A在上交OU还真没留意，将为那些上个月乘
[36:32.500] 角AC LV应该都是那样的。
[36:35.500] 我上礼拜
[36:37.220] 来你们店里看CS来了，
[36:41.240] 存在我觉得处理这种控制这东西，
[36:44.900] 只要这木质的东西看，
[36:47.400] 这种
[36:49.370] 木质这东西啥装饰条，
[36:51.870] 装饰条怎么样？
[36:53.440] 只有木质的。
[36:55.360] 你看你空调边上这边是不是？
[36:59.080] 它是低配的是拉丝铝的，
[37:01.930] 然后300系列的话原装是拉丝铝的，但是来的车多车都是加钱选装了木制的，
[37:08.580] 我实际的等于是拉丝铝的，可是我现在只有这股指现车，现在的资源只有选中这个的，
[37:16.350] 他原车是拉丝铝的，
[37:18.750] 标准配置的一圈，我也都买不起没事A但是最后
[37:25.470] 我觉得
[37:27.760] 你们二楼坐那辆
[37:30.360] 应该是套件装满了。
[37:33.500] 135M的更贵，那不贵。
[37:39.880] 全办齐都得40五时四 10六 69，对你好。
[37:46.170] 你这么比那事儿
[37:50.660] 你cos的话最低配办齐了也得像70。
[38:01.410] 这车说白了，现在在这个级别里还是卖得最好的，
[38:05.840] 还是比较不错的，你说动力完全够。
[38:09.650] 它的整体的设计，因为你同价位你去看看三系，看看A4，
[38:15.180] 他还是能比出来，
[38:17.180] 比出来东西A4就不用说了，基本上一看
[38:20.330] 配置做工用料
[38:22.180] 就明显差一个档次，
[38:24.020] 但是那价位确实也是优惠的要多一些，
[38:27.920] S优惠力度比它也还是大一些，但是现在
[38:33.080] 海量其实整体来说差不多，动力差不太多。
[38:36.490] 咱们就是说白了就是1.52.0，实际开起来百公里加速差不到半秒，
[38:42.010] 对吧？他之前
[38:43.580] 他起码他取代的也是C200，也是之前的老马尔陵地宫，
[38:47.820] D工的发动机。
[38:49.850] 所以如果说动力
[38:52.840] 所谓的比较高，
[38:54.470] 所以这车稍微沉一个，
[38:56.060] 这车1吨4左右，4没有难载，质量1吨7说
[39:01.080] 整备质量1吨4吨，
[39:10.590] 然后三三期优惠的少对吧？比他贵，
[39:14.210] 然后配置没得高，这就没的说了，所以说C现在整体来说还是可以，
[39:19.440] 起码销量上来讲，它确实是
[39:21.930] 稳居这么多年了。
[39:25.130] 以前A4漫的多，价格优惠得多，还能卖一段时间，后来新款的A41上来，
[39:31.990] 完全跟它没有竞争了。
[39:39.440] 开起来质感、沉稳性各方面也都不错，而且本身也是个后续车，
[39:45.010] 动力体匹配性操控感受驾驶感受也都比S要好。
[39:51.160] 所以说整体来说这个级别的确实你想比这头比那头
[39:55.920] 价位同样都是说30多万买个车肯定
[39:59.770] 还是考虑它的多一些。
[40:02.640] 而且你像200系列的话，200系列的话是278笔的动力稍微弱一点，
[40:08.210] 但是价位上
[40:09.640] 价位上它起码跟A4最低配的比了A4最低配的二二十八九万，
[40:15.490] 对吧？
[40:16.060] 全班七
[40:17.430] 只是动力提升一些，里边你往里一做202 60基本上没啥差别，
[40:23.050] 但是就比AC要整个的要档次多少。
[40:26.840] 自动波车的话这个是一个案件，
[40:29.770] 完了之后他会在两侧之间
[40:33.460] 搜寻你两侧经过的车位自动泊车，一次都没有，
[40:37.800] 一次都没有成功。
[40:39.880] 你用一回后面没有了，
[40:42.410] 你用一回就
[40:45.000] 你看咱们比如说前面有一个空位对吧？
[40:48.310] 咱只需要稍微慢点，刻意经过空管对吧？然后他就会检测空位能不能停下车，
[40:55.720] 能停下车他就会自动显示AP，这时候咱们按一下确定挂一下到达，
[41:01.680] 那些确定完全到达这个时候就整个全放开了。
[41:09.640] 对，咱可以稍微点了点刹车，
[41:12.720] 只要别点死就行，你不点他有时候比如说来得及，比如说前面过人，他可能光
[41:18.600] 直接来个急刹吗？
[41:20.160] 对吧？
[41:21.150] 咱们可以稍微控制点，比如说稍微带着点刹车，没有什么保障，没有什么
[41:26.730] 有什么保障，没有谁出点问题感觉。
[41:31.340] 所以您问的我就没法解答了，自动波车它只存在我能我有问题我播不了了，
[41:40.750] 我但凡波它是不存在失误的。
[41:44.730] 他只有工作又不工作，它不存在失误的问题。
[41:48.190] 对，他就是个机器，就不对。
[41:51.930] 对。
[41:52.920] 包括比如说他拨半天他拨不进去对吧？他就直接停了。
[41:58.450] 他不会说我拨不进去，我还来回挪，最后挪挪挪把车给剐上了不存在。
[42:03.280] 对。
[42:04.710] 干不了他就不干了，对。
[42:08.090] 你像车位这个车还离的比较近，对吧？
[42:12.040] 你看他就得来回拨，咱们人工播的时候可能咱们知道前面有的可能这样走一下，他正好拨好了之后他还得摆正，最后他挂入P挡什么都不用管，咱们就正常收，都一下车就行了。
[42:24.750] 开的时候我要是在操纵他，
[42:26.830] 她以你的操作为准。
[42:29.260] 对，如果比如你硬掰一下方向盘，他就失效了，
[42:33.330] 你刹车踩死它就失效了。
[42:36.710] 对，你油门词典油门看一下，对。
[42:42.950] 公共都进屋了。
[42:44.930] 黑。
[42:45.960] 所以说它是一个辅助功能对吧？你要是本身你就技巧很好，对你
[42:53.410] 你要依赖你说我。
[42:57.480] 电子产品这东西就是一个辅助项目。
[43:02.310] 咱以前没有雷达的时候正常也能播，
[43:05.540] 有雷达之后，你说他有没有帮助还是有帮助的，对吧？
[43:10.390] 有了雷达有倒影，有了倒影之后，你要没到颖你就感觉没法开了。
[43:15.720] 电子产品这东西都是依赖性的，
[43:20.590] 对吧？它前后
[43:22.430] 后边听合适。
[43:24.180] 咱们平时因为正常都往后倒的，他会前后都协调11,000。
[43:29.150] 对1万或者一年一条。
[43:33.970] A宝958，必保1288，
[43:37.090] 保养现在bb都不错，都是千块钱，
[43:41.390] 都是一些在网上各方面条件了。
[43:45.440] 别的方面它还有什么疑问吗？
[43:49.230] 基本上购车的话就差不多8月份。
[44:01.320] 您考虑一下。
[44:02.680] 其他的基本上价格刚才都给他报了一下。
[44:05.560] 大概都问一下，一个基本上解决了，如果有什么疑问的话，你再不会给你正常
[44:11.780] 电话留的是你的情况。
[44:13.390] 正常明后天的话，我这边旅行也会有回访照明。
[44:17.550] 你单位
[44:18.280] 时间到了。
[44:19.360] 68了。
[44:20.210] 如果是3万
[44:21.310] 优化
[44:22.450] 上报电话不对，这上面也有我电话。
[44:25.760] 如果有什么疑问的话，您可以绝对不会。
[44:28.430] 我找找原因，对，就是说可能
[44:31.330] 我在工作
[44:32.380] 等我说。
[44:33.680] 然后还看别的平台吗？
