[00:00.000] 坏数据，
[21:43.180] 就这几样，我看我加一下多少钱，1255 458加一个600，
[21:49.270] 两也得2300多给您，3300您都能做，您
[21:54.540] 单独能行吗？按照你们现在这些成本都弄到多少？
[22:01.770] 正常应该13,000~14号了，个人他也了一条好了。
[22:07.620] 多少12,000。
[22:09.310] 66万公里，U21公里的话5毛钱是吧？可以吗？在这就很简单这些是吧？有啥用装修你别的车奥迪我的奥迪站也是6万公里大保，
[22:24.290] 德国都是这样，但是整个行业整个没事，然后你现在多少不会的话，
[22:32.670] 我们的节目我在没那么多的那么厉害这边
[22:39.590] 他就是厂家的，为什么有色也就是我的车卖出去以后，
[22:45.350] 4S店有什么样，你的车跑多少公里，他给我交多少钱，这是他们的
[22:51.790] 要谁来给？
[22:54.240] 反对
[22:57.240] 他，然后就是说是什么，最终应该是你刚才说的要是A宝马机油是什么地方，包括普通机油往哪，内地是哪个地方，谁知的你要是大宝也是发动机的油对吧？包括了包括了包括的
[23:19.430] 除了这个以外就下一个变速箱，还有一个皮带，
[23:25.390] 花山，然后平常说的可能是吧，你
[23:30.950] 对答案不是问题，因为现在维修都压车排队吗？
[23:36.850] 再有这块的那些出问题我能感觉到吗？
[23:44.630] 电子枪要是有问题，你就可以直接卖车了，就是那个地方你花我说变速箱要是有问题就可以，
[23:54.490] 要是修的话就知道。
[23:58.740] 到了我觉得
[24:04.310] 对这个结果说
[24:09.190] 对到底是哪块有什么问题。
[24:11.660] 在我的意思为什么工程就是你的诊疗没有打元气，你打过去我肯定自己，你问我
[24:22.940] 说我这小的检查我就放心了。
[24:26.720] 还有其他东西我跟你说，
[24:37.480] 稍微
[24:40.660] 的
[24:42.760] 谁知您的支持我的电视机还有超级气，但我强调给你发信息也不理我，对不对？
[24:51.730] 环境了，
[24:53.210] 我晚上再在网上我好不好？我知道我说句话，
[25:00.770] 不是我说你要是认识他你就等我了，我就等着我跟他说的话，我也不是说强什么东西，您说
[25:08.560] 我怎么给弄去。
[25:10.340] 您看您方便吗？谁知
[25:15.060] 就按照领导是吧？就差一个变速箱皮带。
[25:26.430] 什么还行？
[25:29.300] 行业的机场
[25:34.000] 的
[25:39.520] 快
[25:40.750] 的。
[25:42.830] 的
[25:47.880] 头部对。
[25:51.520] 研究完了。
[25:54.910] 数据
[26:00.400] 的
[26:04.950] 数据。
[26:16.970] 手
[26:23.880] 4
[26:32.240] 一共2381一个
[26:37.440] 取车单。
[26:38.900] 您在这帮我签个字。
[26:40.720] 和你们价格一样吗？正常保养都是一样的。
[26:49.320] 朝阳你们做吗？导演你们做吗？
[26:52.180] 先看看看打电话看到目标的经营的往往办公室的非法有一些
[27:00.770] 就是钱谁帮我换机油发动机里面的对。
[27:04.740] 然后你大宝
[27:07.600] 也是发动机的，除了发动机，还有变速箱的变速箱，基友变速箱红叶，
[27:15.490] 防冻液散热的办法刚刚多少？
[27:18.300] 这样1020 9 13杭州市支撑我说了您也不知道什么东西安在什么地儿干啥。
[27:27.600] 面对对，我说变速箱是干嘛用，你要是把变速箱抛开了解析了跟你说那油是干嘛去的，是怎么着弄。
[27:37.960] 我说完了您可能过一会，我说别的时候你前面那个
[27:43.140] 的3186点这样噻，期待好吧，防冻液对是这样对吧？
[27:51.670] 谁知又坏了。
[27:57.690] 能多少钱？
[27:58.480] 不算太多保养，1万块钱里边一个繁体就1万块钱，就是大部分的事明天
[28:05.090] 我在这里
[28:06.440] 这写的啥nothing。
[28:09.080] 不是那是有一个活动，我跟你坐一块，我说行办的话我再跟您说，您不办就算了。
[28:15.960] 他就是预存保养两个，把两个臂膀浅一点。
[28:24.990] 这次
[28:35.980] 花、
[28:43.330] 你放心主要很重要的肯定刚才讲的对。
[28:51.830] 对您有一个表我给您看一下。
[28:57.880] 这里边有文件，
[29:07.210] 的。
[29:09.280] 我听下来行。
[29:11.750] 明天下午
[29:14.740] 明天上午9点之间应该在2点左右。
[29:20.120] 你等你电话的，对我肯定得给你打电话，等我电话等你电话是吧？
[29:25.450] 您可以看一下。
[29:28.200] 怎么交费，微信啥都行，叫明天取车的事情，这就是传动轴这个位置。
[29:36.710] 就这个位置。
[29:38.700] 他原车的
[29:40.640] 是不合格的，它这块容易磨损。
[29:43.800] 因为他是这样可以动，它可以左右上下这样动，它这块容易磨，因为他是在这样转的。
[29:51.680] 然后为了防止它这块磨损，时间长了以后他要磨损，就该有咔咔就给撞响什么的，而且那个东西
[30:01.440] 然后就再换一个
[30:03.340] 把它换掉，换成一个全新的。
[30:05.780] 然后这块的材料也加强了，
[30:08.750] 不像原先这样那么容易出现磨损状况，
[30:11.640] 就是那么一个功能磨损，除了小孩能干嘛折了，他如果要折了车就动不了了。
[30:18.470] 船动不了了，船对就不能走了，最后能不往前走，对他叫传动轴。
[30:25.270] 它动力没法传递了，他就波动了。
[30:28.490] 对。
[30:30.550] 容易磨损，现在就弄的
[30:33.460] 就为了避免他出现这种情况，
[30:36.600] 然后厂家召回要把它换掉，
[30:39.610] 排除
[30:40.870] 隐患。
[30:42.680] 行了，
[30:44.380] 就是那么个意思。
[30:46.200] 我还等没事了，我这就登记完了，我就可以等着，对，然后您回去再跟先生说一下轮胎的费用。
[30:54.790] 空调风，然后
[31:00.320] 今天
[31:02.450] 您说
[31:04.520] 机油，
[31:07.180] 发动机的汽油是我那个屏幕都会实施了，要是发动机又分了，机油有问题，
[31:13.190] 其实机油要是有问题，发动机内部磨损是不同意的。
[31:17.670] 如果要是模块的话，
[31:19.670] 他提醒你也没用。
[31:22.900] 那是定期更换一年或者是1万公里，谁先道路测试。
[31:30.130] 我的意思是你们现在不能检查，要根据车的情况来，
[31:35.970] 没有那么高的技艺，谁知
[31:38.940] 他就是一年或者是1万公里换一次。
[31:42.990] 没事了，谢谢。
[31:46.280] 没事。
[31:50.300] 我拿啥学院说明。
[31:56.440] 吃饭。
[31:57.920] 这句话说我慢慢的
[32:04.350] 你说咋了？
[32:05.440] 有点问题。
[32:07.820] 你先简单的说说，我把这单子开完了。
[32:10.530] 行了人家的了，没事他走了，你说你先弄不想了。
[32:15.300] 他这就是现在系统上显示一个啥？身价出现一个问题。
[32:23.910] 907。
[32:25.970] 什么叫。商务？
[32:33.050] 的
[32:38.250] 一
[32:40.080] 元
[32:42.210] 数据
[32:45.840] 场
[32:50.730] 高。
[32:52.520] 今天早晨好像前面
[32:55.660] 好戏的吃，然后
[32:58.720] 有一个高远了，
[33:18.070] 要不等一下看一下车。
[33:21.520] 先不要弄完了吗？
[33:26.600] 好好没事，先给他弄完了。
[33:29.200] 我要去看看。
[33:32.580] 晚上回来给你，没有他走了他进不来了。
[33:36.960] 受不了了。
[33:38.600] 他不来了。
[33:40.910] 那天我给你发信息你可能忙没接，
[33:46.300] 然后这边刚好是出现一个叫什么东西，
[33:51.650] 出现风险你拖车来不来？
[33:56.660] 我肯定认识。
[34:02.360] 进行技术工作。
[34:04.920] 然后跑到清华4S店去，
[34:09.920] 然后
[34:11.430] 没办法换了个什么
[34:13.510] 传统服务光盘传动轴都回来了，收回了，
[34:19.120] 没召回坏了，坏。
[34:23.590] 咱栋楼是不是需要召回？
[34:25.620] 好像有召回。
[34:28.430] 刚好我转辘轳在车上，
[34:32.170] 要召回的话，你再给我放下来。
[34:36.250] 他还建议患者
[34:38.150] 不要召回的话，你找他去，
[34:40.770] 我肯定找他，
[34:42.760] 我就不能给你动了，没问题，别的问题可以修改别的问题。
[34:49.080] 到
[34:52.000] 抓回来。
[34:57.710] 查查有没有车。
[35:01.860] 别到时候找上半天。
[35:03.690] 半天
[35:08.140] 的
[35:11.270] 的
[35:13.500] 上。
[35:15.250] 的
[35:26.680] 快。
[35:28.820] 主要是我太着急。
[35:32.890] 别着急
[35:36.340] 了。
[35:40.350] 谁知
[35:41.870] 然后谁知
[36:06.550] 介绍接不了了。
[36:12.410] 不清楚我的电话
[36:23.630] 的
[36:25.360] 还有
[36:26.560] 的
[36:31.350] 的
[36:40.490] 特别
[36:41.890] 另外
[36:44.020] 基本工作重点推进，另外大概都是借口他们了。
[36:52.430] 好。
[36:57.030] 重点介绍一下
[37:02.800] 我知道注意一些，听到没有？
[37:06.840] 形成观察。
[37:09.800] 不要了，
[37:10.640] 也
[37:11.940] 结婚了上班的另一方面，
[37:18.410] 昨天
[37:24.160] 你说。
[37:29.970] 三
[37:44.560] 把
[37:51.230] 不好模仿你了。
[37:55.390] 对。
[37:57.320] 数据
[38:00.440] 的
[38:02.910] 坏数据
[38:07.520] 数据、
[38:09.930] 数据、
[38:12.440] 数据、
[38:15.030] 场、
[38:31.470] 的
[38:37.470] 场。
[38:39.360] 一
[38:50.230] 坏
[38:53.300] 的。
[38:59.050] 谁知。
[39:04.550] 好听到您说了。
[39:11.480] 335的车来过我们这边吗？
[39:16.180] 先接过来车牌号您告诉我一下。
[39:23.530] 11
[39:27.450] 4
[39:33.290] 前后
[39:40.210] 要
[39:59.960] 116。
[40:05.200] 对，哪个两个前轮或者是哪套？
[40:09.150] 老师可以介绍一边6攻击我，让我们先上两天了，好。
[40:15.050] 我做了点，你这一块刚才给您了有过，但是一般的
[40:23.270] 超市一样，希望对现在要低都交货，地上公交做不了明天。
[40:32.370] 谁知
[40:35.650] 说得非常快，他就二现在
[40:42.210] 这一次
[40:48.060] 这种那天我在这里的青青
[41:02.660] 的
[41:06.020] 33
[41:20.950] 到
[41:25.970] 7月份是的。
[41:27.800] 谁知
[41:30.440] 数据
[41:32.990] 远远
[41:39.110] 数据
[41:42.480] 五
[41:57.400] 的
[42:04.310] 的
[42:12.080] 数据。
[42:16.720] 月
[42:21.600] 数据
[42:22.940] 数据、
[42:24.650] 数据、
[42:27.320] 数据、
[42:43.200] 三
[42:44.780] 的。
[42:53.710] 你觉得
[43:01.960] 和咱们数据、
[43:09.370] 数据、
[43:11.800] 数据
[43:14.620] 的网，
[43:23.030] 的
[43:28.560] 我还有的东西说话。
[43:31.670] 你们如果您电话吃饭，
[43:44.610] 刚才第一
[43:52.730] 我是说没了完毕，
[43:56.840] 谁知
[43:58.910] 还有
[44:02.180] 然后教授
[44:07.670] 又还不到，应该说这个
[44:11.660] 我没见过我这么
[44:20.040] 好。
[44:23.220] 谁知
[44:27.000] 还有打工的，既然都可以创新，要包括中间他们还有啥的，
[44:34.240] 这是所以这个问题
[44:36.400] 远远
[44:37.800] 远场
[44:39.440] 场
[44:41.480] 数据
[44:44.900] 的。
[44:50.140] 您等着接一个车坏了。
[44:57.030] 看
[45:01.560] 的。
[45:08.940] 要
[45:16.660] 未来的
[45:21.370] 汽车。
[45:22.880] 车牌号是多少？62727行那个了。
[45:28.280] 还没出来我问。
[45:42.130] 数据、
[45:49.350] 数据、
[45:51.460] 数据、
[45:56.780] 数据
[46:00.120] 数据、
[46:01.870] 数据、
[46:08.000] 0627那车怎么样？
[46:19.050] 的
[46:22.730] 放哪吗？
[46:24.200] 完了先没事，然后我再找个招呼是吧？
[46:28.320] 谁知
[46:29.870] 首先要中午了，白天
[46:37.190] 你知道刚才那个叫
[46:41.300] 我家门的单子负责在我们，这是您的吗？
[46:46.050] 20。
[46:52.390] 开始。
[46:56.190] 吴涛来说。
[46:58.530] 您等会吧。
[47:00.380] 对，等一会。
[47:01.700] 他那边教了，一会我找他要去。
[47:42.720] 先把人加设备，它这个也得打个单子什么的，我先让他报价了。
[47:49.630] 我给库房打个电话。
[47:52.130] 你电话。
[47:54.400] 给他打电话给原来那个不用了。
[47:57.150] 完了电话
[48:00.040] 你帮我报个价，
[48:01.480] 告诉你说加号，下半夜你看看继续。
[48:04.710] 这块你刚才放哪？我没有W弟弟，
[48:09.980] 我告诉你车架号。
[48:14.720] 等多长时间？
[48:19.650] 行。
[48:21.610] 他在等5分钟。
[48:23.080] 你先办了。
[48:25.030] 这么着房子放那了，我没事儿走在
[48:27.740] 一次性
[48:31.870] 都在。
[48:33.920] 好的，谢谢。
[48:37.350] 0627。
[48:38.980] 然后你等会给他看一下，你好。
[48:42.550] 谁知
[48:47.640] 全部。
[48:53.090] 咱们那是A6那条是吧？
[48:55.890] 你好，车牌号是多少？61661762
[49:00.900] 6176。
[49:03.530] 6176可能
[49:06.600] 上市。
[49:14.000] 啥？
[49:15.970] 谢谢2:30。
[49:21.210] 高铁当时没有
[49:24.220] 北大所有的都在
[49:26.980] 上
[49:28.710] 这块业务话，
[49:30.290] 他经常打
[49:33.000] 大数据，按照我说的二二谁知
[49:39.120] 98年。
[49:42.390] 招商银行
[49:44.080] 到
[49:45.360] 行。
[49:49.420] 这种。
