[00:00.000] 2020 75对吧？会稍微三处。
[00:04.140] 行，小米。
[03:19.380] 配置特别全的那种。
[03:21.600] 您应该看。
[03:23.520] 因为动感配置比时尚D他主要是有
[03:26.980] 有自动泊车，
[03:29.280] 那么就是在自动泊车往下全都有，除了一个
[03:32.870] 自适应巡航以外，其他都有。
[03:35.280] 然后段自动四圣全行这全系都没有。
[03:39.990] 你看的就是这指导价。
[03:41.520] 是276,800的配置的是吧？
[03:44.310] 有可能。
[03:47.040] 因为那个是低配的是25万多。
[03:49.690] 259,800。
[03:52.760] 你要说要摆一次的话，咱就没有现车，就是那台
[03:55.890] 山脉灰
[03:57.070] 颜色。
[03:59.040] 有点像咱后边深色那柱子那啥。
[04:03.360] 我拿这个给您算个价格，您对比一下。
[04:07.960] 我电话跟你们联系过，
[04:10.320] 然后你那边在价格上差距比较大，
[04:14.460] 应该是没有他们优惠力度那么大，可能
[04:17.120] 因为它变小。
[04:18.760] 因为他店小，然后马上就要搬家了，后期的维修保养什么的以后都要按照东南6环，
[04:25.510] 所以他必须得把车架多降点，或者说把保养或者多送点才能稳住这客户以后，
[04:32.530] 上那边人家售后也能。
[04:34.460] 沿着。
[04:35.690] 所以跟这方面是有点原因的。
[04:50.840] 二
[05:48.350] 您是打算全款还是分期？
[05:51.560] 现在好像
[05:53.160] 在他们那边是分期和。
[05:55.900] 分期都送5000块钱，就将5000块钱，如果你要分期的话，他将5000块钱。
[06:01.260] 咱们这分期全款一个价，为什么会分期多转一圈，他就。
[06:05.580] 通风的
[06:06.520] 这个位置跟银行有业绩有合同。
[06:09.390] 所以
[06:10.580] 咱分期存款一个价都是优惠55,000，
[06:31.920] 如果反正这车之后分期您也不吃亏，因为分期没有手续费。
[06:36.390] 二挺合适。
[06:39.050] 给您算的是奔驰金融吗？
[06:41.520] 对应该是。
[07:02.320] 给您算的是三年期的。
[07:04.280] 对。
[07:05.600] 首付给您控制在10万块钱，
[07:08.250] 那就是首付30%，
[07:12.440] 然后每个月还4500多，是这方案吧？
[07:14.910] 有可能。
[07:31.990] 对。
[07:35.150] 等我
[07:51.200] 为什么怎么办？
[07:56.820] 我这边。
[08:02.910] 先生我给您讲讲咱们报价。
[08:05.430] 车架咱们这个事，
[08:07.640] 如果在他那看的也是第200十上的话，都是统一指导价是千千八的，
[08:13.240] 然后优惠55,000。
[08:14.800] 咱们是221,800开票，然后购置税是国家收取的吗？我们预估没有什么差额的，19,000多，
[08:21.900] 然后验车上牌费2500，这个是固定的。
[08:25.290] 然后应该都知道就那一条龙服务去交，购置税办临牌儿、工商验证、环保、国内环保弟弟检查，最后一步验车上牌都含在这里了。
[08:34.730] 然后保险的话给您预估第一年在8000块钱左右，咱们是送您，因为您是重构客户送你5000的保险，
[08:41.320] 所以相当于第一年您都花3000块钱左右，
[08:45.010] 然后合计给说是246,000元，
[08:48.590] 然后分期方案给您算两种，觉得哪种合适您选哪种都行，这种事首付30%带70%，每个月是等额本息去还。
[08:57.650] 这种先还利息，每个月都还500多块钱，然后还三年，最后您再还本金13万多。
[09:03.740] 明白了。行行我吧。
[09:05.350] 他大部分的优惠就是在保险上全送了。
[09:11.710] 反正白送他就是一点，他保险给您预估了多少。
[09:14.530] 1万块钱就不要了。
[09:17.190] 他是第一年送还是有续保押金？
[09:20.720] 没有什么我给，你看他主要是像你说的，
[09:24.790] 在以后的保养上他送了一个
[09:28.580] 早晚的。
[09:29.880] 什么刚才黑板活动对他们店主打，因为您在做B保的时候，他不给你打折，把A宝钱回来，然后还能把您一直锁定到去商店做保养。
[09:40.930] 你主要是怕它电挪挪地儿，
[09:43.440] 他店肯定多，早就已经奔驰，如果过了今年他再不挪奔驰就已经把尽管给取消了。
[09:51.320] 因为本身没这疫情影响是要求，因为那块地儿东南五环，他们家那块地厂家已经出钱
[09:58.420] 弄完了，
[09:59.750] 但是他们都觉得太偏。
[10:02.870] 在这边这不受疫情影响，厂家现在催的没那么急，但是已经下了。
[10:06.830] 最后通牒了。
[10:09.350] 言。
[10:09.880] 过了今年。
[10:10.880] 最多明年1月1号必须得搬到明白了。
[10:13.880] 明白。
[10:14.950] 行，我就是考虑这么一个因素，因为他后面给了像你说的
[10:18.700] 是什么？早就主要送的保养。
[10:21.000] 我们知道不光这一个车型，他们店所有车型都是这么弄，
[10:25.030] 因为毕竟我们两家店离的不远，大家肯定顺道祝这片的都去看看，都去对比这品牌。
[10:32.310] 对。
[10:34.200] 对。
[10:35.370] 所以客户反映的都是这种，而且你想他我跟客户说过，
[10:41.050] 我说他既然送终身的免费，您可以跟他说我就A饱去你那做，B保的话我就近做了，因为太远了，
[10:48.090] 他们不行是要签协议的。
[10:50.990] 您要是每次A宝去那座地堡必须得去那。
[10:55.560] 行行，我听明白了，反正就这么一回事，我看着背面没别的客户信息，没有。
[11:01.990] 这个没有没事跟我太太商量，幸亏你有你这个消息。
[11:06.780] 我不知道是店里边肯定聊不到，这是对把它给您煮不到的，就给您嘱咐到了就行，然后您要是觉得离这也不远也方便，然后您就可以也考虑着，反正到时候有什么需求，您可以随时咱们再联系，我们这倒也不尽您在培训补助，
[11:23.290] 但是其他的几个店还是不知道这块。
[11:29.040] 我们这挺方便，对什么北7家
[11:33.230] 十几个红灯路口近是近，但是红绿灯太多，我之前有一个客户就住在亚奥那边，不也有个奔驰店，亚运村
[11:41.860] 他也不去，
[11:43.110] 他就住那对面，然后他说每次去就排队等什么的，再加上他觉得那个店服务什么的各方面都不如这，他就说我明白还怎么还得拿还得掉头，
[11:53.750] 是不是？反正他就说不好走，然后每回技能特费劲，
[11:57.860] 然后他也来着，
[11:59.570] 一开始说我说你们家里住的位置，我说有啥4S店他从来不去，
[12:05.290] 而且他说好像挨着亚运村市场，他老觉得那会乱了。
[12:09.560] 他跟我说，
[12:10.830] 但是我跟他说了，我说人家那样一级经销商跟我们一样，可能就是资源稍微少点，
[12:16.240] 但您看这车型确实要是有您心仪的颜色，您可以入手，因为毕竟这种进口车来还是小，
[12:23.830] 反正这车配置都是一样，主要是我太太她不怎么开车，所以他
[12:30.280] 需要有自动泊车，要不然他自己提供依据，就是照顾她。
[12:34.520] 自动模式还挺好使的。
[12:36.310] 试了一下，
[12:37.920] 但是他自己刹车毕竟电子系统自己刹车比较急，但是还算好水。
[12:44.470] 动车原来智能一些，
[12:46.920] 然后咱现在基本上首先报的就是一个老客户底价了。
[12:50.890] 没有了。
[12:52.620] 您可以对比自己看看，然后
[12:55.280] 更多优惠已经没有了是吧？其实就是没有只能说给您申请试试，但是没有什么太大的比例了已经，因为我给您报的就是咱老客户的价格了。
[13:05.480] 他们是车架跟我们是不是优惠差不多？
[13:09.140] 质量当然它又会多了6万多可能。
[13:11.800] 6万多。
[13:13.540] 咱肯定到不了，那价格没问题，能不能不真的说您要说照着6万多，我就不让您来回折腾了，
[13:22.370] 肯定申请不到的价格万万不行，66万咱也到不了，我不瞒您说，我们的权限是54,000，经济条件56,000，我给您折了一个中午万5，
[13:34.080] 是每个店都是6万，所有的那些对，因为什么？
[13:39.530] 我开始在手机上注册的，你注册就推不出电话打过来了，然后他又哭了，他也没问什么，他说
[13:47.650] 价格多少，你说我们优惠的话这是第一句话，对。
[13:51.160] 这就是电话报价，包括我们的电话报价也这么报，你知道为什么吗？因为我们车价我们补贴5000，保险要综合优惠，我们所有的电话进来全打工和优惠，不跟人说直接车价将东
[14:04.180] 所以您要去像您刚才说的
[14:07.920] 来实体店，
[14:09.120] 问问他这个价格是怎么出来的。
[14:11.720] 但是您说尽管的话车价降6万是有可能的，因为电厂确实是他会那样，
[14:18.210] 但是稍微大一点的店它车价多不到6。
[14:21.040] 你说有没有车？主要是看
[14:24.770] 又要试驾宝马，就要试驾奔驰，所以这两个电台的近就去，你也知道那两个店。
[14:31.390] 对，都在那段路上。
[14:33.650] 这边去完成，区里边两边都试了，他那车是应该也挺好开的觉得。
[14:40.140] 我开车要求活动主要让他们开车，平时带客户这车挺好的，整车进口而且空间也大，一点都不憋屈，还是综合的选择一下，身高1米6，然后车宽178，车长特别短。
[14:53.850] 您吃了吗？
[14:54.840] 然后你看车长怎么让。
[14:57.430] 二我太太好不好停车，因为现在都是那样。
[14:59.590] 现在没人开特别大。
[15:00.970] 车出去了，停车都不好停，都得抢车，没事，您先参考一下，反正我这边现在现车只有一台，
[15:08.640] 下面会我。
[15:10.130] 没问题，因为我宝来的。
[15:14.240] 环保还没有弄下来，
[15:17.610] 是国三的车，
[15:19.360] 他不是我们保单买的早，然后后来生生变成国三的，他在系统里面没出现，对，因为他有可能是在北京里边会是这样，但是在国家档案里边，因为国三的车不是可以强制报废的，
[15:34.520] 在国家的档案里他还没升，还是管出不来，北京找不了，他说他正在给我手动输入，
[15:40.810] 您看能不能行，我们这已经失败了好多了。
[15:43.860] 没问题，他说那头几天就行。
[15:46.360] 他说他查到没查到，但是我们给你手动输入什么的，再给我办这件事儿，让环保局是吧？对环保局
[15:53.410] 那就行那也行，然后把这事办下来明白了，但是我不急我车也能开，
[15:58.890] 我也不急行，刚才为什么我希望是在10月份或者11月份买，我主要明年这样，
[16:06.010] 这天别太热，我宝莱花生买的每年也就。
[16:10.800] 7月8号的。
[16:11.910] 政府伏天的8月份咱班好多了，您过去。
[16:18.490] 行行，您先过去，然后有什么问题咱们再联系。
[16:21.410] 您慢走待会。
[16:23.360] 没人家也哭了干嘛？咱们鼓励一下了。
[19:05.880] 要
[19:06.800] 完了谁知
[22:42.230] 你让他进账了吗？
[22:43.650] 你做得好，你站一天。
[22:46.280] 电话。
[22:48.670] 你那个太累了。
[22:50.650] 这个比你高分贝的快。
[23:00.160] 你告诉你针对快乐，
[23:01.880] 特别惯着干活了。
[23:31.310] 价格是。
[23:32.160] 张吗？这种吗？不是。
[23:34.980] 今天谁不能只强调扣押了？
[23:43.030] 的
[23:54.270] 的
[23:56.940] 坏。
[24:00.810] 6
[24:05.430] 300 300，谁知
[24:12.380] 了半天好久了，
[24:18.670] 也不知道他啥时候回来。
[24:24.800] 今天
[24:30.260] 天天的不在
[24:38.800] 业务。
