[00:00.260] 二次客户交车
[06:24.830] 但是
[06:26.710] 月份
[06:27.580] 你上看完之后咱们去保险怎么上，
[06:40.360] 然后险种怎么上去的？
[06:42.340] 拆迁肯定得签下了，钱先生行，咱们这边还给他们算一下。
[06:50.750] 等三人。
[07:21.620] 我说还在哪？
[07:22.900] 我给你看看，
[07:25.420] 这里是迎面。
[07:32.470] 咱们一起回家，
[07:35.750] 也不怎样。
[07:36.760] 出来。
[07:38.120] 哪个桌子上？
[07:39.480] 原来了站着道路我。
[07:42.560] 这边是吗？
[07:43.560] 桌牌是吗？
[07:44.640] 把包子都过来赠送的厨房。
[07:47.420] 差不多都不管。
[07:48.790] 3万。
[07:50.600] 3600 400万盒子，
[07:53.090] 开票价是1,458,800。
[07:56.100] 是昨天那个吗？公控？
[07:59.580] 谁知
[08:03.570] 先拿票发票，你先算我能看看那个车钥匙吗？
[08:09.050] 对。
[08:12.170] 这个没有什么特别的，还是450，没什么别的，对这上面没镶钻石什么的。
[08:21.520] 不一样，真心。
[08:23.850] 看不清。
[08:30.510] 第三块就是了。
[08:32.480] 我可是如果镶钻石是用来划玻璃的吗？
[08:36.870] 这是小碎钻一圈全都是抓手，三下标可以一圈算，
[08:45.510] 签名的还可以跟你们领导说，
[08:49.270] 一圈转去都不用砖石，我相信
[08:53.380] 新华我清晰的水晶就是让这个服务，就说你卖一个不同的版本，这钱都能买到，有人肯定要对真的我要
[09:02.870] 姐姐买了车，好，我姐姐买药
[09:08.970] 来
[09:10.070] 瘦了起码要
[09:14.700] 然后他们如果硬要他们就来找我买，然后卖陶醉。
[09:21.350] 要蹲吃要多少钱？
[09:23.900] 多少钱，我哥调配的4000多合金，
[09:29.670] 为什么？
[09:31.320] 结果号码要4000多块钱，说什么中分空气那味，
[09:36.020] 我刚哥点时间让我重写，
[09:38.940] 你妈逼上礼拜我说完，我也画画不画了，贵了我上去
[09:45.590] 拿走了。
[09:47.330] 4300。
[09:49.750] 既然OK关键是不然这多少年现在说了。
[09:54.400] 今年前了。
[09:56.620] 现在这个要更乖。
[09:58.130] 你就可以。
[10:06.710] 我跟。
[10:07.790] 的。
[10:08.850] 所以可以专门之一
[10:11.740] 再配个外角谁？
[10:13.950] 你就只能在手机边上摆清楚了一个到了。
[10:18.850] 上。
[10:19.720] 刚的。
[10:26.640] 真的。
[10:29.310] 对。
[10:31.160] 等等。
[10:32.540] 什么时候开始？
[10:33.560] 过原点等会儿，
[10:36.590] 如果没有你身边压力，上级
[10:41.230] 算产量着急，
[10:47.910] 这块非常
[10:49.570] 但是你好事实是慢慢
[10:56.830] 有。
[10:57.840] 网站。
[10:59.190] 朝阳哥。
[11:01.780] 他那个功夫给他们盖章吗？交代后面这些摊位吗？
[11:09.360] 都问了。
[11:11.000] 好久没办法。
[11:12.400] 就盖了一个就行了吗？
[11:14.730] 看清楚位置你别干错了，干了白干，
[11:19.120] 就找一张白纸在这儿。
[11:21.160] 好，没问题。
[11:23.430] 就一个
[11:32.700] 公章面向上，
[11:44.040] 好久没卖功夫。
[11:51.180] 6层
[11:52.420] 到了。
[11:53.550] 我说上保险的吗？我车剐蹭了，
[11:58.460] 我其他的这事儿刚才不错了。
[12:04.150] 21371
[12:07.590] 谁知。
[12:10.550] 然后尽头你看看第。
[12:13.120] 二。
[12:16.040] 对2137137。
[12:23.630] 现在您看保单的话，你
[12:26.200] 保单4个再看看你点一下上方的图片。
[12:33.160] 由于电子保单
[12:35.110] 对调研上面有一个电子保单是不是？
[12:42.470] 随便点都行。
[12:47.300] 你看能阳光送的没有行，这就是保单你两个重点就可以了，谢谢您，如果你找不着，后来话你回家了。
[12:56.490] 两个谁知33760。
[12:59.380] 对您那边转一两个国家了，我这边就结束了了。
[13:05.400] 你还说谁家不是
[13:06.990] 注意到在原有基础上。
[13:08.730] 他应该没有
[13:11.640] 看一下谁知。
[13:13.720] 看看我也没有
[13:16.790] 一样的。
[13:18.990] 喝点水。
[13:20.020] 看我们也没事都知道，衣服看看还有一个1000块钱，对是家里惯的。
[13:25.820] 是吧？原来那种过。
[13:28.160] 上前5000多，然后另外一个厂家的水库，
[13:31.660] 你做管你难得一天两在一块，
[13:35.250] 你让我说着还习惯，
[13:37.980] 他说明天就搬家了。
[13:41.460] 身体里就是。
[13:44.410] 印度人对吧？
[13:46.110] 得跑起来。
[13:49.910] 然后走
[14:06.000] 高兴。
[14:06.780] 大哥了。
[14:10.060] 后来他们说大哥，
[14:11.880] 他们俩大哥是上面领导，
[14:14.800] 就是终点携程领导。
[14:18.100] 你看看这个是
[14:19.390] 自己的
[14:20.580] 发觉
[14:22.090] 你
[14:25.430] 他这有一个
[14:29.670] 1000块钱暂定了一个聚合，
[14:34.110] 对吧？
[14:38.960] 有着结案了，他右边又发生。
[14:43.270] 之前不是给你打出来了，打出来了。
[14:47.000] 5401 30~10%，那就12条。
[14:51.530] 5401还有一个988，
[14:55.110] 这三种的话是会有为什么的，他知道的没发票，然后这里的价格吗？
[15:01.590] 谁知写的
[15:04.870] 要一些最新的没有非常的后悔。
[15:08.640] 他的钱是有点的。
[15:10.830] 标准有点妖，我也看过那个照片自己
[15:16.040] 然后
[15:19.480] 然后全县多少钱这4万多。
[15:22.020] 对那么多身份证工会甜一点，不管办了。
[15:27.020] 时间，
[15:28.690] 他那个出来说。
[15:32.350] 你看看就行了。
[15:35.070] 不能把正常的说
[15:37.780] 没问题了吧？第二，
[15:39.660] 想念妈妈。
[15:49.120] 什么样的结果？
[15:54.560] 号？
[15:56.450] 谁知
[15:59.360] 的，
[16:01.700] 还有
[16:06.630] 您好，您那边是扬州是吗？
[16:13.270] 谁知
[16:15.610] 好，我是百度云，您好。
[16:18.320] 你那条不是去三号购买的新车，好，然后。
[16:25.840] 的
[16:28.680] 的
[16:35.160] 全险的话加一起一共是三万三五。
[16:39.020] 2万，对，我们替您出3万，圣人自己出事653大概是5000 5044。
[16:45.700] 这个钱。
[16:47.310] 的
[16:51.030] 涉水险什么都在什么
[16:54.620] 这种
[16:56.290] 包括什么玻璃都有玻璃，你看到涉水三者车损车上人员盗抢玻璃、划痕涉水无法找到第三方费用。
[17:09.760] 现在不用什么4S指定那个吗？不用，都是4S店什么的来着，我们这都是直赔的。
[17:15.830] 您不用垫付，直接叫了，修完车之后就走了，大姐看着你。
[17:20.540] 你找泰峰不就是我把。
[17:28.110] 100万少。
[17:31.600] 一般都是100万。
[17:32.860] 100。
[17:34.350] 这样
[17:35.440] 打车才100多万。
[17:38.020] 三者三者100是赔别人赔给别人的，你就撞人，别人人和物陪她们。
[17:44.540] 车锁匙给咱自己修车的，对。
[17:57.000] 来你一下。
[17:59.060] 这种
[18:00.660] 反正就上人生孩子对。
[18:04.680] 人寿的，对，我们这都是直赔的。
[18:08.340] 咱们就前面看手机。
[18:22.810] 一会还有人给您讲解一下这车辆功能怎么用。
[18:27.000] 都别上了不得了，到底真的让我们
[18:32.430] 您这已经是领导打了招呼给您优惠很多了。
[18:38.770] 这车最近还是有点浮动，之前那车
[18:43.100] 这都是那什么的，大胆的。
[18:47.080] 之前都没有优惠的说。
[18:54.320] 您为由就是咱们加油用的。
[18:57.390] 对。
[18:59.680] 我们这还有用
[19:09.680] 后面的
[19:12.190] 这叫摩卡黑队跟咱们是一样的，咱们这手
[19:16.830] 就比较多了，等于灯光打的肯定会有点不一样。
[19:21.820] 您做我这初夏的单，
[20:51.030] 这个车是一百几？
[20:53.020] 1,458,800。
[21:01.000] 睡在哪上也在你这上，对税您到一块都打过来，但是我们有专人去给您交。
[21:07.310] 当时有这个发票，咱们公司打过来的，每笔钱都有相应发票都对的上。
[21:18.950] 560是200200多，
[21:21.620] 560我车得到210100万290，
[21:26.300] 裸车全下，骡车全价300多了。
[21:31.500] 你那没优惠，那家小店。
[21:35.360] 没有牵车是吧？现车。
[21:37.540] 他那天来看的时候560最后1560卖了，卖了对560 680可能以后都没有了，就。
[21:44.830] 它这个电不用充了。
[21:46.720] 不用充，它是发动机带着电机走。
[23:24.200] 矫健的话现在
[23:26.510] 是啥？
[23:27.860] 一会都给你拿来了，
[23:34.560] 你拿一套大包围的，
[23:43.870] 然后贴膜封釉这些记录仪这些就都烧羊排，
[23:48.120] 回来到时候一起弄。
[23:50.910] 指标是现成的吗？
[23:52.650] 是不是？妈说的不是是现成的，从别的车倒下去，可是你倒完了，你给我这边有的指标，我去给您办这边。
[23:59.930] 对一个月。
[24:02.230] 一个月。
[24:04.630] 假如说这才一个月，完事了之后再挂再打一个月这块行不行？
[24:10.880] 行
[24:19.080] 哥
[24:20.100] 上班
[24:29.280] 对，
[24:32.470] 了。
[24:33.840] 上哪牌？
[24:39.420] 的
[24:40.200] 35上看好。
[24:42.830] 看一下是吧？
[24:54.150] 5万这是
[24:58.970] 是吧？
[25:03.250] 上不了眼。
[25:05.660] 外地
[25:08.890] 那不行。
[25:19.170] 机械、
[25:20.800] 一个特别晚。
[25:22.660] 78560没有写，560没有解套盘。
[25:26.760] 谁知
[25:28.070] 你什么项目
[25:30.810] 发动机不一样，然后它里边那些谁知
[25:37.250] 3点一直都是家电
[25:45.870] 招标文件。
[25:47.240] 不是为了他把网线可以的。
[25:50.780] 有着文件对。
[25:54.440] 对。
[25:59.970] OK。
[26:01.840] 行好了吧，没问题，好勒。
[26:34.150] 迈巴赫送装饰物料码在哪呢？
[26:41.100] 我就在这，你要是有时间的话，
[26:44.720] 咱们
[26:46.850] 他们的
[26:47.900] 您的身份证号码不是
[26:49.790] 要是吧？用谁的都行，咱们得写个委托书，什么公司委托您安排过来
[26:55.730] 的行吗？
[27:05.040] 我给你再发特殊了。
[27:06.980] 稍后
[27:07.840] 让他来看一看。
[27:11.280] 一样没有？
[27:13.200] 然后
[27:14.170] 他喜欢你平时的
[27:15.750] 他可能必须动作充满第三，
[27:19.280] 今天不知道
[27:21.470] 三天左右。
[27:25.970] 谁知
[27:35.550] 高速
[27:36.930] 中国过去三张牌，
[27:38.750] 那天我看过，
[27:40.680] 在4楼玩具一样，
[27:43.280] 那次solo文尼亚的港口往这运，粳糕那车是德国本土产的。
[27:50.080] 114。
[27:52.740] 具体叫什么名字，知道我什么地方财政也好，
[28:00.110] 我们看一下这几家甜蜜，包括
[28:06.100] 刚才交易额是吗？
[28:08.260] 之前交了5万定金，我给您查了。
[28:11.380] 之前也是没有给咱打过来，都抱回来很快就发票现在了，对他有账号，一会多少钱这样他打过去。
[28:19.430] 大概厂商一些投入车辆。
[28:21.840] 这是多少？因为这中间就是说什么
[28:28.330] 形成了
[28:42.220] 标签多少公里？
[28:44.220] 现在车上比较
[28:48.020] 公里数吗？
[28:49.390] 供述有没注意，因为咱们看一下应该不会太多。
[29:05.840] 你要13旅游吗？
[29:08.990] 5月5号超越世界，
[29:11.560] 客户说拿什么？
[29:12.860] 等到都是到国内了。
[29:16.330] 美国入境日期是4月26号，
[29:21.900] 办理交接手续。
[29:23.290] 他肯定是先收手续，在那两场也
[29:26.700] 还买了，而且又开始不他有可能4月26号到了，他卖的是厂家，然后发您手机对吧？
[29:34.810] 4月26号只能说到哪个国内的路径了，但是街道港口
[29:41.490] 不主要
[29:42.860] 那个事情的老的一个
[29:45.570] 加上18,000个人，
[29:48.070] 但是我太喜欢飞机，就是那个路径。
[29:51.370] 我觉得A是类似比较好的。
[29:53.740] 千里可能的对这块过来破坏，但我们主要如果这块整个
[30:00.180] 资源来
[30:05.210] 而且能够配置
[30:06.420] 能
[30:07.290] 把好关。
[30:13.160] 什么时候拍好了就来了，交钱看车没有那就行了。
[30:18.730] 你营业执照我要会你可以吗？
[30:24.630] 原来电脑里了吗？
[30:37.680] 一般正常都是。
[30:38.990] 就300 100万就不行。
[30:43.440] 别撞上了等等几百万的差，
[30:45.840] 都没有其他的
[30:48.890] 原来足够。
[30:58.520] 我到时候换玻璃还是进口玻璃。
[31:00.840] 对。
[31:03.390] 什么都贵。
[31:20.320] 几月几号1月10号了。
[31:25.420] 你10号来10 10号11号。
[31:28.950] 40 10号。
[31:31.340] 从晚上开始可能没有。
[31:34.400] 今天
[31:37.840] 明天生效。
[31:42.250] 交强是即时生效吧？
[31:46.600] 不是吧？
[31:47.540] 也不是。
[31:48.520] 这里面是第三人。
[31:51.450] 对。
[31:53.400] 上诉人一半。
[31:54.600] 乘客5个人一人一半。
[31:59.080] 1万这1万是啥钱呢？
[32:00.990] 人员险驾驶员车上人员这是干嘛用的呢？
[32:04.520] 除了出了问题，比如说你动了车，就你车上人受伤了，
[32:10.180] 他就可以保险。
[32:14.020] 不是你不保的话车损险。
[32:16.040] 他不也保那是车损这是。
[32:18.330] 不是，假如说我车
[32:20.730] 开车自己给自己壮了，自己装完之后给自己人做了，
[32:25.000] 要没上不管。
[32:26.620] 没上不管人。
[32:29.280] 那1万块钱也不够，也
[32:31.760] 要撞严重。
[32:33.340] 赚钱的不错，但是单独列比如说你住院了什么，你死了肯定有钱了，
[32:38.160] 要是住院来说这个有用了，
[32:42.610] 住院就1万，
[32:45.150] 一共才30多块钱，就是相当于一个意外险的
[32:48.630] 这样。
[32:54.340] 戴口罩这里面
[33:05.170] 到庭。
[33:09.300] 国际你没
[33:11.460] 也都可以了，这些都投入了对吧？
[33:18.120] 不计免赔是。
[33:19.780] 盗抢完之后他直接赔。
[33:22.280] 还是得假如说我丢了车里边有1万块钱，
[33:26.170] 都丢了，
[33:27.690] 然后之后就座的车
[33:30.380] 读书的车上了，
[33:32.080] 不负责车里面，
[33:35.920] 假如说跟车。
[33:38.280] 那有啥用？
[33:41.760] 你找不到第三方的对。
[33:43.390] 第三方的情况下，
[33:45.160] 比如说你就是把你圈里边状态，
[33:48.070] 你怎么着找不到地方，
[33:49.750] 不用这块。
[33:51.380] 这就是两个又不是，我说不是那个意思，我说车上东西丢了。
[33:57.350] 到农田了。
[33:59.430] 到的话那也。
[34:01.800] 到的话是没有必要的。
[34:04.600] 盗强险就不只是住在车把你车偷了车上东西不管。
[34:11.820] 对，保险不买那一块。
[34:14.270] 一个到一个帖子。
[34:23.400] 车上东西都是看到不管。
[34:47.290] 不愿意。
[35:11.440] 钥匙套
[35:12.740] 什么要求？
[35:17.960] 其实那天就应该我跟着张总一块去，
[35:23.290] 或者是让我花，
[35:25.650] 赵总不好意思说送给我。
[35:27.840] 说送。
[35:28.600] 谁是吧？
[35:30.480] 我说吃了。
[35:31.910] 没东西是吧？你送。
[35:48.360] 还行没我身份证一会再给你，还是用他走。
[35:57.970] 送点车香水。
[35:59.320] 车掸子，
[36:00.500] 没有那些，因为我们这奔驰他4S店装卖那些副厂件，
[36:04.750] 有着妙奇钥匙链，雨伞营造有利于
[36:08.510] 因为那些东西他副厂件不让我卖。
[36:12.180] 送的香水是吧？
[36:13.820] 车友箱份。
[36:14.940] 那车有香氛，
[36:17.310] 有时候我跟你讲。
[36:19.350] 对，我就不用香水。
[36:21.060] 用加吗？
[36:23.430] 还有一瓶放了。
[36:24.980] 他就不能
[36:27.090] 但是用不着
[36:31.510] 不带壳。
[36:32.860] 不会干什么，别的，我不是脸上。
[36:36.160] 仰光敏。
[36:55.640] 车长对
[36:56.980] 公车5
[36:58.310] 5米45也不错。
[37:00.560] 比捷豹还常常上没有结果。
[37:04.350] 山东
[37:07.310] 里面还有车辆信息吗？
[37:10.110] 什么信息？就是车长车宽
[37:12.730] 那个的
[37:16.560] 不这没事吗？
[37:19.940] 我们那是点点糖典藏版，现在都是这种版，典藏版的没有别的。
[37:26.460] 450反正就这一个配置，就这一块是吧？
[37:30.720] 分配制的话就450560，对。
[37:34.350] 来自己看。
[37:43.880] 的
[37:51.510] 汽车
[37:53.080] 的
[37:54.020] 活动
[37:55.550] 都这样。
[38:03.470] 他一般情况
[38:04.870] 他一般听不到。
[38:06.810] 对，他也是自己开。
[38:10.480] 他选的。
[38:11.900] 的
[38:19.800] 其实坐车上也。
[38:22.750] 对车门关上去走。
[38:36.090] 你要说隔离车轮证，不用看别人那本事也没什么杂音，
[38:40.620] 别什么车。
[38:41.750] 别停车。
[38:43.240] 也是奔驰，比如说什么我还真不知道，
[38:47.110] 也没这么自信。
[38:50.730] 因为680的声更大，
[38:53.180] 微微
[38:54.400] 尾巴的尾巴，没事儿，在这儿
[38:58.640] 这是直流的是吧？执着地方。
[39:01.870] 支付宝的
[39:03.070] 速度。
[42:05.060] 交钱。
[42:06.440] 吗。
[42:09.290] 好了，那钱数出来了，
[42:14.770] 咱们这车是1,458,800，
[42:17.460] 之前交了一个5万，今天给你抵掉车的交1,408,800是吧？
[42:24.900] 上门费是2500，然后这个是
[42:28.600] 购置税129,097这条有发票的，然后这保险的话不是35,000吗？我们给您出3万刨掉。
[42:37.260] 老板等于是咱们这交友5044，有一个5万块钱上班保证金，就是咱们3月之后
[42:44.120] 不转机不退保，5万块钱就会给您再退回到公司上面去。
[42:49.380] 这跟张总说过了。
[42:50.890] 然后下边是赠送的这些东西都是用没有经过的，不是我这是啥东西，上牌保证金上传保证对咱们保险不在这退，不出门就退，对，然后车不迁往外地迁。
[43:05.330] 车破玩意对，因为你要迁走了，我们影响我们卖这么多，卖完后我们就白卖了。
[43:12.230] 三个月以后能退，三个月以后到时我们给你看收益，你拿回去公司你们
[43:17.710] 然后到时你拿过来，我们再给你开开那么贵吗？统一的都是2500分，这无论你买哪个车都是这样。
[43:24.240] 购置税是129,097，车价除以11.3，附近工人算着应该是完成了。
[43:30.880] 这一共等一共打着点。
[43:33.320] 136
[43:35.000] 一共打了一点打159万，
[43:38.090] 5441块6毛。
[43:44.600] 这钱是怎么来的？这钱是从上面是一一百四十万八千八，再加上这2500加上这129,000+5000加上5万，
[43:52.490] 这是1,595,400，然后退5万。
[43:56.020] 对，完三个月以后退5万对。
[43:59.220] 买这车等于一共是花了1~59。
[44:02.420] 都送啥？
[44:05.080] 送的就是什么贴膜、行车记录仪、
[44:08.560] 大包围脚垫、后备箱垫，然后咱们车漆的镀膜。
[44:13.950] 贴膜是贴什么？
[44:16.020] 玻璃贴膜。
[44:17.250] 玻璃贴黑色的，对，颜色可以选，咱们这是安防，摩卡雷迪的楼上玩牌也对。
[44:28.910] 像那小小件的话就
[44:31.190] 只见松了，小家就要包也没别的小件腰包，灭火要练灭火器，雨伞就这样。
[44:39.530] 也没有别的了，就在不用打着，不带有一个登记。
[44:43.640] 随便。
[44:44.660] 交通不用。
[44:46.640] 不是没有道理，不是经过20吗？这东西了，你直接能打吗？
[44:53.170] 您是财务是吧？是不是？
[44:58.770] 就这个数你别打错了，一分不差，你6毛也杂，咱们工的工咱们都回去就好了。
[45:04.650] 跟着我这重新去了，跟刘总说的话。
[45:08.800] 我跟刘姐说，
[45:10.160] 拿我的说对你这事也行。
[45:17.200] 你拍一个发一张。
[45:18.820] 给你们说一下。
[45:20.810] 在那边上高速的车辆。
[45:25.850] 不知道。
[45:26.560] 你给他标注一下，让他打下边这幅。
[45:32.570] 公司的公司要错了，差一点老麻烦，对。
[45:36.540] 不像个人
[45:41.960] 这跟
[45:44.070] 同事之间的
[45:47.030] 其他留意。
[45:52.990] 这5万倒是退的，我们会给您开个收据，您拿回去给财务找人拿过来我给您退。
[45:58.930] 你看安龙刚给你发过，你看见了吗？
[46:04.610] 对，就打下边收款金额，它是买车有账号。
[46:11.470] 对北京百得利之星，北京摆在地址，现在打了159 156万多。
[46:18.270] 对，打下面1,595,441块6。
[46:24.660] 好勒。
[46:26.970] 好勒。
[46:31.030] 还
[46:36.310] 不行了，我这
[46:38.570] 还是设备。
[46:39.760] 这个需要您签一下字。
[46:42.240] 这公司
[46:43.570] 等于是委托您来办的。
[46:45.300] 您在代理人这签字。
[46:49.430] 还有。
[46:50.650] 一会剩下盖章就行了，您那张是自带印泥的吗？不是。
[46:57.050] 不是，我看我的便宜朝议去。
[47:00.700] 谁知
[47:02.270] 咱们楼上概念，
[47:06.710] 我俩上楼。
[47:24.680] 我们这人多来劲。
[47:28.640] 你们刚才发
[47:31.660] 你发的阶段了，
[47:34.190] 刚才张总说的，
[47:35.850] 你干吗？
[47:38.170] 晚上。
[47:39.940] 谁知
[48:06.680] 来你在这做。
[48:08.080] 晚上
[48:09.560] 聊聊。
[48:11.710] 咱们继续
[48:12.920] 希望
[48:13.880] 我安排我在这里没有
[48:16.950] 我确定上上下下
[48:40.000] 咱们
[48:40.860] 相反的。
[48:42.360] 你接着说听到nothing。
[48:47.270] 那个的。
[48:48.930] 说。
[48:55.460] 店。
[49:03.110] 的
[49:05.690] 这上面有。
[49:08.570] 了。
[49:10.390] 一下。
[49:23.590] 打了你给我说一下。
[49:35.600] 还有自带。
[49:36.930] 有吗？
[49:38.860] 就这种
[49:40.270] 数据
[49:42.290] 数据
[49:44.350] 数据
[49:45.290] 场、
[49:46.560] 数据
[49:50.010] 坏
[49:52.020] 后
[49:54.200] 数据
[49:56.440] 句，
[50:01.610] 还有APP。
[50:03.180] 数据。
[50:06.610] 数据。
[50:07.320] 数据、
[50:21.450] 的
[50:29.030] 我帮您翻。
[50:34.830] 数据
[50:36.690] 二
[50:39.790] 的
[50:42.990] 的
[50:44.790] 可以
[50:54.080] 不用
[51:01.970] 第。
[51:05.300] 我
[51:08.240] 我做。
[51:09.490] 但是我重目标
[51:11.700] 这上牌是要用这盖红章，
[51:16.360] 上海市在你这上上边是检测场，我没有人给您。
[51:20.950] 还把车开过来吗？开到检测场集合咱们行哪个检测场？7421南南五环。
[51:27.830] 南5队。
[51:30.100] 有北边的我们都是去那。
[51:32.400] 我这么远。
[51:33.820] 明天北与不安。
[51:35.530] 我南5
[51:39.720] 还得工作工作日工作日，
[51:42.540] 咱要挑时间不足点的时候，
[51:45.210] 他都是早上
[51:47.180] 早上7:30到那。
[51:49.000] 早上7:30到。
[51:50.860] 这还用绍兴吗？这车得拍照拓号什么的。
[51:55.490] 不用放着了，兑现应该是文化。
[52:03.890] 7:30到那6:30，6:00 5:00多不就得走。
[52:07.650] 你早上不堵车应该很快知道没有车牌也
[52:12.520] 车牌。
[52:13.820] 人排名，牌照以后我再给你拍。
[52:16.480] 才两个月。
[52:20.590] 咱们开通不了。
[52:22.680] 这些来源我不是这次明天来他们在
[52:27.370] 是吧？
[52:28.240] 你到这边来。
[52:29.880] 我把给删掉。
[52:32.160] 要开人权肯定得开，谁知
[52:35.350] 对吧？开庭排期。
[52:37.800] 商业险是多少，发现写不负责了。
[52:43.590] 赶紧完了。
[52:47.280] 这就行了。
[52:52.270] 是吧？
[53:13.750] 我有时加号，对。
[53:15.400] 不管是表扬还是用
[53:17.580] 不挂车牌商业险负责吗？负责就盗抢道场不负责，对选择都不得，对你叫林
[53:27.210] 保单就行。
[53:29.770] 他说说他不负责那三块钱，
[53:32.670] 不取消商业险是
[53:36.160] 过了今天晚上12点生效，交强险是当时生效。
[53:42.740] 不是这个月临牌打完之后，下个月再打一回就可以了。
[53:47.310] 正常的可以办三次，现在不去行吗？
[53:50.190] 第一次这次办出来应该是第一次是15天，第一次才出差。
[53:54.640] 二第二次应该
[53:56.700] 正常的话按照现在的政策的话是一个月，
[54:00.040] 第一次15天，第二次一个月是吧？
[54:02.840] 为啥第一次会一个月，第二次天不知道了，临床上有这么一出，
[54:07.840] 是因为他交通队给您这稍等，我去找领导签字。
[54:19.710] 一会到时我给问问。
[54:21.250] 然后他钱打了吗？
[54:23.040] 打了你给我说一声，我认账，您坐着等着。
[54:27.530] 收到了没事。
[54:29.860] 打完了让我认一下，你等我。
[55:36.480] 看你经历了吗郭老师？
[55:38.420] 没有，我这一会就可以讲了。
[55:45.690] 买了。
[56:06.600] 宗旨曾提到过蔡工长讲了，凭什么老板没来财务和司机来的？
[56:12.750] 这表明
[56:14.720] 没事。
[56:41.910] 还没让走，他之前是汇款一会又
[56:45.500] 那么少字了。
[56:48.200] 不要打你打他就这样。
[56:50.190] 厂家统计不成了，没有合适的。
[56:54.280] 厦门的
[57:05.990] 有这功夫这保险怎么弄？
[57:08.020] 我现在就剩3万保险是不？
[57:10.490] 35。
[57:12.210] 他自个开票。
[57:14.920] 它自己走，因为总共给他开票。
[57:17.370] 他自己付。
[57:19.150] 我知道自己他不做账吗？
[57:23.070] 剩的不是给他开吗？送你开机给他开工资你知道吧？这是开股票你不开专票了吗？
[57:28.910] 舞阳河总局对
[57:31.870] 你就享受享受赠送保险，你就别那么多要求了。
[57:45.890] 不能说你作为说依据你们家你不说你
[57:49.830] 是不是没干净，你也不能我跟你说最好。
[57:53.430] 我来看看。
[57:56.830] 等着。
[57:58.410] 要求。
[57:59.860] 要
[58:03.840] 分明白。
[58:06.120] 明白。
[58:59.460] 560是多少钱？
[59:00.940] 才下来，剩下的300多全下来了，300多队伍，哪个6806805裸车就
[59:09.090] 300 360。
[59:12.080] 数据
[59:23.360] 电厂。
[59:25.730] 的。
[59:27.050] 坏数据
[59:28.880] 才会
[59:37.250] 的。
[59:41.410] 远远
[59:45.780] 的
[59:48.440] 的
[60:02.090] 的
[60:03.320] 的
[60:06.590] 没有。
[60:08.610] 电脑全满了。
[60:10.030] 我要登录你边电脑吗？最后全市再改一下保险没有。
[60:14.830] 要打电话。
[60:17.930] 免费到这保险是吗？
[60:20.240] 置换路线对不对？
[60:22.400] 联想的。
[60:24.690] 看要不你上下你那什么帮我上去就差一个，为了忘不掉全满一下，三将花。
[60:32.640] 怎么打电话？
[60:33.940] 刘晶王文
[60:36.450] 清理了
