[00:00.000] 还有吗？10亿。
[04:14.060] 可能在这车不满足半年，但是指望吃完补贴就没法领取
[04:18.060] 了，对他会有一个限制，颜色什么颜色的话，目前这款是运动版呢
[04:23.950] 是有专属的一款蓝色，普遍的话像黑色白色以及像松林辉，
[04:29.220] A枫、木宗就棕色内饰，内饰的话这款是黑色座椅，像有棕色座椅以及琥珀色，我给您拿个彩页，咱们看一下。
[04:38.270] 现在会灰吗？不是，这属于要么杀算香槟金，这个是灰的。
[04:44.980] 对这个是灰，然后门口这个事中
[04:48.180] 门口也好看着明白了。
[04:52.350] 对。
[05:06.020] 这个级别不错。
[05:06.970] 他说牛仔蓝的话这个是没有
[05:09.610] 有TTT4，T4和T5，但是目前在售的都是T5的，对。
[05:15.220] 290S60是对这款车的话，像60车床是4米76，这款是5米08，
[05:24.880] 一个属于B级车，一个属于C级车非常少。
[05:28.300] 对。
[05:30.300] 4米765米03差了30多公分。
[05:33.140] 他们除了长度上有差别，发动机，
[05:35.580] 那款功率要小一些，
[05:38.130] 就说S60主卖的就是T4的发动机，F90式主卖屁股里头
[05:43.850] 哪里？
[05:46.080] 鸡巴混动的滚动有吗？有现车没有，就说没有转彻底。
[05:52.050] 外形差不多，是不是一样的？
[05:56.080] 双增压。
[05:57.780] 这里的车的话现在卖多少？
[05:59.940] 这款现在优惠完应该在46万多。
[06:02.710] 混动的。
[06:04.510] 老公不例外，活动的也就是说平常低速的话用电到速度快的话，以后就水流吗？
[06:12.910] 对，但是本身您说省油，但是他本身成本也高，就是买的时候车价也贵。
[06:19.950] 没事哥要您咱们找个地儿坐着看，我给你倒杯水。
[06:23.130] 我这个是V60这是旅行车，
[06:25.880] 这款的话目前指导价是389,900。
[06:28.820] 还有其他颜色吗？都有其他颜色，不喜欢白色的是吧？
[06:34.800] 黑色呢？
[06:36.230] 蓝色我觉得我还能接受，还有对这也算完这是比较深的bag，美元。
[06:42.880] 进口的还是进口的肯定的。
[06:45.370] 原装进口的这儿。
[06:47.220] 二
[06:49.260] 差能差大酒店。
[06:52.540] 对大家全下来，他多少钱，落地也40。
[06:57.140] 对40出头40多的。
[07:01.940] 分配的，如果你要说觉得是一合适就得33。
[07:07.590] 您说的33是包括保险什么的了，对购置税保险就是所有的费用全款落地，
[07:14.120] 算是给了裸裸车这个车优惠完295,900，如果不算置换补贴的前提，
[07:20.490] 虽然置换补贴这车28万多，
[07:22.420] 其实整体来说优惠力度算比较大的，性价比挺高的。
[07:26.070] 你觉得做贷款的话有年龄限制吗？
[07:29.040] 有年龄限制。
[07:31.230] 超过指标人士。
[07:33.990] 12年龄比较大，
[07:35.620] 可以出贷分离这种情况，比如说指标人是用咱们名义贷款也可以。
[07:40.900] 可以这样对。
[07:43.350] 那就需要指标人配合签个字就可以了。
[07:46.710] 而且看你用。
[07:49.720] 没事，要不您坐这我给你看看，然后喝。
[07:52.990] 喝点什么吗？不可能倒杯水。
[07:55.280] 也喝了还是不喝？
[07:58.180] 要试驾车也有，要感兴趣可以带你试驾感受。
[08:02.720] 是这样是假的也是T5的，但是是架势屁股高配的。
[08:07.590] 但是动力性能操控这些都是一样的，无非就是说多个音箱多个360度以下，2760，
[08:14.170] 3C60目前全办齐两个车和S90价格差不多，就同款配置来说，如果都是10亿的话，
[08:21.150] 价格基本不一样，
[08:22.730] 因为S90目前优惠力度会大一些，
[08:25.960] 000排队S90目前是在扣2020款，2C60有20反映21款，
[08:33.570] 但20款和21款基本类型7点这款是A款，
[08:37.540] 这款是二三款，基本上不说了，看出来销售可能内饰会有一些就是说小小的变化，
[08:44.330] 谁知
[08:46.380] 这是90进口的
[08:48.620] 7座的
[08:51.720] 大概
[08:52.800] 全办齐分这款的话应该在68万多。
[08:58.680] 平常您车的话也是咱们开
[09:01.550] 对于自己的。
[09:03.140] 其实家用的话主要就是因为7座可能好多一般都用不到。
[09:07.450] 这个是
[09:09.400] 这武断了。
[09:17.000] 这是标配这高配中配的做一个
[09:21.700] 像咱们之一的就没有
[09:28.840] 我知道木门不一样，20款的话是交给户，
[09:33.230] 运动版的是金属老师，
[09:35.860] 还有他那边不是那是有点皮草毛皮的那种感觉，拿手一抠都有都是
[09:43.900] 就这块您是说中间。
[09:46.840] 没有，我说内饰对象如果那款是豪华版的话它也是成功。
[09:52.360] 对也是实木，这是中配的是胡桃木。
[09:55.980] 废品军费的昨天可能主要是记录还是前面那加热。
[10:01.350] 调整谁知。
[10:03.360] 谁知
[10:05.170] 谁知
[10:08.840] 哪个更就是需求不一样的，对，因为本身只有两种风格，你要说看看超市40和60还好说，因为都是SUV，尺寸不一样对吧？
[10:18.610] 看您平常对空间的需求，但是如果轿车SUV相比，轿车可能就是说长时间开车的话舒适性会好一些，
[10:26.430] 但这个的话就是信号，
[10:28.840] 毕竟S90可能后排空间会更大一些，但后排空间是足够用，但是肯定没有车宽敞。
[10:37.090] 就看您平常喜欢现在开始拍试试是什么是
[10:42.240] 什么薄苔是吗？我看那小子备胎小白。
[10:47.080] 这车也是小孩都不是全车买车。
[10:52.000] 轿车通过性好，开车平常经常出去玩吗？出去玩可以。
[10:57.200] 市场就是太大，肯定对，你要说轿车肯定个人喜欢，我个人观点我也喜欢轿车，
[11:03.600] 所以轿车开起来舒服了百公里，实测油有多少的？69~10。
[11:09.760] 至少那时对看开车习惯你记录破正常，我看平常保养客户一般像表上标的就99.5，
[11:18.090] 如果有可能没到18~10亿技术，
[11:23.100] 实际的说的话，这个是实际别丢了，标准不是七七吨的，现在都是7岁的都是对。
[11:31.730] 用太激烈了，如果
[11:35.560] 后边空账了，如果不用就当一个5的后备箱放倒，
[11:41.050] 但是毕竟是7座2年一上线。
[11:43.760] 对，像这种舞最的话是6年年检。
[11:47.580] 年咱们就买个教室觉得要出去玩就可以，现在开的是轿车吗？
[11:54.720] 没车，咱们要出去去哪的话家里
[11:59.400] 看见车了。
[12:00.630] 不行都是
[12:02.680] 平常正常代个步市区里头
[12:07.530] 对盖板和中配的大概差多少？差了37,000这款车。
[12:15.960] 品牌。
[12:17.320] 顶配的话是49万多，差就多了差9万多块钱，
[12:21.460] 还差那么多，自动泊车，
[12:23.790] 360度的倒车影像，爆发违建的音箱，后排第二排座椅的加热后这个没有
[12:29.690] 造成影响，这就是倒车影像后方的
[12:33.250] 但是它是全系标配的前后雷达。
[12:37.230] 对。
[12:38.960] 可能就是最高配的对倒车辅助的比较多，比如说一些盲区监测，
[12:47.080] 倒车警示，
[12:48.420] 这些事可能最高配才会有，但是正常开车的话，像主动刹车，自适应巡航，这些事全部都是标配的。
[12:57.660] 他可能比较在意就是说咱们正常行驶当中的安全，因为其实倒车的话主要
[13:03.140] 更加注意一下，其实就是这样。
[13:05.750] 而且我们好在哪儿？就是说它主动刹车，他除了对车辆，
[13:12.250] 像情人这些摩托车机动车这都可以检测到
[13:16.700] 油箱多大？55的。
[13:18.320] 二六十。
[13:19.360] 五
[13:21.000] 平米。
[13:22.160] 55，理论上你就能跑550公里，没事，如果按10个油在550公里，
[13:28.590] 就像太小了对吧？说得过去咖啡670，
[13:34.480] 这个没有问题。
[13:36.320] 72为什么感觉
[13:39.600] 完了挺有意思的，S90也算是旗舰了，你看看怎么样？
[13:45.840] 邮箱
[13:47.280] 550公里也好，
[13:50.230] 高速上可能小刘了，
[13:52.470] 我说
[13:53.930] 因为市区的话，其实
[13:56.190] 我觉得
[13:57.010] 看您平常如果反正要跟这车堵的话确实少点，但是你要用的话可能也不够用，我看这一车往上一直说S90再降价，
[14:06.510] 已经降了这还不够多吗？
[14:10.150] 公交的有一个评论底下有人说有车25 25万多提的，你分什么配置P48，
[14:18.730] 现在25万多，反正我最高优惠的时候是优惠11万多，
[14:25.330] 目前的话基本上要增配的话能优惠在11万左右。
[14:30.210] 起码也是想做，你要是说要是找找你们经销商的话，还能再便宜点吗？
[14:35.930] 我们不是这样。
[14:38.250] 那种他们两个人贷款都是要我的。
[14:41.560] 找我们厂家是吗？我不知道他们也有一个三伤害一些手术，大概就是说可能有这种关系的朋友什么，
[14:50.270] 要说有就行，这朋友方面的话，如果找到我们领导
[14:54.770] 或者就是店里的人肯定的，因为毕竟我就是销售配件可能在
[14:59.610] 最大心愿医院能便宜多少，我给您算一下，要咱厝这边。
[15:03.620] 您倒杯水还是不算多，但是不了。
[15:07.100] 现在不安全。
[15:08.420] 少在外面。
[15:18.780] 不喜欢。
[15:21.480] 人家说了有买S90的钱再加几万买baby60这是正路子。
[15:28.610] 行吧，咱考虑
[15:30.970] 那块等着你，然后
[15:33.940] 这个行。
[15:35.880] 这肯定不是S0后面空间大是吧？对还是中国人不太认，但是估计二手车市场上肯定比要好卖得多。
[15:44.710] 二手车。
[15:45.520] 二手车S60好吗？
[15:46.960] 您想新车哪个好卖，二手车去哪呢？
[15:49.950] 因为细胞对，
[15:55.210] 我就按之一的给咱们。
[15:57.930] 第五
[16:04.840] 一点，
[16:05.850] 我看一下5.02。
[16:09.430] 差不多了你
[16:10.760] 应该是什么样的？
[16:15.540] 到几点那边。
[16:17.810] 我们正常5:30，但每天都得面对，每天都加班，
[16:23.360] 买车的人不多。
[16:25.760] 现在
[16:26.810] 现在还好。
[16:28.720] 正常来说应该10月份买车的时候会有一个对没有
[16:32.680] 比较多的现在。
[16:34.950] 新车得多少钱呢？
[16:37.020] 看颜色。
[16:38.270] 看颜色主要是
[16:41.630] 但是不是特别喜欢白的对吧？
[16:44.710] 对。
[16:48.770] 给你打个电话。
[16:58.870] 我就按给置换算，
[17:01.490] 他受不了关机了。
[17:04.250] 可能没电了。
[17:05.580] 然后我出来的时候给他充上电了，
[17:08.480] 开不了机了现在。
[17:10.260] 健没了电以后就开不了了。
[17:17.180] 跟他在一起。
[17:18.570] 那小孩电话不要。
[17:20.400] 没有，我给大家。
[17:21.630] 万科他们家孩子
[17:25.840] 的
[17:36.530] 的。
[17:37.590] 你看你在APP上能开机吗？
[17:48.610] 五
[17:51.520] 三
[17:52.860] 开学
[17:58.040] 我怎么没收到今天？
[18:03.440] 但是我给他充着，我出来的时候特意看了一眼充着电，
[18:10.360] 这不行了。
[18:37.580] 全款和分期我都给您算了一下。
[18:39.560] 如果按全款办齐，这个车是在322,000，
[18:42.780] 如果分期的话就是首付50%，按两年算的没有利息，
[18:47.040] 月供是5914，
[18:49.430] 贷款金额是141,950，首付也是他因为一半
[18:53.850] 也就相当于它乘以24个月就是咱们的
[18:56.690] 贷款金额，然后首付是所有的包含购置税保险上牌
[19:02.280] 以及贷款，因为会有一个分期的手续费都给您算在里面是186,000，
[19:07.160] 贷款分期手续费是一个6000，
[19:10.340] 也可以理解成就相当于这6000是两年所产生的利息，
[19:14.840] 其实也这么理解也挺划算的，应该在
[19:18.770] 两个点。
[19:27.270] 最低配盖板。
[19:30.690] 但是家用的话，因为我刚才跟您介绍，就是说差的东西我再给您捋一遍，从外面来说。
[19:37.980] 外观没有区别，
[19:40.960] 内饰的话就是前排中控台
[19:43.750] 拆了一个皮质包裹的，
[19:45.940] 然后少了一个马卡顿的音箱，少了一个导航，
[19:49.860] 没有后排的遮阳帘，
[19:51.780] 没有后第二排独立空调，后排没张脸没有这样聊，但是正常来说你买这车肯定也需要贴膜，
[19:59.090] 对吧？
[20:00.310] 有这样的也消除了，
[20:03.230] 还少了一个座椅腿托和导航，
[20:05.960] 差了37,000，如果您要是说觉得这些都
[20:10.060] 都不是说用途不是特别大的话，其实这种就可以了，目前卖得好其实又之一何志远这两款
[20:16.500] 基本上最顶配的买的太少了，你要说差个两三万还可以，一下差了6，
[20:22.330] 性价比也不是很高。
[20:32.380] 对，这个就是运动版。
[20:35.830] 好好的。
[20:54.360] 火车这些都没有。
[20:55.380] 自动泊车
[20:56.630] 最敬佩的
[20:58.600] 最小的。
[21:02.450] 那自动泊车意义大吗？
[21:07.520] 还不如自身挺
[21:10.510] 机动车也没用。
[21:12.310] 这条路很少。
[21:14.150] 不过咱们那时10 10那个事实也可以。
[21:17.110] 多少低速20。
[21:19.840] 20对。
[21:21.650] 所以市区他也能用到，然后职业是什么？
[21:25.150] 你前车什么？
[21:27.820] 自动跟随有
[21:31.840] 包括
[21:32.910] 不跟车它也有它叫领航辅助，我们平常它会识别道路各县
[21:39.030] 难道路线走
[21:40.490] 要转弯什么都可以的。
[21:42.720] 然后车距这些就根据咱们认为设定，
[21:47.930] 在线上这么
[21:50.330] 上
[21:54.080] 对大概没事了，你们领导在的话还有事儿吗？
[21:59.010] 你的价格。
[22:00.460] 可能目前我给您算算，就是说今天我们最低的价格了，
[22:04.220] 以后再不行要买的话，基本上也就从其它方式能够跟其他方面给他政策。
[22:09.950] 什么贴膜脚垫都用不了了，你给我便宜钱就行了，要不行
[22:15.850] 小熊考虑什么时候买。
[22:17.340] 什么时候换车，近期是吧？
[22:19.440] 如果要是觉得合适，下次到时候把车开过来给您做个价格，因为旧车的话其实要如果多卖一些就算不值钱，首先告诉每年也
[22:28.890] 也就小10年了可能。
[22:30.670] 所以说2000块钱了不地了，
[22:33.470] 能多卖一点也算一下，那就车不在乎没跟你说话。
[22:37.810] 你别学校别的什么车，我就说你这块能做到多少大概。
[22:43.370] 目前我给您算的就是你能达到这样的是吧？这个钱我没给您计算一一一分钱，
[22:49.730] 我能给您的我全都给您算。
[22:53.980] 先
[22:54.700] 先走，你对那个人着急了。
[22:58.880] 还是那位看差不多那行，哪天我在那过来行，刚才给您留名片了吗？给我留着让当时给我行吗？行拍照片去。
[23:05.860] 拿着到回头你再给丢了。
[23:13.520] 然后你要方便的话，我手机号也是微信，到时候有什么问题您给
[23:17.440] 看一下。
[23:18.290] 让您的朋友
[23:19.560] 我说
[23:20.680] 他是在哪个店做的？
[23:22.780] 他在河北那边有个4S店。
[23:25.760] 什么品牌？
[23:28.890] 我看他卖奔驰和什么都有是吗？行，我知道他们属于那种经销商。
[23:34.990] 就是说从4S店拿车那种是吧？
[23:37.150] 他凡是他车上我买车之前给他打个电话，他说他从北京这边能帮我找到人，因为他这种的话他什么车都卖，他肯定每个品牌都认识，我不知道他能不能
[23:46.670] 能那什么，因为我看我有几个朋友买是买了凯迪拉克，而是让他在北京这边帮他提的。
[23:54.330] 可能别的没有了，行行没事不要他能给我那什么，不好意思，今天让做饭。
[24:00.610] 你找个人。
[24:01.880] 他车停院里了吗？就对，然后一会出门走了出门买。
[24:06.230] 我不。
[24:14.820] 您稍等一下对。
[24:16.300] 找然后绑定您出去玩。
[24:19.710] 谢谢。
[24:23.330] 您合着您客户的要是我直接贴上直接吃饭对。
[24:27.830] 你
[24:29.130] 你这个车要是的话是什么样的差的，还是那种电动的吗？
[24:34.870] 这个都不要。
[24:38.070] 不需要了下来，
[24:39.420] 通过大家开始慢慢也变成了
[24:45.080] 要是
[24:47.090] 有忙完的销售吗？需要销售的玻璃，
[24:50.900] 可以说明说其他没有了。
[24:54.310] 因为像远程启动的话，我们都不用手机，
[24:56.800] 核心统一，谁知
[25:02.690] 回头太多了。
[25:04.410] 谢没事乱走。
[25:06.680] 回头价格有什么问题，到时候怎么办呢？
[25:09.240] 好，拜拜。
[25:23.020] 要看
[25:25.890] 一年来
[25:28.950] 在这人家从里面出来，咱们还已经
[25:33.720] 后面过了好多，感觉成员也
[25:38.300] 月底手机什么的，其他怎么样？
