[00:00.000] 接待一次客户张演示，一次是庆彰
[16:26.300] 我们这边买的时间也是55吗？只要您做银行贷做的，说你们什么总部在什么大连那边要解压的话，还得从那边
[16:34.850] 那边去谁跟你说的？
[16:36.950] 我们原来在北西安要是先买车也是50 50买的，当时买了三年了，我们现在反在办上一辆车的解压，把这牌子倒腾出来，
[16:47.430] 然后现在那个钱已经还完了，再办那个牌子的撤退，下星期那牌子就可以腾出来，然后我们自己再买什么，
[16:54.250] 就这么个过程，不再大量的好像他抵押绿本就是在大联系的。
[17:00.570] 大连穿过了在大连。
[17:03.140] 对，没在外面，跟中心没有关系。
[17:06.960] 不在那边。
[17:08.050] 可能每个不一样。
[17:10.170] 这是优惠73,000，还能再优惠一些。
[17:14.200] 优惠不了多少钱这个价格？
[17:20.130] 大概几天你直接给我报一底价，我这就给你底价，那不能再优惠几千吗？
[17:25.460] 也就是一两千块钱，我刚才跟他说了，谁知接我得给您申请，而且您这个就属于第6行吗？
[17:34.150] 第一个是属于它
[17:36.210] 看时间段我们今天是有活动，所以给您优惠75,000，今天所有价格没天没什么积分有7600。
[17:42.350] 对，你要这么说也没毛病，对。
[17:45.360] 下午
[17:46.970] 2分42万。
[17:51.260] 行，没问题。
[17:52.380] 然后什么时尚的，您介绍让是怎么个函数？
[17:56.410] 实际上跟它一样，然后优惠价格都没有这么高调过782，然后那圈儿
[18:02.010] 实际上你不能直接写了。
[18:03.640] 对，差不多，我问你一下，如果我们要是
[18:08.160] 下周或者是立马就买的话，能在价格基础上优惠不了了，你帮我把话说完行了。
[18:14.710] 我说你能送什么装饰，什么东西都不送，风驰装饰什么东西都不送，你可以选择买或不买都行，但是不送。
[18:21.910] 对，你刚才说了一堆，比如贴膜这配套的能不能13,800，你能给我介绍一万三千八百八百这边，
[18:28.850] 我们看一下我能不能打个单子没法明白，你给我说一下我们一下贴膜，
[18:35.120] 脚垫后相见，行车记录仪nothing。
[18:37.920] 微不足道。
[18:39.110] 猪
[18:40.960] 13,800。
[18:42.250] 贴膜不用多了，照片不多，
[18:45.760] 随时都在变，有不同没关系，他可以把这个店他不会说电子很多吗？
[18:51.410] 大概的到一个。
[18:53.590] 我还没用完。
[18:56.940] 你不放我放了下来，这可以拿走的，随便拿着彩页子之类的东西吃饭。
[19:03.270] 水平装、发动机护板，
[19:06.710] 车内标准两项净化，
[19:18.550] 这是贷款的，要是全款的事怎么样？
[19:21.930] 长款的存款有没有？
[19:24.960] 的一样，
[19:26.580] 你看看有没有优惠。
[19:29.020] 您不是有朋友在家，我不信你可以问问他家里都有吗？不是，他跟您说的其实差不多，如果说现在普遍的都打开，谁知差不多的，
[19:40.360] 但是我们就希望到这来看看有没有，因为你这个店稍微大一点，但是现在价格几乎是没什么变动的，
[19:47.890] 这比较透明，没有什么动作之类这个东西。
[19:52.950] 而且这种价格你想75,000价格，这价格能不能给您，我得给您申请。
[19:57.900] 不是说您现在进入75,000了，下回来以后就按75,000给你算了，
[20:02.080] 这个能力跟您的付出成正比。
[20:10.560] 是这样的，
[20:12.520] 其实我们为什么说我们现在有一个问号在哪？
[20:16.740] 就是我们车牌的问题，我侧面我也咨询一下你，
[20:20.350] 就是说如果说我们存在一个车辆置换的问题，
[20:23.880] 就是说那个牌子还挂在上一辆车上，车的解押手续没有办完，
[20:28.640] 如果抵押手续办完了之后，我如何能从你这顺利地挂到下一张下一个车上，那不就旧车置换吗？旧车置换你把制止话那车不卖，
[20:37.590] 不卖您指标怎么出来，车怎么办？车就过到外地去了，
[20:42.160] 你就过完户址标示出来了。
[20:44.300] 不用我在4S店做什么样的工作，这种的过户情况都是您自己办的，4S店帮您办不了不了
[20:51.230] 了。
[20:52.500] 都是您自己。
[20:53.700] 自己你知道我怎么办，花香预约过户。
[20:57.350] 你去花乡那边对。
[20:59.510] 我知道花香那边是什么地，是交中心里面旧车交易市场交易中心。
[21:05.610] 他只能那一个地是吧？
[21:07.390] 好多地方咱们这边有吗？比如说我们是一般都去那边，
[21:11.960] 咱们这个店办也去那边，他说咱们那都是一个区域，咱们应该这跟区域没关系，你就看哪个方便在哪办过，除了环境还有哪有这种就说的您住哪？
[21:21.540] 我住门头沟区，
[21:23.290] 蒙沟那边也有，但我不知道叫什么。
[21:26.240] 也有，但是花香现在没人过去了，你像我们最近过户都来都在顺义那边，
[21:32.820] 花乡那边高危地区，现在我们都不去那边。
[21:37.070] 你像花乡那边有一个4S店，
[21:39.900] 两两天都没进去，50个客户，
[21:43.670] 你再说一下实际的，当然我从你这买这个车，
[21:51.350] 如果说牌子什么手续都齐全的话，提车周期需要多久？全款玩具。
[21:56.360] 你先按全款。
[21:59.350] 全款当天搬家玩玩存期三期多少个两三天，
[22:03.870] 二三天就完成，有啥本质的区别？
[22:06.110] 就想要办一个贷款的手续吧，抵押权是吗？
[22:09.800] 我抵押手续分期审核材料不需要。
[22:12.810] 那需要我提供什么材料，标示谁的，
[22:15.260] 指标是我的。
[22:16.450] 您上班了吗？对，收入证明前期就拿一身份证原件。
[22:21.360] 身份证原件。
[22:23.490] 如果没有什么真进步，
[22:25.400] 您身份证原件就能提过，我知道。
[22:29.400] 他就是说两三天基本上或者说如果全款的话，就当天如果要是说这没啥本质区别，这两三天跟当天
[22:35.700] 其实也无所谓。
[22:36.970] 这个倒比较简单，没有那么复杂。
[22:41.230] 别的好像就没了，反正现在任何优惠没有价格的原因。
[22:45.430] 你这426,800是按73,000算的是吧？
[22:48.870] 行理解了。
[22:49.720] 这2500什么来着？这个地方演出费这不写了吗？要上门。
[22:54.800] 上牌这个保险是吧？
[22:56.110] 上牌啥的都是咱们这儿给爸买，对，但您自己得开车。
[23:05.000] 现在到厂这也不存在什么捆绑销售，也不存在什么的，对。
[23:09.020] 我觉得你不要省事。
[23:10.900] 买就按照价格给钱的事情对不对？但是你买的东西多了，它优惠多一个道理，
[23:16.590] 你都是75,000价格，
[23:18.310] 为什么我不给你写？是因为我今天卖的那两台车，人家分期装饰都有，
[23:24.110] 所以给优惠75,000，我等
[23:27.880] 肯定是总理越多优惠越多肯定的，对，不是你看他那装饰才1万多钱，你跟那40万车他能同时用是不是？
[23:35.070] 什么你算是分期什么多少赚多少钱呢？
[23:39.440] 13,800是吧？13,800压你车多少钱？
[23:42.760] 40 40多万差多少倍是不是？你不能说因为他多花了1万多块钱就会多一些，
[23:49.600] 这些液态的东西，你看你一半坑里边买了个鸡蛋，你那边买个房子他都不一样了，是不是？
[23:57.060] 行，我不跟你争辩这些东西您自己看来就行了，对。
[24:02.630] 今天能定吗您这边？
[24:05.680] 那得看，我觉得您这个价格跟我朋友说的，其实我跟你说实话是一模一样的，你找了一个朋友才这种不我就让他简单的问一下，其实我没有说正式的跟她说我要买车，我就侧面问了一下，我说那车什么价格什么，
[24:21.200] 其实我
[24:22.260] 我跟你说实话，有时候越是朋友感觉又不太好，其实我们肯定找到了，
[24:28.290] 不太愿意找他说他让他帮个忙，你说他说的高了低了你是买还是不买对吧？其实你不要这种价格，您可以自己看看对比，
[24:38.230] 比如押物之星您不要熟人吗？
[24:40.200] 那您就问问
[24:41.230] 对吧？都可以问，拿我的价格应该做个对比差。
[24:44.720] 您要今天订的话能怎么着？对，如果我要今天订的话这点了，
[24:49.590] 你要我买75,000 13,800分期都有，我能给您优惠75,000，今天刚进完了多了，你要我说我13,800你不要13,000吧，差不多就我给您报那价七万三三，对。
[25:03.900] 一分期的情况就是73,000。
[25:06.040] 不分期5分，7是78。
[25:09.230] 7万，对，为什么不分期？他京东金融他肯定是有金融肯定能知道，算了简单。
[25:15.950] 白金融。
[25:17.060] 对他这种资本的，咱们那边就没有捆绑销售这一说的，你可以买像咱们多优惠一下，买一项伯又会说京东金融强势的，后来不也多次澄清了，说自愿，
[25:27.770] 这都是自愿的，就买一件我们这边给你，但是你的情况下，他本来说肯定对于他来说他就有一个利润点，对，所以说他能给你多优惠些。
[25:37.310] 对，就是这样。
[25:38.720] 为什么刚才问您说买不买装置对吧？
[25:41.810] 你要买中式我就直接按75,000给你算了。
[25:47.740] 这我们可以拿走是吧？
[25:50.770] 今天定不了不行。
[25:52.300] 想订，但是您的价格就是没事，您可以对比对比，就拿我这车的价格，您可以对比看一下。
[25:59.470] 能差多少钱。
[26:00.690] 然后顺便您可以看看别的，
[26:04.450] 看能差多少。
[26:05.840] 这个倒不用，其实都差不多，唯一的就是这种软性的优惠，看有没有对
[26:12.400] 这种价格比较透明的，像我今天扣一下定两台车，
[26:16.420] 都对比了好几家店了，最终来到我们家。
[26:19.990] 因为其实一般正常的北京的红叶，而且它的价格可能会有差异，但是差异
[26:25.930] 说特别大的，我们用的都是在宁夏，无非就是可能有一些店有些
[26:31.160] 其他的一些相应4S店本身那些优惠，
[26:35.960] 因为包括4S店的大量资料，你这个价格其实我说话比较直，您别太真的什么都不能送吗？对什么分红送东西。
[26:43.630] 奔驰不送东西，要送东西干嘛列1万3斤卖都有了。
[26:47.600] 刚才那销售部来说是有什么打火机，还有什么打火机做礼品的，您现在让孩子过去就能拿。
[26:54.650] 我不抽烟，我打火机那就那边做活动。
[27:01.320] 让他去就能
[27:02.880] 要加不了咱们先聊一聊。
[27:06.830] 我们回去。
[27:09.200] 没问题，保单这边还有其他问题吗？
[27:12.560] 保险单没有问题，你把他电话记我记得存。
[27:17.000] 要定的话需要很多手续你给我介绍一下。
[27:19.880] 订车的话你就交一个1万块钱定金，交完了以后咱们这边给您做一个分期的合同，
[27:26.320] 就没有别的手机了吧？
[27:28.900] 没有，暂时就这些东西。
[27:30.980] 特别远，没有那么复杂，我们还开着车牌号时候回来。
[27:35.440] 其实订车不订车的，这真的是因为车牌号现在还没对。
[27:41.090] 对，所以说
[27:44.810] 行站在商店，而且您买车的时间不一样，他有可能价格都不一样。
[27:49.790] 对这段时间可能会稍微比夏天要价格来说要优惠，他这规律价格能保持个D几天，他不会说这两天就最大的变化。
[28:00.360] 所以我们
[28:02.040] 其实我觉得我们
[28:03.290] 我们这种客户对你来说应该是比较简单的，就是说一时间不会拉开特别长，就这点看价格了。
[28:10.450] 对10来天，第二就是看这个价格，然后别的没啥，对。
[28:14.200] 就价格很低，对。
[28:15.660] 这比较紧，您这边什么样？我这边就是要介绍的，要是假也不需要其他的，其实我就说
[28:22.590] 快其实你看从内心来说，其实希望从你这儿买，但是我希望你能够从价格上跟我们谅解，没事能拿我的价格对比，我只能跟您这么说，但是
[28:31.470] 了最高的7~275,000是400 75,000，最高3万对，75,000得有那些东西。
[28:37.990] 一场刚才那会儿有点这价格比较透明，你可以拿我的报价单随便对比，按理说我们这块但是不能让您拿走了，但是我说方便让您对比，您就让您拿走了，拿到绝对
[28:49.250] 空间的话就不太大，对，您可以拿我的报价单对比，然后看一下别的店能比我这边多优惠多少钱，我都不怕这种对比一下。
[28:57.740] 而且您不是说厌恶之星那边，我朋友你知道吧，你再问问他，说他那边给您报这价格出口，就这价格咱得问问他还能再便宜，
[29:06.460] 估计这价格你就找我们老板，我估计便宜机会没问题，钱的。
[29:11.360] 你这个的话
[29:14.660] 你刚才说实际上的是优惠多少？百分782 72,000。
[29:19.880] 这个是7.5还是7毛2，对。
[29:22.610] 圈儿，然后。
[29:24.600] 内饰都是一个中山是吗？
[29:28.070] 一般情况都是工作的。
[29:29.940] 然后你的逻辑是自己选还是选不了，选不了也选不了一个派人叫有时尚的是哪个现在？
[29:38.520] 第一个。
[29:41.170] 二倒数第二个看错了，对倒数第二，你说要大标的对什么？书写了49万这样的倒数第一个？
[29:49.880] 倒数第一的
[29:56.560] OK。
[29:57.490] 但是顾虑的价格问题了吧，底下会有一个二维码是对服务公约反馈，你可以邀请您扫描二维码会服务没有反馈。
[30:05.740] 我们到底怎么就刮价格，对价格问题比较紧张了，太简单了。
[30:11.290] 您应该挂钩应该大大差不差都知道了，要没逛过钱，我给您报多少钱你都不知道，这当然都逛过来，还好，这个东西说不要紧。
[30:24.600] 我来吧。
[30:25.630] 在这地方刚是稍微有规划吗？
[30:29.370] 没事，我们那边没有。
[30:31.520] 说咱们厂家去了，但是北京根本的意思吗？
[30:37.600] 放假。
[30:44.840] 因为我们
[30:45.560] 另外如果说
[30:47.550] 充满
[30:50.920] 全换使用会都要来的吗？
[30:53.200] 7万。
[30:54.850] 接受。
[30:58.130] 开车来是吗？
[30:59.160] 开车来你扫描马上出去免费行车。
[31:03.440] 明天我再给您做一回访，一般电话短信都方便。
[31:06.920] 时间上午方便。
[31:11.050] 扫描完了以后您输入一个车牌号，15分钟之内离场就行了。
[31:31.600] 怎么还不在场？
[31:33.060] 男输错了首字母就输错了，
[31:35.540] 精神卖明白。
[31:43.670] 在这行15分钟之内出去就行，这边不够。
[31:48.640] 咱不能下班了，
[31:49.990] 我们那下班没点，只要有上帝在就下不了班。
[31:58.120] 需要当时。
[31:59.550] 对，随时联系。
[32:02.030] 您不是门头沟吗？离这边也近也不远，咱们这次没需要这边矫正了，最近老在这边那边的话。
[32:08.850] 还有点什么事儿？
[32:14.800] 比较
[32:17.570] 价格差不多。
[32:20.170] 差不多。
[32:21.320] 多少会一些我感觉
[32:23.000] 稍微会有点区别。
[32:25.240] 行，您慢点，后期有需要再联系。
[32:29.920] 他们在那。
[32:37.270] 我领你那会领你。
[32:39.400] 不要我去。
[32:40.750] 我领什么打火机。
[32:45.480] 我以为给我领仨了，给我领着三口，我就一个人达到。
[32:52.310] 晚的。
[32:53.340] 我应该领的时候都告诉看过头晕，
[32:56.770] 加个班，
[32:58.400] 三个中华。
[33:01.130] 这小老店吗？来窗花划的。
[33:04.380] 对，他们那边叫中华药华子是吧？黄。
[33:08.850] 惯这臭毛病就是抽别人撑伞，
[33:12.330] 结果中华女儿家的红塔山
[33:15.200] 特别逗，我老看那哥们喊着
[33:17.790] 特别少见。
[33:19.390] 王静了没事慢点。
[33:22.480] 说。
[33:25.160] 给我来一点，我觉得这车我就订这个车估计都赔不少。
[33:30.760] 销售顾问全院走的，
[33:32.710] 然后他们一个置换别啥都没有。
[33:38.310] 我这样弄对了好几
[33:40.310] 也停了。
