[00:00.000] 好先生您车牌号是8968，没错。
[12:27.510] 刹车油厂家是两年换一次的要求，这算不算？
[12:32.280] 抽上午没有多少钱够了。
[12:35.190] 多少钱当时有370中间这样，您等了一会儿听完以后过去找。
[12:45.720] 这个不用这给您的，洗车房咱俩的一样。
[12:49.880] 咱俩一样不给您了，您
[12:52.380] 您稍等一会一会给您打电话，我就给您做一个B保养好，比如说换机油滤芯，还有一个发动机的空气滤芯，
[13:04.660] 的
[13:07.970] 行，我这手续都办完了就行。
[13:10.700] 您等我电话取车就行，您是在这等着还是在这儿等回去在这等着？
[13:23.400] 2点对。
[13:28.440] 1:30 2:00。
[13:32.110] 我建议您要是
[13:34.350] 有事的话您就
[13:37.890] 跑过来。
[13:42.880] 中午也可以有一个客餐。
[13:47.440] 行，我给您发个餐厅。
[13:51.430] 手机微信吗？
[13:55.520] 手机微信里面搜索。
[14:07.830] 数据库、
[14:14.720] 剧场、
[14:34.090] 坏数据，
[14:40.970] 的
[14:43.610] 数据
[14:48.440] 永远
[14:55.260] 场
[14:57.830] 的
[15:03.080] 的
[15:15.950] 点点手机。
[15:20.400] 可以。
[15:34.330] 二
[15:37.120] 二
[15:38.340] 二
[15:43.700] 数据
[15:52.850] 数据
[15:59.760] 您刚才那手机号是多少？18558985191
[16:09.880] 的
[16:14.990] 数据。
[16:23.860] 看一眼。
[16:26.950] 还
[16:28.000] 上哪能找着没事人他会。
[16:32.100] 不用。
[16:33.940] 到那以后就是说就先别领了，到最后再说。
[16:39.570] 对外停车券就他那停车券领完了以后，15分钟之内必须得离场，你别聊。
[16:49.290] 这样别的了不想过去了。
[16:54.390] 过来了，就两个就坏了。
[17:00.030] 15分钟离场，你要是没开走，
[17:04.070] 还得重新又重新具备了。
[17:09.830] 办完了
[17:12.700] 2:00左右就到时候我给你打电话。
[17:22.130] 的
[17:24.890] 号
[17:28.130] 您看一下没事。
[17:32.550] 数据。
