[00:00.000] 捷克后来。
[11:25.990] 他是车优惠72,000送5000保险，综合优惠77,000，
[11:31.270] 置换送4000保险。
[11:35.870] 再送4000保险。
[11:39.620] 对三十一二。
[11:44.390] 39万多，30 38 39。
[11:48.870] 远场
[12:07.050] 报价再给您说一遍，咱们这工业。
[12:16.070] 工业主要以客为尊，以礼相待，重新进行合法得体，明码标价、公开透明配件渠道信息公示，
[12:21.890] 绝不空白，受强制消费，绝不使用价值一次送好。下面4008，
[12:26.470] 188是针对服务业应电话，
[12:28.610] 这是咱们奔驰全国统一模板一份报价单。
[12:31.370] 这报价单基于咱们服务工业制造里边的项目，有任何强制消费和空白人寿您都是可以自愿的。
[12:37.210] 车给您算的是兼C300的动感
[12:40.740] 车咱们店内公示价格为449,800，在我的权限可以优惠41,000。
[12:46.120] 开票价是408,800，购置税36,176。
[12:51.710] 车辆全险大概在14,000，电梯验收上班2500。
[12:56.630] 给您加了13,800的装饰套餐，是全车威固贴膜隐藏式行车记录仪酒店和无线电这客户选择比较多的。
[13:03.590] 咱们全款购车的话，
[13:06.130] 店内对您有置换，现在置换送一个6000块钱的保险。
[13:12.180] 7月份购车额外送一夜1B这是厂家额外给的。
[13:16.270] 全款购车的话，这车475,276个月办结。
[13:27.560] 报价单你看有没有不清楚的地方？
[13:30.700] 下边那二维码是针对于咱们服务员见几个调查问卷，有空的话您可以帮助一下。
[13:53.000] 您说说其他家给你报什么价格？
[13:59.240] 现金优惠44,000，
[14:04.120] 验车费是1000 4800的。
[14:07.470] 专4800装着什么东西？
[14:10.270] 跟你们一样。
[14:11.360] 膜是什么膜？强生膜，你自己上淘宝搜一下膜多少钱？500块钱一车，
[14:16.940] 大奔驰他花了500天一模一样，
[14:19.410] 合适吗？你觉得贴膜有起到作用吗？
[14:22.710] 现在说一下是我们东装饰咱破一块，我们13,800，我们模式威固隔热膜里边最好的了，
[14:30.700] 成本就差好多了。
[14:32.370] 问题。
[14:34.120] 三三千保健医三年保养券是粘性产品，就希望您去在那保养。
[14:39.700] 反正肯定也得保养。
[14:41.640] 对这个就是他们的
[14:44.320] 其实有竞争力的其实就是45,000这块多多比我们家多了多优惠4000块钱，其实
[14:50.520] 验车费2500，我们家1300+1000，我们家2500，估计他也是往下降的，基本上我们家2500在全市里边，我们家是属于最低的，一般都是3000。
[15:01.320] 其他的都一样吗？看来你们这个价格还不行。
[15:07.600] 还行我觉得。
[15:10.340] 就差4000块钱，别的没差。
[15:12.190] 装饰因为都不强制。
[15:13.850] 装饰这东西就像我说膜里边给的东西不一样，不要光看，
[15:18.600] 东西不一样，你成本不一样，所以就会造成价格差。
[15:22.390] 不用说您自己可以上网收亚威固膜，我提车多少钱，
[15:26.200] 你强生膜贴车多少钱，
[15:28.630] 对吧？这个东西会有很大差异
[15:31.200] 的。
[15:33.800] 验车费是2500，2500就等于差了5500。
[15:38.680] 其实电车谈到1000差对5500差了。
[15:49.760] 车型吗？黑车中我可以给您喂嘴，今天能交定金吗您？
[15:58.960] 可以。
[15:59.930] 你要觉得车型我就去给您渭水价格是不能跟人家来个持平那种的，
[16:05.950] 或哪个其他方面给您多优惠去。
[16:09.560] 还能再优惠点吗？那45,000其实挺合适的。
[16:15.060] 可以交定金，毕竟我们家是四驱的。
[16:19.020] 优势，我家就在四里边。
[16:21.840] 现在在四环里边的，
[16:25.050] 也就我们家的在往外边4环就是5环外的，
[16:28.250] 对吧？这也算个地理优势。
[16:30.100] 简单跟您说您去世他说明保养券他为什么相伴？
[16:33.900] 卖车其实不挣钱，其实像去保养，
[16:37.400] 对吧？
[16:38.530] 您说来回去那一个多小时的去一个小时回来一个多小时，这一天不用干别的。
[16:44.120] 直接保养。
[16:45.280] 我们家你也说我离我们家尽管我家里也方便，
[16:50.040] 你这个价格差5000块钱。
[16:53.630] 不是，反正都是全国联保的。
[16:55.650] 您可以不要那3000块钱卷着来我们家保养，我们家倒是有保养套餐也会非常合适。
[17:01.460] 他那个是还有6700的延保，81年送年全职做，厂家延保送一年。
[17:08.670] 4S店的店三大电源吗？
[17:11.250] 我们也有延保，你们也是这个吗？对，我们有延保，但是据延保我。
[17:15.770] 给您算一下到底多少钱。
[17:17.470] 也是两年的。
[17:20.040] 整车，对我们还有什么还有比较好的版本专享礼，咱们庄里1499，
[17:28.040] 反它是你出一回险返2500，
[17:31.440] 就打比方发生了剐蹭，
[17:34.350] 直接赔付你2500块钱，
[17:36.260] 这2000块你可以用来做了保险第二年上浮，
[17:41.070] 或者你直接拿它去租车去都行，
[17:44.860] 这也比较合适，一年给两回，那两位都是多少钱？5000块钱。
[17:48.940] 1400多换车换5000，
[17:51.990] 这也是比较划算的。
[18:00.860] 交C的价格特别稳，每家店差异也就大概两三千块钱左右。
[18:07.380] 他是不是把验车费降成1000？
[18:11.090] 基本上价格就跟我差不多。
[18:18.840] 他收到了应该他外送3000保养券。
[18:22.820] 是。
[18:23.520] 就是说你时间成本3000块钱能换来吗？
[18:26.360] 800万你说对吧？
[18:28.900] 那东西都不值钱，你知道吗？
[18:41.040] 就跟我说我
[18:42.640] 我媳妇买台宝马，那车在那买，我租辆小桥车在金港买的，
[18:47.520] 也是找关系买了买一台gp，但是没有车就搁那找一台车，
[18:52.060] 送的保养我去吗？一会也没去过。
[18:57.440] 所以说当时我跟那小伙聊起来，我说你能填一下，我帮我要不要？
[19:01.610] 都没招哥，我只能送你8块钱拿来就吃，你不来，
[19:04.900] 也只能这么着。
[19:06.020] 我说一会一会没去过，
[19:08.080] 去金港我们家到金港对吧？
[19:10.530] 小40公里，
[19:12.170] 到那就说一个多小时在那保养大哥等
[19:16.740] 你说吃饭都费劲的，
[19:20.610] 你要赶上中午去连午餐都没有，
[19:32.320] 45,000的车你买不贵，
[19:40.600] 你现在我看别的地方都优惠5万了，
[19:43.420] 10万多5万多他不给你车。
[19:48.220] 可能不是北京的外地的，外地也没法体验的车，
[19:51.900] 你成本不更高，不是。
[19:54.360] 人家在外地买车就已经可以优惠到5万多了，外地你是搁网上看的是吗？好上的都不快活了都。
[20:01.750] 都是最近提车的网上的我跟您说，他有可能那时候是自然试题的老款的车，他后来把帖子放上来。
[20:09.090] 之前那车原来是。
[20:10.560] 车你听我说别相信太多，网上好多还有提800和050，咱们现在是800+050款，
[20:20.320] 叫2020改款2020款。
[20:23.480] 300动产车辆后排多了一个空调的
[20:27.540] 后排空调控制，
[20:30.300] 那是会有差异的
[20:32.940] 你们现在也没有老款了，现在对我们北京卖得特别快，我们老款基本上4月底就清没了，就是说
[20:40.190] 完了那时候那个车能到惠优惠5万那样，
[20:43.700] 就差了有5000的差价，
[20:47.370] 而且现在价格逐渐再往回走，为什么现在买车又多了起来了？
[20:52.840] 了，因为疫情期间把这个价格把这客户基本弄得特别集中。
[20:58.640] 您看今天是大周二的晚展厅全是您告诉您到前台登记需要等待销售工才能接待您。
[21:05.360] 平时周二有这场景需要我们排队接待客户，
[21:10.280] 对已经放开了以后，这本身加入C的车，
[21:15.260] 我也认为被交这个产品这个产品还是非常强势的，所有车型都在往下降，就加入C的价格，
[21:22.410] 反正不降，
[21:24.200] 因为销量好吧，对这车销量比较好，产品比较好，这款车
[21:29.200] 同级别里头价格都差不多，
[21:31.780] 它的空间优势非常明显，
[21:33.770] 品牌优势也非常明显。
[21:35.600] 而且。
[21:36.300] 记IC的配置就非常丰富，基本上客户买了不用做任何选装，
[21:41.740] 您说对吧？主动安全。
[21:43.800] QL叉3我相信你也对比过，
[21:46.800] 只有我们进行一个标配，他俩得选装，
[21:49.870] 对吧？内饰做工配置的豪华丰富，
[21:53.270] 对吧？
[21:54.680] 64的环境氛围灯，
[21:56.030] 无钥匙进入感应后备箱，
[21:57.980] 导航
[21:59.150] 谁知
[22:05.030] 我们这块车子原车导航现在比例上火车早上好用多了，
[22:08.560] Coach基本可以告别手机的，
[22:15.090] 所以说价格我可以给你争取一下，跟他您了解到的价格
[22:19.730] 跟它持平，我觉得你买的和谁合适了。
[22:22.200] 你要想5万提到车基本不赞成，现在就这种行情，而且每家店都没有现车情况下。
[22:28.090] 你想聊聊网上一条过于的价格。
[22:31.130] 基本上我可以搜我可以收到5万定金订单。
[22:35.240] 是啥？
[22:36.420] 我们车唠叨就5万了，差您一台车数了，我可以把你叫过来，把车交给您进行交付，
[22:41.880] 但是加VC从来不差数着车，
[22:44.970] 所以说我说是一天一般三天是怎么玩的，
[22:48.340] 拿您做一个期货订单，就让我说我差着数了。
[22:51.780] 现车
[22:53.070] 是实现车，我都是谈的基础是现车款5万的车，他不会给你车，你放心。
[22:59.750] 我刚才跟你说优惠是现车用吗？
[23:02.250] 对他签车的情况下。
[23:04.380] 他看你给不给你签5万，全北京你找不到5万的车。
[23:09.000] 现车
[23:10.030] 都没车。
[23:11.800] 我们家算大的店。
[23:13.740] 对吧？我相信你几家人撞我们家算大的变了，我们家就一台现车，别人能有车吗？
[23:20.510] 我们算体量大的，我们家一个月大概能卖三百六七，
[23:24.450] 光交C款车型，我们一个月都卖到70台左右。
[23:36.040] 你像我跟你说石墨、灰、红宝石、黑
[23:39.300] A充实率，就这种彩色穿你在其他家都看不见了。
[23:42.610] 我们家后陆续期货上。
[23:58.820] 再一个就是这车我就会建议我的客户跟他分期付款。
[24:01.820] 1.82的利率，您随便把钱放到支付宝里头，
[24:05.770] 您能挣得回来。
[24:07.800] 车喝油吗？
[24:09.110] 喝。
[24:10.260] 您把钱弄到余额宝里头产生的利息，这车加油全都go，
[24:14.640] 是不是？这一年攒下的钱，你的保养钱都不算钱，
[24:18.380] 不用上权限，我只是告诉您大概买这车需要花多少钱。
[24:22.320] 但是装饰也不强制的。
[24:25.090] 点
[24:25.800] 1万多块钱，我先跟客户也是这么说，你不在我这话，你在其它店也花，你在4S店花了，您将来得到都是有保障的，我告诉您贴的的威固的膜，
[24:35.490] 您在外边贴膜的时候，比如你姐告诉你维护资料一模一样这种
[24:39.800] 入到玻璃上去以后，
[24:41.480] 您看出来吗？您能分辨出来吗？
[24:44.450] 您是完全不能分辨的，而且不会给您开具相应的发票，我
[24:48.850] 您在我们店交多少钱，我都会给您开具相应的发票，所有东西玩都是保真的。
[24:53.960] 是吧？跟我王朝组合
[24:56.370] 告诉你们都是有一致的一致性。
[24:59.030] 对吧？哪块差您了。
[25:00.980] 国家会有很严厉的法律法规来进行对我们处罚，我们店这么多年了，
[25:05.790] 也不因为这种因小失大，你说对吧？
[25:08.510] 我们也会通过我们的服务，
[25:10.920] 希望您介绍更多的客户来给我们
[25:31.250] 报价
[25:32.220] 他8000块钱。
[25:34.250] 45,000 41,000
[25:36.400] 加上1500，
[25:38.960] 5000 5000 5000 3000卷，
[25:42.110] 你8000多
[25:43.530] 估计你们很难再降吗？还能降多少？我能将的话我就辞去，找领导给您问问，能不能价格跟他们家是评到45,000这样事了。
[25:53.560] 验车这块我觉得够呛。
[25:56.350] 或者看您能考虑其他方面，我们在其他方面来补充一下，我说你分个气，
[26:02.460] 领导商量到时候可能把验车费送给。
[26:05.500] 我的压力也比较少一些。
[26:09.940] 是不是劝我觉得我这块很难得到。
[26:13.040] 就是说只能降
[26:15.680] 优惠到4万5万，对。
[26:19.170] 把事儿分个期，把验车费送给您，给我们提供验证上门服务。
[26:24.280] 因为这种之前也操作。
[26:27.230] 分期对您来说也合适，
[26:39.930] 销量好，优惠差一些。
[26:43.220] 跟地理有关，为什么我不算凶圈，你可以到我们店的售后，您可以看一下我们的进场量有多大，
[26:49.300] 对吧？这样是我们的师傅的经验会更丰富一些。
[26:53.050] 对吧？
[26:55.010] 而且我们家的这种便的环境。
[26:57.760] 我们家的食堂
[27:00.720] 是吧？我们家是全北京奔驰车的最好的
[27:04.130] 自助餐，
[27:05.850] 这种疫情4000，我们是像这种餐盒这种准备客户达装好，原来我们自主商城
[27:14.570] 卷不能去了，
[27:16.320] 然后能优惠点4万，
[27:18.440] 见车也够贱。
[27:21.020] 验车股票你要全款。
[27:31.270] 不用吗？
[27:34.550] 而且我们家是最新车，马上到店了。
[27:37.670] 你也没有做作业是吧？K线和车跟您说是8月12号生产，
[27:44.950] 要不就订台期货，定期货的话定金也可以退，期货一般我们签开口订单，
[27:52.380] 就以车辆到店实际销售价格成交价为准，如果到8月份这车便宜了，你便宜点。
[27:58.380] 所以当时就是贵。
[27:59.500] 了他贵了就按贵的买，就我们到以当时车辆到店市场成交价就打架不用了。
[28:06.170] 你可以先把这台黑车会站下来，
[28:09.650] 对吧？我们家现在能看到就这一台黑色黑内盛传黑的种类，
[28:17.130] 这是最快的一台黑色费。
[28:19.470] 再不说。
[28:20.680] 还得等一下，谁知
[28:23.500] 2月
[28:25.260] 我是7月16号，
[28:27.480] 7月16号生产。
[28:29.500] 非常贵这样挺快的，车是7月16。
[28:33.440] 费。
[28:34.580] 排前了。
[28:36.290] 高排序
[28:37.460] 了。
[28:42.920] 7月16号这还有两天就生产完了，这车快的话估计也得月底或者下月初这样。
[28:52.610] 这个排序乱了就
[28:54.740] 我看了重新看日期这块是7月16号。
[28:59.610] 是吧？没看出了没看被称为300多，您
[29:03.160] 说是期货就是你肯帮我了。
[29:07.420] 还有
[29:08.710] 期货也没什么好说，就告诉您北京奔驰生产
[29:14.050] 如果正常情况下，因为现在休息形象，他小板车间少，排版车比较困难，一般都在25天左右，20天到25天。
[29:22.900] 也有快的车，上个月订那台蓝的。
[29:25.980] 一三百
[29:28.130] 豪华
[29:29.350] 生产完10半个月就到了，
[29:33.400] 考虑一下，我可能就这两天就是想到病了，
[29:37.350] 还是想要消耗的设计吗？
[29:40.920] 都没有车，300你要说260都有，300都没有车。
[29:45.790] 300车少。
[29:48.850] 2000多吗？对A60多，QQ黑。
[30:03.030] 1.8
[30:08.050] 为啥？
[30:09.330] 对吧？
[30:16.770] 当时的
[30:19.280] 查查
[30:22.000] 场
[30:23.630] 场
[30:25.830] 数据
[30:36.290] 的
[30:37.270] 考虑一下，
[30:38.960] 考虑一下。
[30:41.400] 我有印象当时那个价格在
[30:43.960] 才能再谈一下。
[30:45.630] 估计那样，我刚才说
[30:48.510] 你给我拿一个什么？
[30:50.920] 手册我们家没有，
[30:52.380] 这边客流量更大，这个东西发的更快一些，现在都是电子版到我们的实盘就跟着把二维码。
[30:58.530] 咱们可以拍照片。
[31:00.050] 可以扫是吧？
[31:01.360] 对，你把它拍成照片，因为扫完退出就没有了，完了看照片想看的时候通过微信识别相册照片。
[31:07.150] 就可以看得到。
[31:14.480] 他这个就是里边所有配置都有吗？
[31:23.950] 退出来的油都没有了。
[31:26.210] 退出没有对不对？
[31:28.270] 只能看看妈妈对，你要不就把它拍成照片，通过微信识别相册照片
[31:33.390] 就可以
[31:34.380] 进到咱们这网站里边。
[31:38.490] 来我教你一下，
[31:40.880] 咱们反倒稍微好。
[31:43.540] 对。
[31:45.040] 完了差点了，在等一下家里面，但是
[31:50.520] 扫一扫
[31:52.260] 电话。
[31:55.380] 下边这个周末对。
[32:00.260] 接着来。
[32:01.670] 给他方便一下。
[32:03.270] 这边有
[32:05.080] 这有往下翻那时候车型所有亮点
[32:15.840] 的。
[32:19.250] 的
[32:23.860] 大概产品
[32:26.500] 应该可以简单。
[32:37.450] 然后说
[32:41.080] 介绍
[32:43.890] 数据。
[32:49.750] 明天
[32:54.640] 到。
[32:59.520] 了。
[33:00.840] 场
[33:14.730] 到。
[33:15.930] 肯定的。
[33:17.440] 因为我们这边好多东西跟cd一样，
[33:25.200] 好像说你来录办法画卷，
[33:27.930] 选择或者
[33:33.520] 算是还行。
[33:36.600] 三
[33:38.650] 明天。
[33:40.690] 外号你可以
[33:42.820] 把您的思路，咱们车牌
[33:46.440] 开班仪式，
[33:48.470] 由于车牌都不错。
[33:56.340] 好了可以了。
[33:58.090] 没错您
[34:00.360] 您来的认证。
[34:02.480] 好的。
[34:04.810] 领导放心。
[34:07.230] 好，让您慢点，再见。
[34:22.800] 大家。
[34:27.830] 还有。
[34:29.800] 晚一点还有
