[00:00.660] 接待二。
[08:39.480] 您说多少钱？394,800裸车了。
[08:44.570] 优惠4万。
[08:46.890] 330优惠完354,800。
[08:54.180] 低功率的
[08:55.840] 的。
[08:57.480] 的。
[08:58.360] 他们的33
[09:02.880] 没听过这个价格，
[09:05.000] 没有过这个价格。
[09:06.800] 过来。
[09:09.860] 这边有价格35万多一点，对。
[09:21.360] 小心使得
[09:22.760] 远远
[09:32.680] 百
[09:38.290] 的
[09:40.530] 远
[09:43.580] 的。
[09:48.280] B
[09:51.360] 小
[09:55.950] 场
[10:05.510] 的
[10:13.880] 掉了。
[10:23.050] 感觉一下。
[10:24.520] 好，这是治疗DB
[10:39.160] 阳哥我今天遇到问题，这两个客户同时进店的，我API和这东西怎么才能材料录音怎么了？
[10:52.760] 再看另外一个是吧？
[10:59.570] 行好勒。
[11:02.670] 就这样，第让张波评估坐车去了，然后客户现在喝水，lc这客户我接着
[11:12.800] 没有。
[11:32.990] 您好，帮我标一个lb200动感，有一个813颜色的车单，
[11:39.590] 专家号我这没有库存，
[11:43.840] 这个饮料就要68。
[11:49.840] 韩青小。
[11:59.960] 有吗？
[12:12.510] 8
[12:15.970] 应该是
[12:17.580] 064116这个吗？
[12:35.370] 帮我标一下，谢谢。
[12:48.660] 上
[12:55.930] 二。
[12:57.960] 他喜欢轿车还是行？
[12:59.470] 我买
[13:01.520] 应该是
[13:03.920] 让我买奥迪
[13:20.320] 今天你能给
[13:22.000] 带来多少就会，你先看您这边想能不能定，我决定对您觉得您合适是说多少钱合适，这个对，所以说我就给您算好了，您要是260号晚您需要260号还是300动了，那不得给你市场行情来对不对？不。
[13:39.490] 我给您算一下，完了做给您
[13:42.320] 给你算好列出来您看看，可以的话我也是这个意思，所以说我说坐过来。
[13:50.170] 所以我给你算算。
[13:51.880] 咱坐这边。
[13:54.530] 你先算我等车。
[13:57.340] 不是一边算一边等着，算完了后面算了，算完了待会来说我们看一看可以，我就先给您算一下算。
[14:05.990] 就算。
[14:14.320] 那是给您算260还是算300，还能算一下算。
[14:17.880] 行了。
[14:29.690] 卫生间你们
[14:32.040] 别带走。
[14:34.810] 了。
[14:54.910] 您是用那个车置换是吗？哥？
[14:58.400] 你的车也开过来了。
[15:00.180] 有没有拍过吗？
[15:04.320] 现在有260友家装补丁声音响的何家庄盲点监测的考虑这种还是考虑什么都不加装呢？
[15:10.630] 家装什么？有一个家装柏林之声音响，还有一辆是家装忙点的支撑，全面柏林之声音响，还有一个家装盲点辅助，就是你冰先不做。
[15:21.740] 对都不用加。
[15:23.790] 都不用加是吧？好勒。
[15:28.160] 加装加多少钱？
[15:29.640] 薄王填辅助是4100，这是出厂就带的，不是我们货给您装的，不停车一小时6900。
[15:39.540] 这不是两个同事装的，是分开装的。
[15:43.250] 两辆车。
[16:07.600] 陈哥。
[16:10.020] 你帮我带个户型吗？
[16:13.810] 咱应该在水钠一个阿姨和一位女士。
[16:18.840] 对。
[16:20.100] 张哥去给他评估车去了。
[16:22.920] 评估完就车的话，你就先把我你在哪
[16:32.040] 一会过去找你。
[16:33.940] 你去吧。
[16:39.390] 你那个女士叫李女士。
[16:42.800] 过去
[16:49.320] 不算好了，那行了先不用了，一会再说。
[16:57.250] 好
[17:33.830] 10
[17:35.120] 五。
[17:49.450] 4时497。
[17:53.170] 10
[17:57.080] 是吧？
[18:35.940] 来您看一下。
[18:37.830] 这边这个是260豪华，这边是300动感。
[18:42.670] 26的豪华的指导价是422,800，今天优惠完之后376,800，
[18:47.480] 购置税33,346，验车上牌2500，然后保险大概是在12,000，您置换有个6000的保险的一个赠送，
[18:54.620] 全办齐大概是418,000多，
[18:56.760] 这款指导价449,800，优惠完之后是406,800，购置税是36,000。
[19:02.370] 验车上牌2500，保险也差不多12,000，然后这话也是6000。
[19:06.720] 全班齐的话就是45万多。
[19:14.600] 你都没给优惠呢，
[19:16.440] 这就是优惠后的价格。
[19:18.150] 我跟那些。
[19:20.130] 你上次来的话，这个车比上次您来多优惠2000，这个车比上次您来应该是多优惠是3000还是4000？
[19:29.000] 差不多应该差3000块钱。
[19:32.010] 上次说置换不是能不止6000吗？置换是6000。
[19:36.910] 说话一直都是6000，喂A。
[19:42.510] 我在。
[19:50.540] 我是在百得利这边西四环。
[19:53.640] 全县西四环。
[19:55.980] 我记得不的，万一
[20:00.760] 我不在那边在西四环现在三。
[20:04.400] 浩瀚五路居我给你发个定位。
[20:08.690] 对。
[20:12.050] 换。
[20:13.720] 算。
[20:15.930] 但是。
[20:20.150] 一样的。
[20:21.550] 单位。
[20:23.310] 对。
[20:25.090] 刚刚。
[20:27.210] 没。
[20:29.280] 你在那块找一个销售，让一个销售给你介绍。
[20:32.970] 5.3，然后到时候
[20:36.150] 都是一个低功率的一个高功率的，然后您看看完之后您再过来着，要不你就直接过来找我也行。
[20:42.160] 一个低功率一个高功率。
[20:44.640] 行，你来吧来我给你问问。
[20:52.600] 好。
[20:59.760] 还有。
[21:02.000] 您说。
[21:03.600] 优惠优惠。
[21:06.870] 对，他不会说像我上次跟您说的，不会说您今儿来就给喂蔡哥你上后厅的找我，前天来找我来扒一层。
[21:13.810] 的
[21:17.080] 他不会说一下子就给您降，就是像我上次跟您说给你降个1万2万，这绝对真不可能。
[21:22.910] 但是绝对比你上次来给您优惠的。
[21:27.260] 我给你找找。
[21:28.710] 你看一下我这上次您是上个周来的。
[21:37.530] 日照。
[21:39.090] 上回是我记得是
[21:42.600] 暑礁了。
[21:50.590] 三。
[21:52.670] 上面您看。
[21:54.000] 十十几万。
[21:57.950] 但他车架对车架真是豪华型吗？
[22:01.780] 豪华型。
[22:02.840] 华星都下来是10
[22:05.490] 百万，
[22:08.560] 没事，您就在这基础上，您还想让我再给您问，说说你有什么心理预期都行，歌都能去给你问去。
[22:14.760] 现在的话有一个加盟店补助的车还能再多优惠两。
[22:20.310] 290豪华，刚才我跟您说您需不需要的？
[22:23.360] 盲点的话那个车能多多加2000块钱，多优惠2000块钱。
[22:29.790] 或者您心里边有什么一个价格的话，我也可以去给您问没问题。
[22:34.880] 你应该知道你能我给您报的价格就是底价，为什么我跟您这么说？是因为今天我们领导不在，
[22:43.070] 我们总经理不在，他跟我们展厅经理发的话就有订单，如果客户定好，保证客户全北京最低的价格，所以说我也只能去给您问。
[22:51.150] 您问过了您想一个什么价格我可以去给你问问行不行行的话您就定，如果说真的是给不了您，咱们再等等行都没事。
[23:01.090] 我最希望的就是您看过，
[23:05.210] 这样咱就有对比。
[23:11.050] 300跟那差打仗，
[23:13.480] 300个主要是发动机的功率不一样，
[23:16.940] 你们在这就算了，明白，在这我经常这么晚了，原来我开的车还有有一个座驾，您现在开的车是吗？我回头开过来车有这个里边是没有底，底下没我不知道您什么车也不知道到底多少钱，我那客户在那边开销地我去跟他说一下。
[23:38.630] 要不让我那客户等时间长不太好标的。
[23:41.090] 对。
[23:41.860] 客户都已经聊差不多了，报的优惠55,000，然后您先帮我跟他一下，他今天就过来订车的。
[23:48.240] 装饰没有不做，然后分期置换这块张哥去评估车去了，这个女特别好的人是多少钱？
[23:54.930] 你就不用300动。
[23:57.160] 理解。
[23:58.460] 不好意思，你说你跟我那个客户你们俩一起来了，让我同事因为咱就车都没出来了，有产品你就问他，他陪着你，我就怕你自己也不。
[24:06.650] 讹是我就自己先转转也不着急。
[24:09.270] 行，反正张哥那边。
[24:11.350] 等一会儿才能停不完，我现在正好跟这个公司跟他聊聊，谢谢。
[24:15.380] 然后再说咱对咱俩这都好聊了，都得这么长时间了，然后有问题就问我同事就行，您车有什么问题？
[24:21.990] 别的车型有没有那颜色是要什么颜色，就是那种蓝色行有现货吗？刚到那天我给你到时候不就到了吗？7月21号到了他20号到的。
[24:31.170] 帮到的车就上次我跟您说在图的，如果说我卸车，你可以让我先。
[24:36.500] 车我已经给您预留了。
[24:38.170] 车我已经给您预留了，我不知道在哪个库。
[24:40.810] 你要不你帮我查一下帅哥两个库，说我在这边给你查lb。
[24:46.110] 这二
[24:50.420] 说
[24:59.880] 300根。
[25:02.120] 不是没差多少，300是优惠优惠43,000，这个车是优惠46,000，他比他优惠点，
[25:08.510] 他这个车比这个车都优惠了少流出了3000块钱。
[25:11.540] 3000块钱。
[25:13.280] 这个不能啥，比如说43万什么。
[25:17.240] 拿我拿不下来，
[25:18.960] 拿不下来你要办成这个价格，结果不是说什么，你要变成这个价格，您就再等等都行，或者说您在取针。
[25:26.410] 因为他没有这个价格，我现在给您算45万多，我都没有让您做任何装饰，你想做就做，不做就不做。
[25:31.970] 您这43万那差2万块钱。
[25:35.310] 这个能4。
[25:38.240] 对您43万这差2万块钱，您就差2000块钱，我能去给你问问你这一下差2万真没什么没戏，估计你觉得能到多少，我觉得能给你优惠再优惠个2000块钱，两三千块钱多说了。
[25:50.080] 真的都对着，咱有什么说什么44也拿不下来，没戏，这车您再让我给你优惠都优惠不了。
[25:57.530] 这个能做
[25:59.550] 能给那些不是能给一些最后装饰咱不送装饰，装饰我们也不强制，对，你想做就做，不做就不做了，无所谓。
[26:09.030] 但是这边都有4S专利，你光是看着我跟你不一样。
[26:14.630] 你想做就做，你要是说你外边有渠道，您在外边坐一下，
[26:18.360] 在店里边咱什么膜都有，倒是都可以带您体验。
[26:22.380] 磨好一点的稍微一般的咱都有。
[26:25.330] 包括隐形车衣咱们都有这边这儿做对吗？其实我们的价格现在外面价格都差不了多少，对，因为我们还得有日本。
[26:34.520] 然后所有施工都有保证，如果说真的是外边贴的膜引起来的问题的话，我们店也不能管您有客户是这样的。
[26:41.530] 他千对你便宜能大概七八千块钱，你快点。
[26:47.590] 现在
[26:50.140] 100万就是50万还是三点
[26:53.230] 的。
[26:55.500] 二号你怎么定的？
[27:04.050] 吃饭
[27:05.260] 谁知。
[27:07.720] 柴哥、
[27:09.390] 那个车在修复，你知道在哪吗？
[27:13.530] 新裤。
[27:14.930] 有限的。不是辛苦，我也没去过，你就告诉没在这边。
[27:21.770] 在另外一个库房。
[27:25.010] 二
[27:26.730] 五一不是他见过，之前展车就是那颜色看过。
[27:34.910] 在另外一个地方好。
[27:39.150] 三板是在高配的基础上，然后有不太啥是吧？发动机不一样是吧？您说他俩吗？
[27:48.760] 他们俩差了一个盲点监测，插了一个车道偏离或车道保持，然后还差了一个无钥匙进入，还差了一个还拍了个踏板。
[27:57.010] 你说用3年5年对发动机的功率主要就是发动机，其他还好。
[28:05.060] 你这样您说。
[28:07.270] 你去给我申请5000块钱，我就订5000块钱，您就是48,000给您是吗？
[28:12.550] 现在优惠43,000。
[28:14.950] 五。
[28:16.280] 对吧？在这个基础上减5000。
[28:19.690] 我就问您问，如果行我就定300，300是不是还得等着300，等不了太长时间。
[28:25.970] 7月15号生产的马上就到了，这个在你的优惠的基础上，你就是这个价在作用要什么颜色那是的。
[28:34.400] 严嵩的都是都有什么的，黑的棕的米的。
[28:37.530] 但是一般都全玄宗的，没有买选别的颜色的。
[28:40.680] 是中的，就是大众色这得贴你知道吗？对你就都买粽子吗？没有黑臭你黑那太压抑了。
[28:48.030] 对，我就给你累的棕，还有什么米的，你就浅色的不行都没卖过。
[28:56.520] 我给您我觉得5000块钱。
[28:59.080] 5000 8000不是他们不一样。
[29:02.490] 5000 8000都一样。
[29:04.430] 我给您申请不下来哥，您就不用再那什么了，就这车您全北京你找都没有说48,000这个价格。
[29:10.080] 我现在是给您优惠43,000姐，让我给您优惠5000，那就不就48,000了吗？
[29:17.120] 全北京都没这价格大哥真的。
[29:19.360] 5万我到不了，那您5万您就再看看走真的。
[29:23.390] 咱不开玩笑，真的咱别开玩笑，真的是到不了，因为什么？
[29:27.950] 您这样您看看您那个装置的话，您都需要什么，我一起给您。
[29:32.920] 张花，对，我叫夏夏东家登下都有。
[29:37.830] 外边买的，我是春晓，你在哪呢？
[29:42.610] 车上行，不车有，这是我也在前厅的，
[29:47.970] 谁知录音对季度也得装记录仪，咱都是奔驰车专用的跟进，外边装的都不一样，
[29:55.170] 我就想开着烟对吧？特别麻烦，而且你在走线什么的特别容易出现问题了。
[30:01.930] 前两天我们说过有空外边贴的膜就了，业还有小店，现在没有不对焦，就大包围脚垫，就矫健各位相见，
[30:10.710] 这是我们精品的经验，然后跟您说一下专业学长，
[30:13.820] 好好给您介绍一下咱们的模拟，自己选你怎么了解，然后面临东西
[30:19.110] 要
[30:47.220] 对，他这膜也分很多种。
[30:49.260] 威固的，然后我们还有雷迪，就是各种各样的，然后隐形车衣都有。
[30:54.080] 一会让他好好给你们介绍一下
[30:57.640] 了。
[31:07.060] 谁知
[31:12.160] 或者说
[31:19.610] 客户是。
[31:21.830] 不是，这两是我客户。
[31:24.040] 大哥你马上你看不见吗？我叫他过来会对吧？前台帮我开一个客流被二次元
[31:30.880] 你跟他说一下就行。
[31:32.340] 他就不去。
[31:34.230] 不用去看，对，他只是说怕搞错了，因为在那边已经被别人倒错过
[31:38.840] 了，前台前台能收到吗？
[31:42.980] 我把电话号发群里。
[32:05.400] 之前那个车
[32:06.560] 产生的价格都是原价是吧？不是那上面是优惠后的价格，对。
[32:31.570] 先结一个。
[32:36.290] 妈的李女士结了，要不的话这录音没法过两条。
[32:42.950] 在这边还得弄。
[32:44.920] 现在录的就是他先来的。
[32:51.800] 这两个几乎都能定。
[32:53.800] 就看你的彩格能不能上午完了，我觉得行，这个没问题，今天就来聊聊了解价格比较价格的，对。
[33:00.910] 他说。
[33:01.740] 确认有车咱们聊聊价格就行了。
[33:04.400] 所以我上次都把我忘，今天来了再给机会了。
[33:08.510] 这样
