[00:13.040] 开完了是吧？
[03:25.860] 不是他的指导价，那是他优惠完的指导价了。
[03:28.770] 咱对这车现在基本上能优惠到20
[03:32.300] 27万多。
[03:33.830] 裸车。
[03:34.960] 车落车。
[03:35.820] 我全部都办下来30不到30万，对。
[03:39.630] 应该不能单才27万多的。
[03:42.440] 你这个价位是优惠了，
[03:45.400] 没有任何参考性。
[03:47.170] 耗油。
[03:49.000] 油耗这上面一号特别好，我就看看我小孩不行。
[03:55.130] 不泡的话那6点多，
[03:57.270] 这点还挺审核，但是你还要结合实际使用，可能你要堵车什么的，油耗还会再到那什么
[04:04.180] 后期保养什么的，它是每1万公里或一年做一次，
[04:08.180] 这个车的保养费用的话基本上在800左右。
[04:11.150] 他差不多一般的国产车是5000公里，一次一次三四百块钱。
[04:15.540] 这一年就保险一他在1万公里保养一次相当于，所以那种最讨厌
[04:20.490] 提到国产车两次。
[04:22.810] 对，看你做什么用，你要是在市内上下班，这里是最经济最实惠的。
[04:29.790] 我让我在小孩买，
[04:30.960] 知道吗？
[04:32.680] 你要跑长途不行知道吧？多少东西不行知道吧？
[04:36.320] 你要上下班
[04:37.560] 在接小孩上学。
[04:39.640] 代步买菜这个东西特别就跑长途也一样，负气跑多远跑多快。
[04:45.270] 对，你要跑到100公里、120 180 120 140应该都没问题，这个吃完了。
[04:49.530] 你再往上跑就可以了，然后那个时候我其他的买卖。
[04:53.480] 您二位试试添购一辆吗？还是以旧换新呢？
[04:57.660] 中签的。
[04:59.050] 1000的，您那个是几月份？当时的年6月26号，对东西天空姓名，恭喜您现在。
[05:06.940] 这个是几万优惠，
[05:09.050] 优惠差不多4~4万左右。
[05:11.440] 贷款是这车的。
[05:13.980] 贷款方案是非常合适，
[05:15.840] 他几乎等同于无锡，首先他没有手续费，
[05:19.260] 它的利息非常低。
[05:22.120] 就跟没有一样，一会儿我会给您详细的算一下，行，咱坐下来算一下，对。
[05:27.490] 这边别的吃一点，咱一块一块一块的先看一下别的。
[05:32.600] 比他还要再大一点的SUV，
[05:35.200] 比他小的没有了，比较小没有了，46多少米？63对于他们也合适。
[05:41.470] 然后咱们这儿了，还有可能它的颜色有几款颜色？
[05:45.100] 颜色这个我也得一会拿电脑给你查一下的，一样有的。
[05:50.980] 什么时候出的？
[05:52.160] 这是今年新出的今年的新款了。
[05:57.810] 再大一点看看。
[05:59.460] Nana这事儿第二谁知
[06:04.990] 看上去好像没看到，但是实际上这车比他大。
[06:09.890] 黑颜色成交4米76。
[06:12.400] 临床的吗？还有。
[06:15.160] 就在窗口4.3.0是两厘米。
[06:18.300] 这是分着的，这不是他那个年纪很小，
[06:23.960] 平面不小，那个屏还小。
[06:28.260] 双10寸的
[06:29.810] 老师和我没感觉，我感觉这一弄这么想，横了以后觉得抢了
[06:36.630] 这车多少钱？
[06:38.520] 这车是39万4分，没办法。
[06:41.470] 这是哪里的？收到。
[06:48.970] 方便
[06:50.250] 他公众号办理业务。
[06:58.530] 动画是
[06:59.880] 394,800，
[07:01.570] 现在这车的话优惠完是354,800，
[07:05.810] 时间我说一下全部的话不到44万的。
[07:10.380] 对。
[07:16.090] 的
[07:25.030] 的
[07:30.310] 的
[07:31.480] 的
[07:37.520] 二
[07:43.990] 数据
[07:45.800] 场
[07:47.460] 场
[07:49.160] 场
[07:54.890] 花
[07:58.550] 的
[08:01.850] 场。
[08:07.510] 的
[08:12.170] 五
[08:13.680] 数据
[08:15.890] 坏数据。
[08:17.220] 数据。
[08:18.970] 场
[08:20.640] 整体要比要大。
[08:31.320] 五
[08:33.550] 大
[08:35.260] 车。
[08:38.440] 场
[08:39.790] 要
[08:42.310] 咱们这边找一个工位。
[09:01.860] 你说。
[09:02.880] 现在去卫生间了。
[09:17.090] 大
[09:18.610] 基本上。
[09:20.180] 行正常来讲打。
[09:25.180] 因为
[09:29.960] 数据处理的。
[09:39.210] 的
[09:40.900] 的
[09:53.490] 的
[09:54.760] 场。
[09:56.280] 点。
[10:04.850] 三。
[10:10.590] 了。
[10:14.360] 然后到。
[10:18.430] 就给您算算刚才的位置，
[10:21.610] 我们也可以直接
[10:23.100] 选择自己去其他的店里去。
[10:25.440] 去加东西，您可以直接去马家。
[10:28.400] 对有一点。
[10:29.870] 没有自保的。
[10:30.890] 对的，给您介绍一下咱们单位。
[10:33.380] 咱们话单的话是全国统一的话单标准，
[10:36.690] 全国统一的报价单模板，
[10:38.760] 下方的话有这个二维码，
[10:41.170] 可以扫描这个二维码进行在线的一个反馈。
[10:48.800] 然后您看的这款gl一二百它的指导价
[10:54.180] 交费的话是318,800。
[10:57.260] 他们三能给多少钱，当前RBM。
[11:02.090] 在这款车的话是优惠
[11:06.850] 47,000，就指导价的话优惠完是278,800，这个证明什么时候用？
[11:13.550] 我们这个职业被没错，然后您这个车辆的话不是置换的，是一个指标是吧？
[11:21.870] 的。
[11:23.180] 您除了交这车款以外的话，还有一个购置税，
[11:26.380] 影响美观，这车的购置税是24,672，不管淘宝中奖了，然后咱们现在买精品装饰的话，有一个套餐比较合适，
[11:35.600] 他是13,800的装饰，
[11:38.790] 一般是什么？包含全车贴膜、隐藏式记录仪、后备箱垫、脚垫，
[11:44.400] 套餐的话相当于白给您的，相当于送给您的，他是买13,800装饰，
[11:50.150] 送13,000的保险。
[11:53.720] 比如说您这保险正常投保的话，差不多就在13,000左右，基本上保险就全送了。
[11:59.010] 就送紧这一年是吧？就第一年没有了，我
[12:03.570] 我觉得。
[12:04.590] 然后咱们是北京牌是吧？对北京。
[12:07.560] 行，电力电车上牌的话是2500验收费，
[12:11.550] 也就是说您这车全款
[12:14.240] 购车的话都有哪些费用？有一个车款优惠完的278,800，
[12:19.790] 有一个购置税24,672，
[12:24.970] 再加一个13,800的装饰，但是送13,000的保险基本上保险就全送对兜兜底了。
[12:33.890] 然后还有一个2500的电车。
[12:37.450] 车辆项目。
[12:39.440] 319,772，
[12:42.290] 全部拿下。
[12:44.300] 这保险吗？没保险，保险我都给您基本上是剪掉的。
[12:50.750] 我给你算一下他这个车的分期。
[12:54.470] 首先一会先把机票给他放弃了，就算大刚才三了。
[13:00.450] 谢谢。
[13:16.370] 是不是要去赚别的车子？
[13:26.120] 的
[13:39.430] 你上哪了管理？
[13:45.970] 来。
[14:00.810] 峭壁。
[14:04.920] 对
[14:12.150] 278800. 
[14:17.010] 踏板装好200。
[14:27.080] 的。
[14:34.810] 对。
[14:36.230] 对
[14:39.980] 的。
[14:40.820] 远、
[14:42.560] 场。
[14:44.680] 场。
[14:49.190] 的。
[14:58.320] 2万多。
[15:06.260] 保险按照13,000给您的，
[15:08.810] 保险的话基本上全送。
[15:14.130] 车、市、
[15:17.040] 4万。
[15:18.000] 保险现13,000，
[15:19.710] 加起来应该是53,000。
[15:23.080] 综合的优惠应该是53,000。
[15:27.050] 前面
[15:32.450] 回答。
[15:35.310] 稍等。
[15:46.410] 我给你说一下他金融方案女士，
[15:50.110] 这款车的话我给您推荐一个方案，
[15:53.610] 是首富
[15:55.650] 50%
[15:57.300] 18 15万16万18期的这么一个方案，也就是一年半的方案。
[16:02.730] 他的方案具体表现为您的首付款应该是278,800的一半。
[16:08.080] 咱们的
[16:09.200] 首付是
[16:10.730] 139,400，
[16:12.870] 相当于也带一半139,400，
[16:16.230] 期限的话是18期一年半，
[16:19.540] 他每个月的月供是115块钱，
[16:23.080] 每个月才115，对，每个月
[16:27.060] 每个月115，然后咱们奔驰的话它是零手续费的，没有手续费。
[16:32.460] 也就是说您这18期每期的115就是您的总利息。
[16:37.960] 明白了吗？也就是说你的首付款。
[16:41.390] 是139,400，你的贷款是39,400是十八七以后一次性款就两头附这个车的车款，明白了吧？中间过渡是利息，一年半以后再付费，费尾款一次性交了就行，这样的话你贷款
[16:57.830] 我就交110 30块钱没错，也就是说这115×18就是您的车辆的利息，
[17:05.150] 115×18是2070，
[17:09.570] 我们也就是说您带这139,400，
[17:12.670] 1004
[17:13.700] 是20702070 2070就2000块钱，
[17:18.210] 也就是说您带着这139,400相当于待了14万，
[17:22.090] 免费给您用一年半，
[17:24.150] 我们收您2000块钱。
[17:26.960] 万对我们冲击2000块钱。
[17:29.520] 这个非常合适，因为你跟银行贷这个钱的话，根本就这利息就高去了，
[17:35.610] 对吗？的也很低了，非常低了，这个还是点它相当于隐形，因为它根植没有手续费，
[17:43.950] 收手续费你买除了奔驰以外的品牌都会收您手续费，
[17:49.070] 要不然就是固定比如收个4000块钱的手续费，3000块钱手续费，
[17:53.960] 要不然就是收取你贷款额的几个点，比如说你收3个点4个点，那也是好几千块钱百。
[18:00.490] 对北京不。
[18:02.940] 然后我觉得这个方案比较合适，您这样用这个方案的话，您的首付只需要准备一个。
[18:08.720] 139,400加上验车
[18:11.900] 购置税和4万块钱对我这个装饰。
[18:17.280] 没法贷，不是在贷款怎么创业，你只能带车的部分，
[18:21.720] 也就是139,400的首付款加上验车。
[18:26.540] 加上装饰13,800。
[18:29.160] 再加上购置税24,672，
[18:33.020] 您首付准备180,372才能提车了，
[18:37.030] 中间每个月就是115，
[18:38.980] 等18期以后再把尾款
[18:41.560] 一次性还给了。
[18:43.000] 综合对比全款价格来讲的话，就是多花这2000块钱，
[18:47.760] 非常合适。
[18:52.510] 你算的车收款是哪个的？
[18:56.400] 说
[18:58.980] 用这个型号的。
[19:01.850] 分级管理的。
[19:03.560] 他上面还有一个时尚型的。
[19:06.000] 把这几个颜色
[19:08.540] 你看一下这是2008。
[19:12.010] 这是1.3的。
[19:13.380] 那1.3的，对这是1.3的1.3。
[19:16.560] 对1~3G的。
[19:28.420] 经济性非常强。
[19:45.360] 颜色除了蓝色以外，还有白色、
[19:53.010] 灰色、黑色，
[19:57.150] 和
[19:58.790] 香槟金的颜色较好杀淫。
[20:02.960] 颜色还是比较多的。
[20:06.040] 把这个给我们。
[20:10.210] 我们再琢磨琢磨过来了。
[20:13.300] 的。
[20:25.110] 还有一个哑光色哑光的颜色也非常漂亮。
[20:28.440] 颜色多了。
[20:29.720] 会一样的。
[20:33.090] 的。
[20:35.630] 不是我们在这您在转谢谢没事。
[20:40.820] 稍等，还有几句话，
[20:43.310] 您这个车辆的话今天这个价格都了解了，都清楚了是吧？行，今天有一项定义下来吗？今天还没有，因为我们
[20:51.760] 刚开始赚。
[20:52.860] 您购车计划是想在大概几月份？
[20:57.080] 大概
[20:58.600] 春节之前。
[21:00.400] 他也没这么说，没有就想看合适了也许就买了，没合适，只是在等等就这样，因为他到明年的6月26号。
[21:09.710] 明白对，如果您是一个长期的
[21:13.940] 选择的计划，这个车子价格的话，他都会随时变。
[21:18.060] 对，也就是说咱们今天给您报的价格的话，仅限于这两天，对，仅限于这段时间，然后后续如果说您选完了，觉得这个是您最终要选的车型，
[21:28.810] 咱们具体再到您看的那个时候。
[21:33.040] 明白，对，今天给您做这个价格就是参考的车一般不会涨价，对。
[21:38.660] 它总归是越来越便宜的，对，不会说越来越贵。
[21:41.840] 对，所以因为现在也有车开，也不是说非得急着要这车，就先转转，对，刚才也是刚开始没问题，你不是有我名片吗？对。
[21:50.470] 回头到时候有需要或者说是看这款或者说是看奔驰其他的款，您都给我打电话，
[21:55.480] 自己这张条子就随便写就行了，我给你了，因为您要导致
[22:01.230] 我送那叫什么行行。
[22:04.560] 你需要来说联系好了，不着急，今天先这样。
[22:09.130] 着急，您看以上还有需要给你提供什么其他的服务吗？
[22:12.720] 没有，我们都等着了，暂时不需要了是吧？好了拽好来。
[22:17.190] 你说的是这很快的。
[22:19.430] 对3183这三种。
[22:22.240] 他们打的多少钱呢？
[22:24.020] 他这个180是什么意思？
[22:26.080] 180就是他的dk，
[22:27.910] 但是这款的话还是一个7座，
[22:31.170] 这车买5块的动感就开始就说，而且他是什么1.3T的，
[22:37.940] 1.3G的这车，就像您刚才不是边上还有一个其他的客户，他给你介绍这个车的话，他看中这个车的点其实在于车辆的一个经济性价值观，
[22:48.550] 也就是说你使用这个车的成本非常低，不管是后期的养护，还是在使用过程中的这些燃油的
[22:54.690] 这些费用都是极低的。
[22:57.120] 满足的车辆使用这个途径的话，大多数场景以市区为主，上下班
[23:02.990] 待或被动孩子逛个超市买个东西，然后开远道的话开长途的话，它车辆的动力不如这些像传统的大排量的这种，
[23:12.910] 比如说这种冲劲那么足。
[23:14.560] 对，所以说你买这个车的话，一定要把这些东西都想透了，想清楚了，对这些东西这车我怎么用？
[23:20.900] 这是最关键最需要的那个点，对，如果是年轻人的话，可能更喜欢更排量更大的，对。
[23:26.850] 这款车反而是家用车，
[23:30.620] 像这个钱然后基本上出概出时间也不会没错，首先的话品牌价值也有了对吧？奔驰对吧？然后也不交也变垫子上有了，对经济实惠上也满足了，没错，所以说买车就自己而言处方对
[23:46.250] 什么后期保养。
[23:48.880] 对关心人后期保养不要太贵，每一年或1万公里做一次，小宝一次的话大概800块钱有送吗？
[23:55.710] 这车没有算，对，就送第一年的保险费，没准您到时候真正说考虑这车的时候，可能是四季度没准他40左右其他的政策，这里有1.5T的吗？
[24:09.070] 没有，车的唯一材料就是1.3，对，而且这个是的话我特别建议您什么，
[24:15.110] 如果说您
[24:16.320] 所有东西都考虑完了，有点觉得动力有点觉得有点低的时候，我邀请您过来试驾一下，您真正去开一下这个车，因为开跟自己感觉是两码事，这个车您是练完了以后，
[24:29.730] 如果刚才咱们从始终都没有跟您说这个车船排量的时候，
[24:33.390] 您会认为这个车是1.82.0的，因为这个车的动力特别好，
[24:37.730] 这车在开不再咱们凭想象说这车动力应该是一个什么样的，那些都是一些概念的东西，
[24:44.260] 不像是您真正开了以后。
[24:46.480] 因为好多客户最终跟您考虑的可能都觉得这车辆排量是不是有点小，但是都是通过试驾完了以后最终决定购买了。
[24:53.810] 好了好，谢谢好不聊了。
[24:56.550] 看看为
[24:58.350] 你好。
[24:59.640] 您是在哪儿呢？
[25:02.480] 我知道我就在这前台门口这。
[25:08.590] 这工具看来您进站厅里了吗？
[25:11.720] 差不多让咱就用击破这个。
[25:15.430] 对，介绍了很多。
[25:18.680] 您会
[25:29.380] 他自己的质量花20万，
[25:31.660] 一共结婚过了，花会计你意思我说您比市场行情高，
[25:39.150] 也不用了焦虑，
[25:40.720] 这也是我一客户。
[25:42.600] 我先赶紧问问他怎么着。
[25:46.010] 接完赶紧完事。
[25:48.320] 完了我就
[25:49.420] 应该去喝一个深夜再下来。
[25:51.640] 不是不知道了。
[25:53.750] 这次我接着您客户了，完了我客户说办不了了，
[26:01.150] 没有带着，客户还挺准。
[26:04.150] 有钱马上过来。
[26:05.800] 刚打完电话马上原来
[26:07.840] 做工谁知
[26:09.070] 说我去掉，这是失控的一个二次。
[26:13.950] 然后我也看一看。
[26:16.200] 这太多了。
[26:18.650] 然后我也看一看心痛了，二次不算要有数，对，因为我没报邀约。
[26:24.960] 85。
