[00:00.000] 月4号加上现在熊先生
[06:57.200] 在我们的黑科技智能浴缸，
[07:00.310] 好多大材料的车载智能机，刚大家知道他是用手的这种地方，
[07:05.360] 所以说油耗里
[07:08.660] 颜色的话理论上有很多，但是不会有那么读者托，您是想什么时候开始和大家其中？
[07:15.510] 原本我
[07:18.590] 这个的话还得按当时的
[07:21.300] 这个颜色变化可能也得都比较大好。
[07:25.640] 其实您要是购车的话，压在运行期间，购车实际上性价比
[07:29.460] 会更高。
[07:30.510] 一般在年底下半年做出明年的情况，
[07:34.200] 反而价格会
[07:35.420] 会贵一些。
[07:36.880] 车辆给您介绍一下。
[07:40.250] 首先这款车型在安全性上不打折，当然收到是家用，
[07:44.580] 所以安全可能会比较在意，
[07:46.330] 主动式自动辅助。
[07:48.040] 当咱们快速接近前车，仪表盘上会有提示，
[07:51.250] 如果您没有措施的话，它会有声音报警，
[07:54.020] 如果还没有措施，他会帮咱们刹车，
[07:56.530] 可以减小甚至避免碰撞发生大大，提升驾驶程度的安全性。
[08:01.310] 你像我自己哥们在我这买的sale，
[08:04.180] 玩手机的时候给他刹车刹停的，
[08:07.230] 确实还是很好的一个IP配置。
[08:11.070] 这功能原来了解过吗？
[08:13.600] 很实用，然后还有一个特别好的功能是一种
[08:17.630] 这种网200克一袋
[08:19.420] 智能泊车，
[08:20.800] 当然吗？
[08:22.310] 北京的停车环境问题倒不是太好，
[08:25.030] 他横竖车位都可以进行扫描，
[08:28.490] 大大提升咱们驾驶乘坐的一个
[08:31.160] 方便程度以及安全性，相当于雇一司机给他干成这活。
[08:36.230] 尤其是女士
[08:37.750] 特别的喜欢
[08:39.550] 算命要给我们介绍一下，其实
[08:46.880] 从这坐里面感受一下，
[08:49.240] 它整个的内饰也是他第二第三项的一大亮点了。
[08:53.970] 他的屏幕不像咱们一级说S怎么样的人体疯狂，所以整个看起来的数据很重要，而幸福度很高，
[09:02.070] 包括它的这种双重现在符合
[09:04.670] 用料做工都是非常强的。
[09:07.710] 在你要看过他，因为跟他一起的话可能
[09:11.480] 还是有比较大的差别，
[09:13.060] 包括后台能
[09:15.170] 也是非常大的能量。
[09:18.720] 谈的空间，而且它的后排座椅可调，
[09:23.480] 很多高价位的SUV，后排座椅都是固定的，
[09:27.080] 但是bl B是可调的，
[09:29.490] 这款车确实是用心的，
[09:32.800] 而且他的货开作用
[09:34.850] 有一个很好的人性化设计。
[09:36.900] 第二还是对你这种
[09:38.950] 咱们原来都是家里自己玩，后排乘客都上是要
[09:42.720] 不是说他想不一样。
[09:44.320] 对他视线技术为你们看不见，
[09:46.630] 但是这款车型的话，后台能保证你平台
[09:50.580] 一样的设计，
[09:51.880] 是不是长得更好的压力？
[09:54.760] 他一个特别好的功能就是梅赛德斯E
[09:58.140] 在前面
[10:00.020] 头顶的位置
[10:01.730] 有一个SOS高端路线，
[10:04.550] 构建，这是一站式交互平台，
[10:07.270] 车辆的所有问题都可以帮你解决。
[10:09.560] 打比方说特殊问题，咱不知道找谁了，
[10:12.200] 原来这个不知道找谁，现在就联系她，回到咱们解决方案，
[10:16.380] 甚至各类资源
[10:17.970] 大大提升价值的电动车安全，
[10:20.760] 跟您的手机可以下载注册，
[10:22.650] 远程的结果，甚至火车晚什么情况都怎么样，
[10:26.880] 这功能觉得怎么样？
[10:29.030] 特地上来看200车型的话就在电动游乐场，
[10:35.770] 电动调节作用180是没有，
[10:38.470] 空间是非常好的。
[10:40.140] 而且他第二
[10:42.270] 挡板
[10:43.940] 角度是可调的，
[10:48.560] 你做的事放在
[10:50.000] 空间可以做点，
[10:52.350] 下面这隐藏的水之间可以放一点，不想外人所建的私密性，
[10:58.960] 这款车的性价比真的是非常高，
[11:03.690] 而且现在运行期间路费幅度也比较大，
[11:06.510] 的话你又是4万多将近5万。
[11:08.990] 感觉可能下半年上新款
[11:11.160] 没这么说。
[11:11.980] 你像那天听说这两天时间这么多人了，电瓶车也是很
[11:16.840] 车辆还有什么有疑问的吗？
[11:20.080] 其他没有，车上还觉得满意吗？还可以，我在这试驾下去表现一下。
[11:27.210] 您的驾照。
[11:28.470] 但是这样的话
[11:32.650] 避免双方在
[11:37.240] 远
[11:38.890] 的。
[11:41.310] 的
[12:02.190] 时间真的不够。
[12:06.170] 都知道。
[12:38.310] DL。
[12:38.900] B在吗？
[12:41.060] 的。
[12:45.220] 好了，让那哥们帮我留一下，我让他加上。
[13:16.190] 您驾照
[13:17.280] 给你半天，首先
[13:19.660] 刚好咱们有事完了才能进入市场。
[13:28.530] 单位您刚才说您看新手的几分钟就都走了，不一样。
[13:57.760] 我试一下。
[14:00.480] 你价格
[14:01.610] 还有。
[14:02.620] 一炮两响。
[14:06.320] 那一抱俩傻的就是你说没有利润的，
[14:12.890] 你必须
[14:19.640] 这玩意没法弄。
[14:23.880] 没利润。
[14:25.340] 等我上个月我就开心了。
[14:28.260] 是吧？对。
[14:39.440] 这世间走一那边
[14:42.610] 往人间走一圈。
[14:45.980] 了。
[14:46.800] 今年21。
[14:53.630] 老家
[14:54.910] 你说年底买，你冒着大一穷得出来看车，我在人家什么风吗？
[15:01.650] 这个也是一样的，你不买你就别买了。
[15:14.200] 清楚。
[15:22.950] 的。
[17:08.840] 买
[17:13.460] 一下
[17:15.240] 远
[17:20.490] 远。
[17:25.360] 打包回来的时候还能跑去，
[17:30.140] 应该现在也还够。
[17:32.600] 不加也够。
[17:33.970] 对说够水平也高。
[17:42.160] 用击鼓传花的感觉到谁手里面没有想别的？
[17:47.770] 啥意思？
[17:50.120] 挺刺激的，你甭管这是大人小孩是哪个刺激击鼓传花，
[17:58.050] 都有童年。
[17:59.860] 你说他一个泡起来，
[18:01.570] 咱们把这大棚等到晚上角度，
[18:11.710] 今年C×C还能东软熙宁，
[18:17.530] 你说这基本年底买车的大衣什么的，跑出来看看为啥？
[18:21.810] 了。
[18:24.340] 我真他们理解不了，或者是父母
[18:28.140] 都是咱们的衣服父母
[18:31.140] 的
[18:34.000] 好多。
[19:25.650] 你好朱先生。
[19:27.920] 你好，把这刚了，刚才你
[19:32.770] 到后来这完了还要计算您的。
[19:37.580] 行，完了咱前台签字。
[19:40.050] 我看上你了，前台
[19:45.860] 的
[19:50.660] 谁知
[19:51.720] 好，
[19:56.600] 我这边的都交下载好了，然后您说一下，先试乘后市价按章行驶，如果事故发生，对方责任对方赔偿，
[20:07.480] 连带责任需要您进行赔偿了，阅读好试驾协议下面签名，
[20:12.210] 然后至少需要咱们签个名。
[20:14.340] 试驾路线，从定慧北桥到四季青桥这块全部签名。
[20:19.310] 我先给您做讲解。
[20:23.470] 咱注意安全就好。
[20:27.480] 您拿瓶水吗？
[20:31.220] 稍等谁知
[20:34.330] 了。
[20:43.760] 怎么换人了呢？
[20:47.160] 欢迎。
[20:56.490] 咱这边请来。
[21:15.380] 单在您门口稍等，我去把车给您开过来接进来。
[21:31.580] 我不用我焦虑。
[22:31.910] 二位不是假吗？
[22:33.660] 可以了。
[22:36.360] 等等。
[22:39.520] 为什么可能吗？他说他很喜欢的人小号多以起泡安全带，
[22:44.930] 让你看着很开心，很对这款车有什么想了解或者关注到我们中间行是吗？
[22:52.090] 什么的？
[22:53.560] 两个什么说什么吗？
[22:55.400] 因为我们通常用客户，有时候咱不是坐车也不好说什么，我针对车辆的安全舒适驾驶给您讲解，
[23:03.590] 有什么想了解不清楚的，您随时问我好吧？
[23:07.190] 看
[23:08.500] 不熟悉你可以再往后其实空间还是非常大，
[23:12.940] 不考虑黄白的。
[23:15.480] 在这我刚才看到
[23:19.030] 200的时尚副驾驶是手动的主驾驶，
[23:24.310] 做一行的你可以往后拉做一个坐垫调节。
[23:32.760] 第一项给您介绍一个非常好的亮点，就是的智能泊车
[23:36.720] 时速低于30公里，在这有一个自动泊车的案件，
[23:40.940] 它可以搜索横向与纵向的车位，原来给人介绍，
[23:45.910] 有了车位以后它会有提示。
[23:48.700] 你看打比方说现在这车位
[23:50.900] 已经有了，
[23:51.920] 咱方向盘上按一下确认，如果条件允许会让咱们选择田径还是后背？
[23:57.160] 咱们一般选hot威化岛水晶线变成绿色发挥饱满的开始。
[24:02.980] 但左边这360米巷是选装的，阿原车不
[24:08.040] 都是由他反正看您是老司机了，可能用不到。
[24:14.670] 很多女士可能车杆如果说没那么好的话，这个功能还是很实用。
[24:22.840] 对
[24:26.920] 都是由他来了。
[24:28.960] 你像车位说实在的，
[24:32.470] 比较小，
[24:34.880] 一般的话咱们自己停车位不太会选。
[24:41.080] 对。
[24:43.600] 在调整。
[24:45.280] 因为
[24:49.810] 强迫症必须得也挺好。
[24:53.640] 咱们原来很多客户也听说过智能泊车或者是自动泊车，
[24:59.790] 咱为什么大家都不用？
[25:01.540] 多数都是半自动，
[25:03.020] 还需要咱们过多的操作，
[25:05.250] 而这款的话是真正由他来完成的。
[25:09.000] 您感觉怎么样？
[25:11.480] 她恒是否可以，您有时候车位您给您演示，不知道这个车位也是相对说
[25:17.980] 比较小的，好多客户说我开出去飞机怎么办？他还可以只能使出
[25:24.410] 按一下确认操作键是一样的，
[25:27.040] 方向盘上按一下确认，根据他的请示启动危机线变成绿色开始帮他们。
[25:32.850] 他开的时候他们就有点意思，
[25:34.900] 手上带点方向，为什么？因为他接触会比较快，
[25:39.350] 会有一个声音提示，
[25:41.440] 加上一个互相的报警，你
[25:45.080] 这时候咱们的手动介入了，
[25:47.880] 及时踩刹车控制了，
[25:50.030] 就帮他们拍出来了。
[25:51.940] 这个你觉得怎么样可以吗？
[25:55.890] 他说这款交易性价比是非常高的，
[26:01.140] 但是价位很吸引人，
[26:03.870] 也很高兴。
[26:05.690] 如果像这款的话，您办下来可能烧30多点30
[26:12.060] 32左右判断。
[26:17.720] 报废的一个包括整个200时尚，
[26:21.840] 因为现在这一行期间确实打折力度比较大，
[26:26.550] 但是对于各方汽车各行业都一样，现在但凡手里有货的，
[26:32.780] 都想给它变现，不在钱了。
[26:36.470] 就这一行咱也不知道什么时候干什么，
[26:40.790] 和大哥开玩笑的说，
[26:43.080] 我们是活命，
[26:44.620] 你们是和米饭。
[26:46.260] 还真是的。
[26:57.080] 还有一个特别好的亮点，
[27:00.300] 它的智能语音。
[27:02.160] 你好文陈。
[27:03.990] 你好。
[27:05.510] 有什么可以帮您。
[27:07.160] 打开遮阳帘，
[27:11.470] 好的，
[27:12.480] 我来打开遮阳帘，
[27:14.520] 通过语音都可以控制。
[27:17.590] 原来咱们都知道北京路况死，
[27:20.360] 有的时候可能D口找一个案件一开头，
[27:22.800] 即使没撞上也吓一跳，
[27:25.040] 有了这功能以后，咱们就不用再分神了。
[27:28.620] 你好奔驰。
[27:30.080] 你好。
[27:31.170] 有什么可以帮您
[27:32.890] 导航到西单大学城，
[27:42.370] 你看这就来了。
[27:45.150] 计算路径着
[27:46.740] 又开始了。
[27:47.580] 这个是不是更安全也更方便了。
[27:51.660] 那么这款的性价比确实很高的，
[27:55.320] 给你加个速感受一下是吧？
[27:58.250] 发动机也是他第三项的一个亮点，
[28:03.580] 这栋里你觉得还可以吗？
[28:09.110] 当然其实算不上多优秀，只不过说像排量有动力是非常强的了，
[28:16.120] 它的升功率能达到90，
[28:19.180] 而且刚才给您介绍油耗，激励你实际使用的话，
[28:24.990] 油耗也就是在流动，
[28:29.030] 对。
[28:31.400] 这款车的性价比高，
[28:35.580] 而且是线还是很不错，
[28:37.460] 标准的SUV设计作图也比较高，您长时间看不会觉得压抑，
[28:43.630] 他换天感受一下，注意后方车辆
[29:14.850] 看一下的。
[29:16.500] 合适。
[29:18.110] 另外做一些发生盘，着急让你知道
[29:21.480] 需要
[29:22.590] 基本操作都是一样的，一键启动动空调这种宣传。
[29:27.160] 你像现在这空调开的是打的，
[29:29.380] 但是动力的话不受影响的，
[29:31.520] 动力还是很充沛的。
[29:33.750] 然后原来用的本质车型了，您元有没有病吗？其实更方便。
[29:39.100] 以前的车手拜倒在
[29:41.350] 想乖乖到那咔咔，
[29:43.480] 他只是在
[29:45.200] 要盘上会有档位显示，您跟手指向下拨一下。
[29:50.180] 低档青岛了，
[29:52.220] 虽然向上爬着的，
[29:55.220] 而倒车挡同时影响显示，
[29:58.100] 以前咱想挂P挡这时间忒头上安装安全，
[30:02.800] 这轻轻一按就行了。
[30:05.330] 我回来了。
[30:06.740] 这是咱们手排挡旁边太多了，而且你双手离开方向盘可以控制整个车辆。
[30:13.350] 还有特别好的就是他们做一条街在木板上，
[30:17.020] 为什么设计在哪？
[30:18.550] 像以前在那坐垫的侧面，
[30:20.780] 在昨天的侧面
[30:22.430] 很窄，但调节起来很不方便，看不见。
[30:26.060] 有的时候侧面踢得还挺脏，你不能一手灰，但这样的话您就避免了
[30:31.050] 大大提升价值，更多的安全性就是
[30:33.600] 变电箱
[30:37.310] 那么调节范围很大，
[30:40.510] 没问题，咱挂上动车，
[30:42.440] 走了。
[30:43.720] 号码。
[30:45.540] 咱顺着辅路开到前门厨房掉头，
[31:11.090] 这边服装销售。
[31:12.120] 谁知
[31:18.760] 刚才
[31:28.350] 了的话，
[31:31.120] 不要说这个我不用
[31:37.090] 他开车我
[31:38.060] 我投80我就
[31:39.990] 远
[31:44.810] 要
[31:47.990] 远。
[31:50.750] 远场
[31:54.680] 觉得还可以
[31:58.360] 的，太好了，太现实。
[32:01.870] 但是还是有点稍微的
[32:05.230] 的
[32:09.270] 快点选S号。
[32:14.840] 如果真的选了
[32:16.880] 特别强的那种
[32:18.600] 这种
[32:20.190] 性价比综合看空间，
[32:25.360] 要
[32:29.980] 场
[32:32.150] 场、
[32:34.390] 坏
[32:38.080] 场
[33:21.280] 现在
[33:25.550] 的
[33:29.440] 茜没有可以的。
[33:40.930] 可以连着好几个数据。
[33:43.080] 没有发生的事儿
[33:48.600] 多少？
[33:52.000] 谁知
[34:01.650] 编剧、
[34:20.010] 好像
[34:20.980] 好，那时候你说的每条
[34:22.960] 我说可能刚才什么现在
[34:25.500] 看完了百比较低送礼了，谁知的肉是不是我也是那么个理儿，
[34:33.630] 他买的车就是非常想带孩子，因为人家开着大排量的车他也愿意，
[34:39.630] 包括停车也不方便，咱们在媳妇假如买一个小小的
[34:44.140] 常用，天天跟他生活，
[34:47.230] 但后来发现以后他肯定还是比较合适，他就是想放开创业来工作，
[34:55.140] 这东西也不对，还得根据实际空间小排量这个东西我算是比较好的，还有吗？看这块。
[35:04.990] 所以
[35:06.460] 咱们这一块在感觉时间特别好的设计就是本质超小的转身，
[35:12.000] 而且像您置换还是自己的指标，你可以享受我们自己厂家的产品
[35:18.190] 生意的另外一个
[35:20.820] 您看过过也
[35:24.560] 好多客户想做，但是北京到了行都做不了。
[35:28.510] 相当今天花时间去的，
[35:31.540] 然后围观。
[35:34.840] 一会咱们医院的话站在今天还好的是你的超销售干净。
[35:40.360] 火车他们看到怎么销售东西帮我看一下，但是的话
[35:46.720] 对他印象非常好的设计到直接转向起来。
[35:51.040] 当咱们低速打搅的终端的时候，
[35:54.300] 转向角度特别的大，
[35:56.510] 一会咱们感受一下。
[36:02.640] 的
[36:08.980] 这款车应该自动的
[36:12.580] 最关注的四中差不多在一点
[36:16.300] 1.4要卡通的
[36:19.680] OK的，
[36:22.200] 然后也丢了。
[36:36.710] 香油、
[36:38.040] 香油七百七八百公里差不多。
[36:54.080] 超级当兵到2020年3月15号发行专辑，这个叫做三九点半，因为他的专辑中39分28分钟出现的。
[37:05.070] Y都知道巴黎今年到目前为止
[37:08.830] 没有参加过任何的探讨一下，
[37:11.300] 迎接二为污染死，
[37:13.970] 一块执行小花你感动
[37:17.620] 一样的感觉。
[37:19.850] 脾气我早就开始没事打扮吗？
[37:23.900] 好多客户说感觉在休息不要。
[37:26.120] 行，有感觉了。
[37:29.280] 您好。
[37:31.770] 为什么好多开放支票还
[37:34.350] 他的岗位可以调节
[37:36.730] 超小的转感情，包括它的价值
[37:39.180] 真的非常大，在便捷这个环节，
[37:48.040] 没事就行是吧？
[37:51.860] 然后停车的时候直接按一下这就行了。
[37:54.980] 不用像原来似的看干嘛调到P档了，
[37:59.450] 感觉怎么样？
[38:01.400] 可以了。
[38:36.730] 快。
[38:37.900] 一
[39:43.060] 完了
[39:44.260] 远
[39:51.240] 来
[39:54.690] 数据。
[40:53.080] 不锈钢
[40:55.180] 打。
[40:56.630] 我看一下特别麻烦了。
[41:05.360] 其他。
[41:12.200] 说。
[41:13.500] 了解一下价格，
[41:15.690] 给大家看一下。
[41:20.930] 可能
[41:22.400] 单子。
[41:28.080] 优化了一下，没有的话现在都是零情况。
[41:31.970] 没有区别
[41:39.010] 了。
[42:13.230] 先生，
[42:14.280] 你要觉得满意的话，可以给您找个电脑，查一下什么库存。
[42:18.590] 您看看今天
[42:20.710] 今天
[42:22.700] 还
[42:24.620] 还有其他的车，对，还是等到对地上是吧？
[42:29.480] 没问题。
[42:31.620] 别的地方我再给您介绍一下什么吗？
[42:35.410] 其他的不需要了。
[42:36.880] 不需要了。
[42:38.680] 您谢谢您，没事客气，如果有什么需要，到时候咱们再联系好吧？明天我们这需要给您做一回访，您看您什么时候方便，
[42:47.240] 帮不了您一两分钟。
[42:49.020] 没事，你就是随时打等等，好您休息，感谢您来电，您歇会儿回家回见。
[43:09.380] 就3点。
[43:10.500] 好，来。
[43:13.100] 我先把这个给结了。
[43:18.000] 了。
[43:19.780] 你好，你刚才给我安排销售，然后
[43:26.370] 询问的不是特别详细，您再帮我办一个人。
[43:31.400] 行，那尾号多少用5685。
[43:36.070] 568的水龙头。
[43:38.210] 没事你换换销售，客户说要做销售，你直接把我这呆着了。
[43:42.920] 你吃
[43:45.400] 另外给您安排，另外有什么入口，
[43:48.770] 老同志们直接包括我们一些伤口，
[43:51.700] 不用
[43:52.670] 我询问的这些价格一些，因为我是肯定要买车的，所以我得到是一些很肯定的回复，
[43:58.970] 而不是他们接受范围。
[44:53.280] 这帮人真的觉得戴口罩是他们万能的吗？
[44:56.280] 可能真的是知道的，没有。
