[00:00.070] 张女士不考虑交B
[05:29.510] 一对你交易这种街上见到也走了。
[05:34.590] 一样的，
[05:36.420] 不能。
[05:38.290] 对你这样一家一样，街上见的也少，他卖的少，市场保有量小的时候，这件的稍微贵。
[05:45.170] 对，这个都差不多。
[05:47.380] 这车要便宜一些。
[05:49.190] 那是20多万。
[05:50.750] 这是A系列的。
[05:53.210] 他们说这一系列的政策不是C系的，叫C牌的排队，那不是ct不是C系列，对您可以到前台给您跟销售，我说对不好意思。
[06:06.500] 所起的红色百分
[06:08.940] 说
[06:09.760] 这个也卖了没卖那就不用交，谁知
[06:22.760] 侧重哪方面动力如何中文接受，反正plc
[06:26.820] 甚至动力更好一些，配置上舒适性上确实都是上一等级，
[06:32.910] 都整个要高一些，
[06:34.820] 各方面舒适性都要好一些。
[06:37.700] 而且这种其实防范
[06:40.440] 这个是单独的，可以不具备。
[06:43.080] 我们除了咱们几个咱们9台车，
[06:46.430] 咱们来了之后都干了。
[06:48.410] 不是这车什么抽检错，就是这车我们这里三年后这车前后保险杠都开展
[06:55.040] 不超过，然后本身也不留什么，不是抽检环保，
[07:00.640] 国家会测北京奔驰你的车的实际环保达标情况，
[07:05.600] 但是为了防止你作弊，他会在经销商那
[07:08.990] 每个店里抽起来车，每个店抽起来车，然后配合厂家去做环保检测。
[07:14.320] 但是拆装的话都是咱们
[07:17.230] 咱们提供不同方向，
[07:19.040] 可能需要拆拆，有的拆的多一点，开点前后保险杠了，
[07:24.400] 有的甚至都没动着什么水也什么
[07:28.690] 用水给放坏，
[07:30.950] 反正都是抽检车辆这种车型，第一是厂家本身给我们进行了补充，我们也单独幽会了。
[07:37.400] 但是这车子最终实际情况我们也都会给你签个合同。
[07:41.090] 他在网上不是说这车优惠现在666万，
[07:45.000] 这都是44,000
[07:46.870] 分公司都在4万5万，
[07:50.920] 你想这4辆撞开零标才标56,000，
[07:54.530] 你想标杆这都是在市场价，你基本上找不到的价格，
[07:58.550] 对吧？
[07:59.920] 要不他这么标牌吓一跳，5,656,000常规都已经完成。
[08:06.830] 那个位置它都是二三四百
[08:10.470] 盯着高配的跟dk的，然后两个都在用，你想他这里外你都一共1万多块，
[08:17.430] 其实对于咱用车来说没什么，
[08:19.730] 然后把它拆一下装上去了。
[08:21.940] 没了。
[08:23.670] 又没有换过什么件，
[08:25.550] 而且也是商品上正常保证。
[08:28.420] 生产日期其实按咱奔驰算，早已按别的品牌都算到3月份，说他在7月份
[08:34.100] 他才4个月，
[08:35.910] 但是咱们现在来的正常的新车可能差不多都是到快40的或者
[08:40.790] 5月份去年6月份，
[08:43.140] 还有3月份的时候，时间早这车才回来，
[08:46.700] 总共这几台车上个月少。
[08:49.040] 行了。
[08:50.060] 都是直接拖走了。
[08:55.000] 那天。
[08:55.790] 对上了
[08:58.950] 大山到安静一个。
[09:01.770] 每天都是两头牛车上回来的，江西到
[09:06.940] 3天5天就会垫一下，然后我放了。
[09:11.450] 要不你老搁着一个车来来回回，
[09:14.460] 这车队这就没法卖了。
[09:18.810] 而且那么多展示，你不可能每个展厅给我再多一个消息，
[09:22.680] 隔三差五就换，
[09:25.540] 我说这个事是没办法，
[09:30.720] 最好
[09:33.220] 书中总结还是想要
[09:36.200] 小孩月他看看找几个产业，我找了一个月眼睛，然后
[09:42.790] 像下午那么久社会30 50万的都可以。
[09:51.250] 他交易了，交易点评交易还是各方面都在。
[09:59.330] 对。
[10:01.230] 这个的就是
[10:07.640] 到这个级别，我觉得空间舒适性什么状况也都已经没的说了。
[10:12.710] 3.0了，对。
[10:14.280] 这是个450。
[10:16.680] 80多万。
[10:20.840] 90左右。
[10:26.580] 都是4个盆。
[10:36.680] 的
[10:59.640] 我觉得
[11:05.180] 各种加起来
[11:12.310] 各方面都没用，算是比较
[11:21.790] 用料做工。
[11:23.700] 做什么东西？
[11:25.390] 玻璃的吗？不是。
[11:28.420] 从交易开始。
[11:30.480] 都用银色干的，但是如果是核心支撑的话，但是
[11:35.480] 以前只要颜色
[11:39.260] 标记都是绿色的概念。
[11:58.200] 展开的。
[11:59.100] 真的没办法。
[12:00.790] 3万5万6万。
[12:13.770] 90个人发了这些
[12:16.460] 有时候
[12:25.790] 便宜350系列4。
[12:33.730] 三
[12:36.270] 二
[12:39.240] 6
[12:41.530] 350。
[12:45.040] 基本上
[12:51.970] 号
[12:55.690] 的
[12:57.510] 的
[12:59.700] F35，价格4万了35,000，
[13:09.920] 然后了
[13:13.740] 来
[13:14.520] 它是这款是834,800，
[13:17.800] 正常的话我们是实际上公司零售价高出2万，但是像这台白车的话，
[13:23.930] 应该基本上都评价。
[13:25.830] 我看半天的话差不多。
[13:28.170] 三。
[13:30.210] 可以了。
[13:30.980] 谁知的话可能持续受益的，谁知
[13:37.710] 你办了
[13:39.640] 谁知
[13:42.810] 四是我们实际卖价的
[13:46.950] 由于厂房造价高，三特别是
[13:49.580] 用这么快，
[13:51.900] 最大那个是。
[13:54.150] 对这世界上最大的都没有，但心里很
[14:00.410] 剩下的什么都没有将就。
[14:04.950] 整个越大
[14:13.440] 的
[14:20.140] 6
[14:22.790] 三。
[14:24.610] 就只有薄的
[14:30.670] 运动
[14:32.360] 的。
[14:34.080] 的
[14:36.030] 的
[14:38.760] 蒙古下来。
[14:40.420] 海洋的这种原来就在这边车这款远程的
[14:51.880] 的
[15:19.760] VFP系列，I系列的看法，
[15:23.960] 高性能版本，
[15:29.190] 它的动力要求不高。
[15:31.370] 其实
[15:35.480] 拍得这么贵的也不
[15:39.510] 主要是接送孩子上学。
[15:41.220] 买大件不太大，条件车大了就自然拐弯抹角，
[15:47.920] 就这么
[15:51.630] 也花了。
[15:52.950] 要根据
[15:55.930] 你还修了完了之后，
[16:02.170] 这是怎么了？
[16:03.610] 对，千万基本上3200多块。
[16:09.300] 这车挺棒的不错。
[16:14.170] C反正一
[16:23.560] 照片也行教授。
[16:26.680] 睡觉
[16:28.160] 的。
[16:29.730] 大家都是其他东西叫两个东西，
[16:32.630] 看哪个教室
[16:34.210] 或者交际研究。
[16:38.680] 因为车这东西说是完全是需求，
[16:41.930] 专业完全的需求，你要说纯粹比好坏，
[16:45.680] 其实我后来买3000块有点过分了，不吃坏了不
[16:58.080] 弄的也不多，胁从犯感觉
[17:00.430] 不合适，
[17:01.950] 卖了自己前进。
[17:03.410] 来了
[17:10.350] 二年。
[17:15.320] 谁知
[17:20.790] 犹豫
[17:24.210] 由也好想
[17:26.650] 好。
[17:28.210] 所以这也挺好。
[17:29.640] 这就是说哪位老板的时候
[17:33.700] 提供了
[17:34.400] 有黑白的黑怎么白了？
[17:37.730] 谁知
[17:38.540] 用秘密的吗？
[17:40.010] 没有米白费，这车基本上都是黑内或者是疯子
[17:46.950] 的。
[17:49.240] 夜晚实在不行，有10个小朋友购买，
[17:56.930] 这块比重增加，
[18:00.560] 它的动力也是那种
[18:02.240] 种比较亮的人和生活方式，看过不一样。
[18:06.670] 对，这个颜色。
[18:08.480] 这个就是特色。
[18:09.460] 这就是中央对这个东西
[18:11.940] 他分对他们那种栗棕色颜色，其他。
[18:17.630] 你是想让这浅色的洞没有。
[18:21.260] 都没劲了，锁二手车。
[18:24.920] 这不是咱们先说咱们作罢，还有一块。
[18:28.760] 好这么好过。
[18:31.610] 08年你知道吗？
[18:34.490] 委托326万，谢谢。
[18:39.640] 作为这车怎么还这么高？
[18:44.080] 刚才
[18:45.560] 最后
[18:47.540] 还是500的话，还165万的外债，
[18:52.560] 百那一百二六肯定是买的S4502安排
[18:58.350] 这样子。
[19:01.950] 车主接受这的。
[19:03.710] 不是就咱们店收回来的。
[19:05.680] 没认证什么？
[19:07.930] 后门要是发生拿走是不是？
[19:12.290] 什么前后不知道，我不明白固定就这样。
[19:20.720] 谁知
[19:25.700] 其实给卖了。
[19:28.600] 对17年了。
[19:33.010] 今年卖的话就像个人
[19:35.780] 应该后面这一年三年了，
[19:39.840] 不能刚才我们找了到三年来。
[19:44.710] 好勒可以。
[19:46.270] 既然是这样，那到时候或者不放东西了，碰头什么样的顺便
[19:51.870] 往前放平往往往后放，我前面没有用碰撞，
[19:57.360] 我只能往前放，便只能往前走。
[20:00.190] 的对，看看这篇把这事就是说
[20:06.930] 他的
[20:08.440] 都养了。
[20:10.090] 这个朋友
[20:13.180] 在哪里？
[20:14.930] 哪里？
[20:17.100] 你这么躺着只能这么躺着知道吧？你们到后面躺着，他说不出来了，不能放东西了。
[20:27.710] 你看我的话，你不能这么多点简单的
[20:35.240] 尤其他了
[20:42.130] 被子
[20:43.740] 休息一下。
[20:45.470] 场。
[20:57.000] 所以合适。
[21:02.240] 只要这个没问题，相信现在这个季节里其实卖的不好的，
[21:06.720] 也可以不要钱。
[21:08.740] 在中青院里头卖多少？
[21:11.130] 你跟我还是卖了多少钱？
[21:13.430] 你想好多买客户的跟进差个4万块钱，多少差5万块钱，
[21:18.530] 但是你看配上用药做工怎么可能还要好的，这就能买300，不能买12604260，
[21:25.210] 300的功率大三
[21:27.250] 20房屋的这东西，
[21:35.950] 还得上高速还得跑，
[21:38.240] 把东西稍微强点。
[21:40.220] 跑长途的话，您发动机有劲还是要好一点。
[21:43.200] 多少？
[21:44.640] 看后边吗？
[21:46.710] 你整个不来是吗？你这等等，但是这等就切等了。
[21:52.200] 将C说白了，基本上厂家没有这类的，虽然没有这类的还是网络。
[21:59.150] 对。
[22:03.830] B
[22:07.680] 谁知这一点，
[22:13.920] 张
[22:18.530] 数据
[22:25.640] 了
[22:32.090] 的
[22:33.460] 了。
[22:48.840] 场
[22:52.510] 在里边。
[22:55.910] 三
[22:58.360] 的。
[23:00.790] 三
[23:29.560] 腰部支撑，
[23:36.370] 对
[23:40.350] 花、
[23:42.390] 花、
[23:43.710] 坏、
[23:46.040] 花、
[23:47.220] 坏、
[24:09.100] 数据
[24:12.580] 一
[24:14.800] 场。
[24:19.250] 场
[24:23.090] 场
[24:24.630] 的。
[24:27.470] 不会错的。
[24:30.530] 最
[24:33.540] 最普遍的话讲，
[24:36.200] B还是不太成熟，
[24:38.540] 交臂反正心上也是比较流行，起码外观样式这几年不会变。
[24:44.410] 他等于是这么开始了。
[24:46.510] 05年
[24:49.710] 15年上的吗？
[24:51.670] 虽然说现在还卖得很好，没有大概的计划，但是
[24:55.250] 按时间算的话，我估计也就明年后年对不对？
[24:59.080] 现在不会是坏人吗？对为
[25:02.380] A
[25:28.150] 置换补贴就没有了，因为您等于就没有置换了。
[25:33.290] 不能知道吗？
[25:36.070] 对。
[25:37.640] 对是这样。
[25:39.060] 因为这个是厂家普遍的现状，您没有置换，然后他就没有相应的增长
[25:45.720] 了，相当于您就拿着现成的指标来买，或者是类似于中天这种原来就没有市场了。
[25:53.270] 对，而且还有一点，
[25:55.870] 要是而且还有一点你可能没有问到，
[26:01.030] 您是09 09年。
[26:04.940] 对09年的就是问一下国四的，因为现在好多地方应该都签不上去了。
[26:14.660] 对您问问因为这种车型的话，基本上好多地方为什么好多车最后都便宜到说没法卖，是因为它的市场越来越小，
[26:25.150] 好多车你像基本上你外地迁不回去了，你哥北京来回买卖的话说白了，本身这种二手车
[26:31.830] 可能需求就没什么人在买这种车了，
[26:35.310] 所以说它的价值才
[26:44.910] 理解。
[26:47.710] 对吧？这个理解，因为我们
[26:50.020] 遇到这种东西太多，
[26:55.410] 也没办法，咱们国家咱们国内这种
[26:58.650] 价格说白了多少东西，其实都是人工国家的这种元膏反馈。
[27:05.200] 如果没有环保的要求，你说这车你比如像什么
[27:09.320] 什么国外活塞，现在这产品报废没那么强了，
[27:12.510] 你要来置换，你比如说03年04年，
[27:15.610] 车可能还很好，用的也不多，
[27:17.820] 但这时候为什么
[27:19.660] 国家也没有补贴，现在除了国三公里花了都没
[27:23.320] 到店里置换，说白了给你们置换补贴，就车头前方，
[27:27.640] 但是他那种车要保留，你一定得问一下当事人能不能迁入。
[27:33.470] 对，因为
[27:35.300] 您就
[27:36.990] 是吧？
[27:37.850] 时间
[27:39.500] 你直接用
[27:42.190] 你可以先让家里老家问一下，就你拍个你的行驶证的照片，
[27:47.260] 然后给传过去，让他问一下当地的消防。
[27:50.640] 如果要是当地司法所说可以，这车还可以迁入，其实你想想确实
[27:56.430] 保留卖了多少合适您。
[28:05.870] 对这个是这意思，他如果要说当地签不了，
[28:10.230] 你这车说白了就
[28:12.480] 就没了。
[28:15.360] 因为我们
[28:18.450] 对
[28:21.560] 计较感觉。
[28:24.580] 我们天天碰到这看
[28:28.120] 了。
[28:31.150] 对，你先让他先问一下。
[28:34.980] 最后咱们再决定
[28:36.940] 号。
[28:39.260] 可以
[28:43.930] 上。
[28:46.990] 的
[28:53.870] 上
[28:55.720] 有了。
[28:57.200] 跟着客户跟丢了。
[29:03.900] 说。
[29:07.720] 这是不是跟介绍的价格差不多，跟江苏差不多都是40多万的这样。
[29:13.350] 这款全办其实
[29:15.120] 1~60卖40万，毛泽东
[29:18.050] 以300系列的都差不多，但是它有370的差不多。
[29:22.760] 4万多，就是你这车买的特别很漂亮是吧？
[29:26.910] 不是黑色的酒店，他现在就
[29:29.600] 贫困。
[29:32.480] 这种舒适性都没得说了。
[29:34.700] 这种输入性这里面又是轿车，又是什么呢？
[29:38.130] 看见了吗？
[29:43.270] 他在电机吗？
[29:44.500] 对他是1.5T+48伏电机，300是2.07高功率，
[29:50.590] 跟江C300一样都是193。
[29:53.890] 这个不能300万车友客户，
[29:57.590] 300的时尚型焊机差不多46万多，
[30:02.520] 然后豪华的话贵一些，豪华的话有48度4米。
[30:09.450] 对，豪华的话配置就比较轻，基本上跟小孩子差不多，后排的电路调节在地
[30:14.960] 抑郁，
[30:15.460] 柏林之声电动尾门几乎不是没那么快，
[30:20.160] 然后什么电动尾门感应后备箱门这块50多，
[30:24.680] 然后48万多40，
[30:27.440] 他指导价是4998，
[30:29.300] 时尚的指导价值四六万，差3万块钱。
[30:32.700] 一其实我刚才给你看看他的非常的豪华，
[30:37.150] 都给你买了台上K歌的
[30:39.080] C300的方法，对C300和花从来没有。
[30:42.770] 你们交涉上来交流，市场交C300可能要到C上海的花钱比130
[30:48.850] 100万，
[30:50.340] 好像不怎么高兴。
[30:52.320] 有一些动力方面可能看看对他是一个
[30:55.950] 低档高配，那个是一个高尚的
[30:59.640] 的
[31:00.890] 这样
[31:03.480] 你考虑一下。
[31:06.040] 没事，您琢磨了，对那个钱
[31:10.340] 要是换别的事情去不去，对都直接给您抵上去了。
[31:14.900] 就100分了，就算别人没看吗？万别的话就没了，因为您当时是定的等于是对可能跟你讲
[31:23.850] 只能给您做一个主号，因为车就1万块钱不了回家是吧？为啥？您的资源是已经给分配上了，然后您构成了办成了。
[31:34.690] 您是不好说了，要不哪不行是不好说话，现在我只能您先做这种，就是说是放处理，
[31:41.700] 当然后续
[31:43.040] 要不然是不买的吗？要不买了的话，因为当时那时候车都还没有给会上自愿的开销，那时候算是一项没跟你说清吗？
[31:51.840] 不是没跟我说，当时陈锐已经走了，离职的时候那时候您的资源就已经分配了，
[31:58.160] 你不是随时可以退吗？
[32:00.970] 按。
[32:02.560] 没有随时可以，对，就是说其实。
[32:08.500] 没有，因为转过来的订单是这种订单，因为他他跟我说就是说只是分买不买，买别的车都睡不睡。
[32:17.470] 今天跟您说的对，不是也后期你交接的话，对，因为我交接模式就转过来一个订单，但是这个的话我没法给别人给他这种情况好吧？
[32:28.740] 对您的公司是等于是一个你说已经给他分配上了，但是他当时今天把前天等于给您说的事情
[32:35.630] 随时都可以用，对。
[32:37.210] 不好意思。
[32:38.790] 我倒问他让他媳妇跟领导提前都说过，我说打过招呼，我就是说我们人家就说那个指标就是说没有下来还是不对，快怎么找到吗？
[32:49.570] 是你说到做到，后期我们不想买了，你不也可以吗？
[32:54.270] 没关系，咱们用中指，因为这东西不是咱们互相承诺的东西，
[32:58.810] 他如果说可以北京出来，肯定之前他属性我都问我这东西没关系，因为中号在系统我们是把这个东西给转过来，
[33:07.470] 但是这个东西我没法给您介绍张嘴鲜橙，我承诺完了之后，最后这边没办法也
[33:13.250] 没事，只要是如果说过的话，我们肯定因为作为我们销售来说不会给自己去上线。
[33:18.500] 但凡仙网红九中间你这样听老婆的时候，你问了吗？就先给我退了就行了，我就买了一个好好的，我待会给你了，
[33:26.240] 我买了我再到时候再给钱，行可以没问题明白你的。
[33:31.950] 我不了麻烦没问题。
[33:34.240] 我每天问一下。
[33:35.600] 对，因为正常的话就是在系统转过来这些信息，我现在没法给您
[33:39.760] 说很多，他这1万块钱，你说没事，我给留着他放了还别追究。
[33:45.950] 这东西说白了，
[33:47.080] 我们即使送下去的钱也过不到，我手里没有意识到。
[33:50.410] 他不是因为提前做好，我先把钱给了，我不知道运费没问题，问一下。
[33:56.550] 我到时候问一下。
[33:59.610] 家用电话你买车大家又把了打水漂，不费那钱是在明显。
[34:06.730] 是想想你意思，我理解方式是不是咱别去。
[34:11.780] 我当时给问题，因为我们现在说啥其实都了了，因为这个东西又找到信息上了，
[34:17.570] 因为我是需要您价格，我也着急，如果我们会听到是吧？我们要不进去了，我们了夜长梦多，把鸭子时间长了都休息不了了，麻烦了是吧？
[34:28.590] 好，你说联系了对了，我给您问一下。
[34:40.520] 打一下。
[34:42.080] 远。
[34:46.240] 场
[34:47.530] 的
[34:51.380] 场。
[34:55.200] 数据、
[34:56.800] 数据、
[34:58.270] 数据、
[35:00.490] 手
[35:06.650] 好谢谢。
[35:13.280] 数据
[35:15.430] 场、
[35:20.610] 我太天真了，我以为真的是我拿出来那些和里面旁边的
[35:29.400] 什么事儿
[35:31.290] 在
[35:36.770] 看着这是谁给泸山。
[36:10.550] 我北京打电话跟说明，
[36:12.180] 一会儿给我打电话说到底从来不用了，姑父近我是鞋卖，
[36:29.550] 明天
[36:36.070] 聊聊。
[36:37.330] 我上楼了。
