[00:00.000] 潘天寿。
[05:13.740] 巴掌卖合适。
[05:15.680] 瓜子。
[05:17.040] 您核算
[05:19.070] 是吧？
[05:39.400] 咱这车出去试驾去了，估计得20多分钟才能回来。
[05:43.120] 行，我先转转先干着看看。
[05:48.720] 反正也不能
[05:50.620] 咱们店没有那种东西。
[05:53.560] 咱们这没有。
[05:59.150] 其实我给您建议，您可以现在上网
[06:03.040] 找您当地的奔驰4S店打电话，先问问大概其多少钱，
[06:07.980] 对吧？
[06:08.890] 然后我再给您问问这边奔驰的我们店能优惠多少钱？
[06:14.180] 您看合适不合适了，您觉得合适的情况你就直接回当地了。
[06:18.740] 是对不对？
[06:19.690] 反正我到时候上完声乐的，
[06:22.830] 我今天来看，
[06:26.830] 咱们原来
[06:36.340] 您打全款分期了。
[06:38.650] 20多万的话500也
[06:42.920] 分期分期要利息低的话，才能说到你的眼形的内容对我合适。
[06:50.550] 反正咱分析不是现在没有服务费，对没有手续费的利息对。
[06:56.690] 对着利息的话也就他这车利息比较低，你要戴那种
[07:02.160] 首付50%，贷款18，院利率才0.99。
[07:06.260] 水库的最低点的吗？
[07:08.200] 再低就利率稍微有点偏高一些了
[07:11.470] 吗？
[07:12.140] 到时候看的多少，对，您问问当地看一下这个车怎么解决。
[07:17.840] 如果做分期的情况下，我这边还得看一下能不能给您办。
[07:22.620] 要上北京的
[07:25.490] 他不等。
[07:26.640] 谁知
[07:35.830] 现在就是想整个7度
[07:39.080] 别的品牌车看了吗？没有都没看这。
[07:42.570] 这个价位买估值还是
[07:45.630] 特别的合适。
[07:47.640] 反正最起码品牌在什么地方，
[08:00.400] 会有一个数据，
[08:04.660] 他们那种北京话受全国的
[08:07.790] 北京都受全国就是优惠价格不一样。
[08:11.740] 都能卖，这边咱们这边也能卖，优惠价格不一样。
[08:16.580] 你们床是。
[08:18.990] 对，你查那登记的才去。
[08:32.690] 如果外地交be my
[08:36.510] 卖，国外公司要卖吗？
[08:41.640] 没毛病上我又问过张晓一次不卖，
[08:45.040] 出去干什么？
[08:49.790] 啥时候？
[08:52.850] 月初好像记得。
[09:01.430] 公示价格会贵3万钱，
[09:03.880] 加3万块钱可能卖。
[09:06.150] 可能买吗？
[09:11.000] 可能不是我公民
[09:12.750] 突出重点，
[09:37.520] 或者B打工，
[09:38.830] 打算
[09:41.470] 早盘时间
[09:42.630] 还重点。
[09:45.630] 我靠不是吧？
[09:47.140] 客户带走了。
[09:50.110] 除了没有。
[09:57.150] 拿什么去？
[10:07.720] 如果你不到重点，
[10:10.650] 明天就上班。
[10:18.170] 不过也不错。
[10:32.310] 完了咋说？
[10:43.110] 过去一下。
[11:28.640] 浪费我一张名片。
[11:40.410] 看。
[11:59.910] 没找了？
[12:02.010] 大
[12:27.020] 没过去。
[12:46.120] 要
[12:48.190] 了。
[12:54.120] 为了你看看
[12:56.500] 张看
[13:05.360] 被告
[13:06.680] 我已经没动过了一个小时。
[13:16.490] 我等客户走了，
[13:18.470] 刚才在门口打电话打到没影了走了。
[13:25.040] 早晨
[13:29.030] 快
[13:37.290] 木木游走。
[14:00.000] 场
[14:01.720] 五
[14:04.930] 的
[14:09.120] 手里
[14:12.640] 什么？
[14:21.590] 这不有吗？都给您发10张。
[14:36.540] 没发过去。
[14:37.780] 你这是假的话，有时候接待过你们吗？没有，说你做东西怎么称呼呢？
[14:44.320] 解说音6位电话，138
[14:48.320] 101
[14:49.680] 1276。
[14:50.760] 有特别要看车险吗？
[14:53.130] 表示后来那个号码尽快给你安排，我
[14:56.790] 大概有5左右。
[15:00.470] 第二说没了吗？还是热的？
[15:02.660] 的。
[15:04.190] 深圳有没有具体20分钟以上的二分钟？
[15:08.770] 王庄后背门挨着
[15:11.640] 的。
[15:12.800] 到时给你打开行，您先安排吗？
[15:21.960] 还有致残这种人了，我
[15:27.350] 完了
[15:28.380] 我等客户在外面打电话，
[15:49.350] 里边有油浇在对。
[15:51.360] 后边有事。
[15:52.840] 没机会了，都卖了这么多是吗？
[15:58.510] 连麦都没挪。
[16:03.880] 这客户还进来不进来？
[16:10.510] 怎么回事儿？
[16:12.790] 我那个朋友那边
[16:14.980] 海口走了。
[16:17.470] 后一了，第二完毕。
