[00:00.000] 020年7月16号
[07:05.020] 咱们到虚线之后由于就刮了梅雨，他不瓜的大小他自己去调整，
[07:10.650] 两个曲线的区别，密集点的敏感一点也不太敏感。
[07:14.770] 然后银色的按键咱们使劲按到头之后是喷玻璃水，
[07:18.530] 然后左转向右转向跟普通桌都是一样的，
[07:21.410] 往怀里是调远光推出去远光常亮，
[07:24.810] 光盘调整在这，
[07:26.310] 上下
[07:27.240] 前后4方位调节，
[07:29.310] 这一下方向。
[07:31.290] 然后
[07:32.320] 这三个小文件是控制咱们中间这块屏幕的，
[07:35.440] 小房子点上之后进入一个主界面，就是一个触摸的，可以去哗往下按是确定，
[07:40.740] 然后上下翻看您需要的信息就可以。
[07:43.790] 底下这有两个功能，网上是定速巡航，萌下是限速均衡，
[07:48.610] 定速巡航从30卖之后才能启动，到250迈可以定制，咱们自己需要一个速度。
[07:54.610] 比如说您跑高速跑到100了，
[07:56.910] 这边灯杆往上一推，他直接定到100了，不用给油了，一直包在100钱，
[08:01.560] 中间往上推一下，加时卖往下拉下捡拾卖，如果想解除踩刹车就可以了。
[08:07.650] 往下是限速功能，咱们一样是开几家，我这一推他有小箭头显示你能看到吧？
[08:13.070] 他从20迈开始启动一样往上推家是卖，我想拉减持卖，
[08:17.040] 限速。
[08:18.400] 比如说咱先定20，你油门踩到20这个就上不去了。
[08:21.890] 就到20为了防止超速
[08:24.400] 解除的话，推到定限速自然就解除了。
[08:28.310] 然后我上这边给你讲，他那边可能
[08:31.170] 没事您就。
[08:40.640] 包我先给您搁中间。
[08:57.640] 没事。
[09:14.110] 你知道出口
[09:23.440] 你在哪？
[09:28.960] 我过来稍等一下。
[09:33.620] 你跟他说。
[09:34.770] 往往这边走一点。
[09:36.400] 你给他找上访，他找板板的对面，
[09:49.450] 了。
[09:50.850] 接人家了。
[09:53.040] 接着
[09:54.240] 了。
[09:58.240] 身份证给
[09:59.990] 给我打我的。
[10:02.360] 为什么到我去？那我是本人吗？我说是
[10:07.670] 照片您把口罩摘下，我说行整行那个牌子也出来了，要不是本人还麻烦，
[10:16.600] 他还是必须让本人去，我后来问了一下，我说本人要是要是怕了，这样你踏实了，牌子选完了等着牌子去，
[10:25.800] 这女的基本弹我一下我妈两点
[10:29.870] 是我说操都这点了才来3:10才来。
[10:33.960] 保险乱七八糟的确认了快两小时了。
[10:52.080] 数据。
[11:01.960] 二
[11:22.120] 数据、
[11:23.760] 数据
[11:24.880] 场。
[11:27.790] 的
[11:29.840] 句
[11:31.760] 的。
[11:56.780] 我接着给您讲。
[11:58.400] 然后您讲一下咱们电子档杆，
[12:01.120] 踩住刹车之后往上推到头是倒车，往下拉到头是前进，摁一下银色按键就P档停车等。
[12:07.760] 电子档杆有电子保护，不管您是挂前进，
[12:11.680] 要不坐在里面办公，
[12:14.240] 不管您是挂前进还是倒车，只要开主驾驶车门，他自己会回到P档，为了防止溜车的，
[12:19.680] 然后咱们中间这块屏幕的控制，通过这三个小文件去控制小房子，点下之后进入一个主界面，
[12:26.230] 这个触摸板可以走去华，
[12:28.280] 往下你就确定可以看车里边你需要看的一个内容，然后音量大小调节着。
[12:33.770] 可以去调节，
[12:34.780] 这样也可以接受。
[12:36.510] 静音的话咱们往下印它就静音了。
[12:39.160] 然后多媒体可以连接上你的手机蓝牙去定格或者插U盘都可以让U盘接口打不了。
[12:46.690] 还有两个U盘，接口用哪个您自己
[12:49.320] 插哪个就行了。
[12:51.020] 然后车辆的设置里边我就帮您设置好了，
[12:54.690] 然后里边有一个氛围灯您可以自己去调整，自己喜欢颜色一共有64种颜色，
[13:01.090] 中间颜色把它可以去调，看得更清楚一点。
[13:04.770] 然后车辆的设置里边安全带预警在咱们微检也同时做一个轻微的调整，
[13:10.020] 坐车的时候会有一个中空的反馈声音，
[13:12.670] 然后门锁落锁车的反光镜会自动折叠，门所作所是车跑15迈以上，它自动就摸索了。
[13:19.290] 然后这方面出入需要打开吗？
[13:22.880] 你没完车之后房门会自动上升，所以往后走方便您上下车上车通电它都变回来了。
[13:28.750] 你说这个事也是要在程序里面设置了，对，如果您需要现在我就帮您设置好就行了。
[13:35.020] 您面完车之后放在盘会上升，座椅往后走方便一下车，
[13:39.000] 上车通电之后突破都变到您的位置，
[13:41.980] 就变到您现在设置好的一个位置就
[13:44.480] 可以
[13:49.120] 他室友也是带记忆功能的是吧？结合座椅，然后底下这一排都是控制咱们空调的，
[13:57.230] 左边控制左边温度，右边控制右边温度，是一个分区的空调，
[14:01.320] 出锋的位置，风速的大小，
[14:03.850] 然后自动空调前面挡风玻璃的除雾，然后这是后边的红玻璃除这个是空调同步，
[14:10.150] 按一下两边温度就变成一样了，变成分区空调。
[14:13.420] 然后内外循环不量的是外循环，亮起是内循环。
[14:17.090] 然后AC，压缩机冬天咱们可以把它关上，夏天一定让他晾着，如果不亮的话空调是不知道的。
[14:23.830] 然后空调的出风口缺口冲12通道处风重组是单独关闭，然后底下这排按键是跟他是对应的，
[14:32.450] 因为咱们车不带导航，
[14:34.750] 然后导航
[14:38.380] 囤积多媒体电话质量设置就快速进入这个功能，然后这个是咱们生产，
[14:44.630] 然后咱们车还带一个无线充电，如果咱们手机在无线充电功能的话，您往里面一放他自己的充电了动向。
[14:51.780] 然后这样是驾驶模式切换，咱们车有5种驾驶模式，
[14:56.160] 有1CEO节能，然后客户舒适，
[14:59.740] 然后宋运栋在网上运动家还有一个自定义，一般咱自己开发到舒适就可以了。
[15:06.190] 搜索对C开头com舒适可能条的，
[15:11.100] 然后这个是所有雷达的关闭一下红灯要起诉雷达就都不想了，
[15:16.160] 上电脑起手机就可能会用到，因为他利用你机器特别近，他往下跳，所有的都关注，对，比如说您停车的时候不是离得近了之后滴滴滴响吗？提示您吗？如果这亮起红灯之后他就不想了。
[15:29.960] 平时不用去管他，然后这个是自动泊车，按一下之后咱们以30迈的时速往前走，
[15:36.560] 如果有适合这车停在停车位的话，这会显出了一个停车位里边画一个P
[15:40.880] 这个时候咱们把车停稳了，小黑的按钮按一下确定，完还到等车会帮您自动停进去。
[15:46.700] 但是这个功能如果能自己听话，个人建议还是自己去听，因为他这个功能对刹车片的磨损会比较大，
[15:53.230] 然后这是自动启停踩刹车车或临时熄火给邮车着了，为了一个节能减排用，
[15:59.750] 用的你就开着，不用您上车给它关掉就行了。
[16:02.700] 这个是什么意思？您踩刹车车会临时熄火，
[16:06.840] 您给刘春会启动，对方便，您等红灯的时候行人
[16:13.010] 然后这个是咱们这块屏幕的一个开关，
[16:16.080] 然后这一排都是咱们的灯光控制，左边阅读灯牌货车在这儿，
[16:20.100] 右边就登在这边。
[16:22.530] 然后咱们现在开门的时候不是里边灯都亮，然后关门是东面灭吗？如果你把它摁亮之后，开门的时候东西不亮了，
[16:30.010] 然后这个是控制咱们这一排灯，
[16:33.790] 然后这是控制后的灯，
[16:36.550] 这两个是梅赛德斯me的对应两个人接到，回复之后会帮您去开通，开通完了之后这个me标识出去之后会打出奔驰A242电话去，
[16:46.110] 电话通了之后可以订酒店订机票，奔驰租车平时TV道路救援这些车没水没油没电了都起来去打电话。
[16:54.080] 然后SOS是应急的，N通知后连接后台都是连接120，GPS直接定位，这是应急用的，平时咱们也去问了，
[17:02.530] 然后适合咱们糖进来的地方，
[17:04.640] 然后天窗跟张莲都送他一个去空着，往后楼下先开张莲，张莲完全打开之后，咱们网上按时上翘，
[17:12.720] 往后楼市打开，
[17:14.790] 如果在打开同时想停的话，咱们一下停了，不问庭就开到最大，
[17:19.760] 乐观的话等会下来一下就关上。
[17:22.120] 全都关好之后，同样动作咱们再
[17:26.120] 张靓颖
[17:27.640] 他前后是同步。
[17:31.820] 别的您看看哪方面需要再了解一下。
[17:38.720] 就先了解这个车等等。
[17:43.520] 光对，然后反正后期待会我会把我电话跟微信都给您，后期我明白您随时问我就行。
[17:57.520] 咱回顾还有手续要办完之后一块给你。
[18:04.560] 然后
[18:07.310] 现在还有什么需要走，现在就回复给您开通。
[18:11.170] 智能互联网、
[18:12.280] 然后把三。
[18:13.370] 包给您添了，然后把二把钥匙给您就行了，然后您不见开走往煲一会儿您的销售去给您办临牌。
[18:19.490] 明白，回来您开始走就行了。
[18:22.510] 临牌能现在就去办吗？他已经去给您办了。
[18:25.870] 对都不是我去办。
[18:32.790] 因为他得有保险才能给您办临牌知道吧？把临牌早点走。
[18:38.250] 我把
[18:45.830] 来咱屋里边。
[18:47.200] 对。
[18:54.220] 对，如果您要是现在不进的话，在到时候从这绕一下。
[18:59.930] 咱这边
[19:03.660] 男女士咱这边做，
[19:05.680] 然后把您的身份证给一下。
[19:19.560] 场、
[19:23.760] 了
[19:25.220] 场
[19:28.920] 场
[19:29.820] 的
[19:34.160] 身份证。
[19:39.290] 数据
[19:41.310] 饮料厂
[19:46.570] 两句
[20:04.110] 刷
[20:05.210] 两个事儿，
[20:06.820] 一个是今天这肯定办不完了，
[20:08.900] 因为这5:00已经5点了，保险现在还正在出着。
[20:14.640] 还有一个就是刚才保险计算的时候，你刷卡少刷了125。
[20:19.660] 对，回头到时候你看不给财务还是怎么着，明天就过来取车的时候我来补就行了，您
[20:26.110] 取钱也取不了，你没有临牌。
[20:29.270] 最后一个环节是办临牌，等于说现在保险没出临牌也办不了。
[20:38.870] 早来半个小时没问题。
[20:41.830] 后边这保险这块的话耽误时间太长了，将近一个小时的保险确认。
[20:46.740] 明天
[20:48.980] 主要我不太方便请假，明天休息吗？
[20:54.980] 都行，随时。
[20:56.710] 我这边明天
[20:58.510] 今天不是办不了临牌了，明天一早我先把临牌办好了，您什么时候来开始，您什么时候来开，什么时候开走就行。
[21:04.990] 随时或者说你委托朋友过来给您拍都行。
[21:08.160] 这话不
[21:09.480] 过程的，
[21:11.570] 谁知
[21:14.130] 那车完事我觉得还不错了，对，二把钥匙出来就给关上了，对。
[21:21.350] 我刚才还让办临牌，不是现在还没有下班吗？
[21:26.460] 他们现在则是明天我还得跑一趟。
[21:31.280] 是在我早上我跟你约的时候就跟你说了，他临牌的时间是
[21:36.680] 下午的16:40，
[21:39.720] 钱全是自己做，然后早来你要按照2点来的话应该没什么问题，早一个小时，
[21:45.650] 哪怕说保险多确认一下也都没问题。
[21:48.720] 等于说是3:00 3:00多才到。
[21:51.220] 然后保险咱们缺花了太长时间了，保险
[21:55.310] 你多多两三个。
[21:57.830] 不着急不说。
[22:05.300] 数据
[22:07.820] 远远
[22:10.390] 的
[22:12.610] 了。
[22:15.470] 场
[22:16.670] 点验证码，
[22:19.520] 验证码121337。
[22:26.200] 第
[22:30.650] 六弟
[22:36.210] 的。
[22:40.670] 对
[22:44.840] 的。
[22:47.730] 数据
[22:50.520] 场
[22:53.660] 场
[22:56.500] 数据、
[23:00.970] 场场、场、
[23:06.080] 哥哥
[23:14.470] 花
[23:21.320] 手机号
[23:24.050] 的。
[23:27.060] 的
[23:34.530] 的
[23:39.830] 的。
[23:42.600] 坏数据
[23:45.350] 场
[23:47.140] 的
[23:49.070] 的
[23:52.990] 点
[23:57.120] 数据
[23:58.920] 数据
[23:59.790] 场。
[24:01.090] 场
[24:06.010] 话
[24:07.060] 数据
[24:08.430] 场
[24:10.400] 为
[24:30.160] 远远
[24:33.290] 的
[24:34.640] 场。
[24:39.250] 数据
[24:44.640] 远。
[24:49.010] 场
[24:53.240] 数据
[24:55.720] 的
[24:57.180] 的
[24:59.370] 临牌打出来。
[25:04.530] 不是打不出来，临床已经过了办理时间了。
[25:07.840] 你提前报的。
[25:11.430] 他
[25:13.030] 除了发票，除了保险用发票和保险去办理，比如说保险，
[25:18.020] 刚刚确认了，
[25:19.490] 现在已经超过他们办理临牌20分钟下班了。
[25:29.180] 数据
[25:31.490] 的
[25:34.030] 一
[25:37.900] 数据
[25:43.960] 号
[25:50.550] 的
[25:52.210] 数据
[25:55.050] 场
[25:56.480] 数据
[25:58.560] 数据
[25:59.950] 场。
[26:03.430] 场
[26:07.140] 场
[26:10.280] 我这边谁知后就没事了，你可以走了。
[26:20.490] 对，以前没有手机下载东西。
[26:23.920] 能不能查询车辆状态？
[26:26.720] 手里有点
[26:29.730] 装修宝典2:00
[26:33.580] 到
[26:34.640] 到了
[26:35.920] 上
[26:36.940] 坏数据、
[26:41.000] 数据。
[26:41.840] 数据
[26:44.140] 场。
[26:46.410] 740883。
[26:49.280] 数据。
[26:54.300] 数据
[26:56.840] 巧
[27:03.330] 点。
[27:09.950] 的
[27:14.790] 五
[27:17.440] 韦女士您这样拿着身份证口罩摘下这张照片，
[27:32.600] 好勒，是不是您说话我这边不用了。
[27:37.290] 说不会。
[27:39.530] 还不走没赚不到凌晨1点。
[27:43.540] 看。
[27:52.890] 那个是不需要注册的亲爱的。
[27:55.560] 对咱们直接退出就行了，他现在正在帮您注册分配车辆，一会咱登录就行。
[28:02.030] 反正您把这软件先一下，从您的X我直接把那个东西
[28:07.530] 开始。
[28:18.380] cc
[28:19.440] MSCCS
[28:53.550] 咱们客服怎么做一个简单的面？
[28:57.040] 然后女士是
[29:05.990] 0
[29:12.680] 今天交车时间。
[29:18.730] 然后您看短信里面我给您发了一个机会吗？
[29:35.510] 的
[29:49.860] 给您做个阅法，您
[29:52.340] 整体销售流程您还满意吗？
[29:55.320] 今天车
[29:58.470] 一临时车牌用宝洁时间长，
[30:04.290] 您整体交车流程还满意吗？
[30:07.980] 对。
[30:09.130] 我不了解。
[30:13.000] 对你说关键是还满意吗？
[30:19.260] 没有。
[30:21.480] 我们对您的承诺都兑现了吗？
[30:25.940] 给您的成功什么东西吗？在上？
[30:29.590] 您还会推进亲朋好友保守电吗？您会推荐新朋友来我们店吗？
[30:36.960] 还好，谢谢您这是重复还是置换？
[30:41.000] 没事
[30:42.290] 的。
[30:49.530] 来问一下您有什么爱好吗？比如说像
[30:53.020] 卡丁车或电影或者打球之类的。
[30:58.300] 要澄清电影的。
[31:04.770] 没有。
[31:07.010] 我们是从事什么行业的？谁知
[31:16.280] 来这边我给您做个介绍。
[31:19.040] 肯定不是问题，他
[31:22.480] 这个是我们这服务公约有没有对你强买强卖，您签一下。
[31:30.510] 在这看一下
[31:32.480] 的
[31:34.170] 场。
[31:42.610] 场
[31:44.600] 远
[31:45.560] 复印件，谁知。
[31:51.870] 还有几分？
[31:55.830] 稍等。
[32:01.730] 上
[32:04.090] 走
[32:12.720] 你怎么不把手机给扔了？
[32:56.540] 数据
[33:12.250] 场、
[33:14.480] 坏
[33:22.550] 的
[33:25.600] 的
[33:27.000] 场。
[33:28.200] 场
[33:29.900] 数据
[33:31.640] 数据、
[33:36.320] 远场
[33:44.010] 的
[33:47.870] 花、
[34:43.520] 的
[34:45.230] 坏
[34:55.160] 的
[34:57.170] 二
[35:05.590] 场
[35:11.890] 花。
[35:16.220] 花。
[35:27.030] 的
[35:28.740] 的
[35:29.950] 的
[35:31.960] 数据。
[35:52.460] 的
[35:55.890] 数据
[35:59.340] 活动比较
[36:12.040] 数据
[36:12.740] 数据
[36:15.700] 数据
[36:18.510] 价值观。
[36:20.050] 上海有几个概念，
[36:26.560] 6块
[36:29.670] 形容
[36:32.230] 数据
[36:34.310] 数据、
[36:37.580] 数据、
[36:41.450] 的
[36:42.970] 的
[36:46.470] 远
[36:49.830] 远场
[37:01.490] 骑摩托车。
[37:05.010] 抓
[37:08.280] 事业，
[37:14.560] 号
[37:19.050] 咱俩
[37:20.980] 了。
[37:26.250] 3号。
[37:30.290] 33。
[37:32.400] 今天
[37:35.390] 三
[37:39.280] 号。
[37:41.530] 31号。
[37:45.120] 从今天开始。
[37:47.120] 4
[37:49.640] 33。
[37:53.490] 一
[37:55.280] 31号
[37:57.130] 的。
[38:11.460] 的
[38:14.650] 的
[38:16.750] 坏数据。
[38:18.960] 数据，
[38:20.530] 坏
[38:22.530] 的
[38:24.050] 的
[38:26.750] 数据
[38:30.770] 场
[38:32.000] 快
[38:35.050] 数据
[38:41.260] 讨厌了
[38:52.250] 了
[38:55.040] 20
[38:57.370] 的。
[38:59.760] 三
[39:04.530] 三
[39:06.440] 保险
[39:10.400] 上三
[39:13.160] 一会儿。
[39:19.240] 他说没有，
[39:22.080] 结果店铺
[39:28.670] 改
[39:40.610] 的
[39:45.150] 夜
[39:47.030] 的。
[39:48.510] 的
[39:54.210] 您帮我签几个字咱就完事了。
[39:57.840] 您帮我签一下。
[40:05.310] 然后发票一共40天都给您开具了，保险给您出了钥匙，一共两把开口都会给您。
[40:10.510] 三包给你签完了在这儿，
[40:12.620] 往往新手册在车里边，梅赛德斯me帮您开通了，
[40:16.180] 然后没有退出工具，三脚架在车里边，灭火器现在反光背心，
[40:21.610] 然后急救包在车里边，然后如果都没有问题的话，您帮我签个字，然后把这句话就帮我抄一下。
[40:33.160] 就是本人从本人到确认无误，
[40:44.300] 开会。
[40:51.400] 倒是充满电开会。
[40:54.610] 宠物店没
[41:02.150] 然后跟您说一下三包的原件在这儿。
[41:06.320] 咱们车是2020年7月16号今天给您开具的正式发票，从今天开始车三年不限公里数的一个质保，
[41:12.750] 原件给您，复印件给您报千字也行。
[41:23.760] 您帮我签一下。
[41:29.050] 好勒，然后那软件您下完了吗？我告诉您怎么争。
[42:19.490] 账户是加号86，您的手机号密码是大A小A123456，
[42:29.880] 我把她刚才跟您说的账号密码给你发的微信，
[42:35.620] 七
[42:38.550] 00
[42:40.500] 八
[42:42.840] 39
[42:51.720] 登录进来之后今天用不了，得过24小时之后才能开到车的一些情况，
[42:57.280] 能登录进来
[42:58.750] 就行。
[43:11.690] 现在他这不是还都是什么都看不了了吗？等明天之后由这种虚拟的变成实质的图就能用了。
[43:18.400] 然后底下
[43:20.050] 小摊号小水滴车辆实时定位。
[43:23.070] 知道您加我微信，后期不明白您随时问我。
[43:26.890] 我要
[43:28.750] 为
[43:31.510] 你关注洗手间，
[43:41.860] 你要么先找他开庭我吗？
[43:44.680] 来找你。
[43:58.010] 你们车回去吧。
[44:02.990] Bye bye。
[44:19.290] 这个是账号是吧？账号是我刚才发给您。
[44:22.780] 刚才您登录软件一般他会你要选择他免密登录90天，
[44:28.850] 可以选一下，它这期间的话可以免密一直登陆，我过一段周期以后
[44:34.050] 可能还会再重置，我把我电话跟那个信息已经发过去了。
[44:38.590] 我明白您随时问我。
[44:41.080] 然后后期大概过7天会给您打一个电话回访，
[44:44.860] 然后问您问题跟今天差不多，
[44:46.840] 也麻烦您都给我们打个满分，要不然我们这边真扣钱，谢谢您。
[44:51.530] 行，那车我就给您房库了，然后雨伞跟三包都给您搁后备箱了。
[44:57.310] 您下回来，我这里还有一把您带来的伞。
[44:59.820] 拿东西给拿过来就拿走是吧？咱一块出去。
[45:03.720] 出去您把这拿走，跟您说一下，刚才跟你说的保险
[45:08.180] 差了120块钱。
[45:09.810] 对，您看您回头到时候取车来在去财务部还是怎么着都行。
[45:14.120] 许嵩来财务。
[45:17.640] 现在就我下次过来。
