[00:00.400] 看看有意思，
[13:53.990] 好，你稍微等我一会我把送过去，咱们可以出发了。
[14:27.380] 你好，
[14:28.900] 找
[14:50.530] 下次你再等等一会我把车给你开过来，然后你直接上车就走。
[15:39.230] 生意上。
[15:59.200] 没事，您上车吧。
[16:01.710] 因为这款是标准的，可能空间上来说没这么舒适，但是发动机上来说差不多。
[16:06.930] 发动机是一模一样。
[16:09.760] 谁知
[16:13.910] 清洗好，一会稍等，咱们找一个合适的意见，我给您发功能，简单跟您说说。
[16:21.630] 现车多吗？
[16:25.930] 您倾向于什么颜色？
[16:28.320] 总部实力。
[16:30.370] 我说您回来给您查。
[16:32.820] 您是打算什么时间要？
[16:35.510] 这钱现在到7月
[16:38.490] 月底
[16:39.540] 在里面。
[16:40.770] 着急要先车上，您那个车。
[16:43.390] 这个问题有点大。
[16:45.180] 该换了。
[16:47.280] 简单跟您说说，然后回头如果你要给我买文池，我们会有轿车专员详细的都会跟您讲。
[16:52.690] 做一条是在这个位置，这都没问题，到高校D顺着那条就OK了。
[16:58.200] 然后后视镜交接是在这边，他先点亮以后咱们上下左右右边也一样，
[17:06.540] 方向盘前后高低是手动的着，
[17:09.790] 是OK，这应该跟迈腾差不多，
[17:12.590] 手刹是在这下方，然后这个岗位是在这才有坏道。
[17:17.290] 那就说往下拨到底没事对我知道。
[17:20.670] 咱就直接出发了，这都没问题，就OK。
[17:25.650] 公户的贷款是吗？
[17:27.900] 那法人是谁？法人是我父亲。
[17:31.450] 您父亲在北京吗？对。
[17:39.300] 都得需要您父亲这边来提供资料。
[17:41.960] 明白没问题吗？
[17:43.240] 好，没问题。
[17:46.630] 因为我们之前
[17:48.070] 好几辆
[17:49.250] 公司全部开始那就没问题。
[17:53.760] 您有两年三年回头回去以后找一个
[17:57.340] 工位，我简单给您介绍一下，到时候您看看。
[18:11.670] 这几个
[18:12.760] 点都是老板自己的。
[18:18.730] 他这个贷款是从银行贷还是？
[18:21.140] 奔驰的金融机构，我们首先推荐您肯定是哪个利息低，按哪个给您算，所以说你们比如说两年三年看您想贷多少，
[18:31.150] 然后根据情况看看更合适，咱们是奔驰金融也可以，然后是银行也可以，
[18:37.820] 银行可以待的时间更长，比如说20304050%，贷款期限2~3年，银行来说的话可以戴得稍微更长一些，可以贷到5年，
[18:47.430] 然后没有任何的服务费，
[18:49.620] 但是有利息一年差不多三年左右。
[18:53.150] 对，然后您用多长时间，比如说您用半年或者用一年，您可以提前还款，没有任何违约金。
[18:59.290] 对，银行给银行，但本身金融需要有违约金。
[19:08.620] 奔驰金融首付能做到20%，
[19:11.850] 20%，
[19:13.500] 但是需要提供资产类的证明了，
[19:16.450] 一般是30%的话就比较简单，
[19:19.090] 尽量是30%分。
[19:20.760] 但3年，但是奔驰金融没有5年，一般就是3年，
[19:25.460] 你要说30%贷三年不成，你就走银行就行。
[19:29.600] 银行来说会更合适一些，像首付低，我家在
[19:34.720] 正好卡在这个节点，你要说资质好，批到80%都没事，
[19:40.420] 也走银行。
[19:41.680] 我将来卖交易
[19:44.310] 办结了80多不到90，然后首付不到20就把车开走了，待了70。
[19:49.440] 他走口资质行，他走到银行的。
[19:54.600] 行。
[19:58.050] 订车的周期一般来说
[20:02.800] 看自己的情况，首先要先焯您当时交定金提交分期收取过两天就可以过来办手续了。
[20:09.470] 这是限制，如果说
[20:11.310] 还有一部分是我们在我们的裤边里，就是我在店里能看得见的这车，比如说
[20:16.320] 8月26号排产，
[20:18.710] 这种情况下我们能看见资源的话，差不多一个月
[20:23.180] 就能到店。
[20:24.590] 如果要看不见资源，
[20:26.100] 那就只能说您在干嘛，反正这样的话一般是三月左右，两三个月前都会给你赔偿车，然后到店
[20:32.510] 那个的也少。
[20:35.900] 多少卖的挺多的。
[20:38.510] 周末出去了就是那些则调。
[20:42.280] 然后加速过程中这个位置也有一样，对你可能体会到动物运动家
[20:47.970] 这些活动都有。
[20:50.350] 当场用SC说什么？
[20:54.970] 确实
[20:58.110] 我们确实
[20:59.270] 真的没感觉到了。
[21:01.500] 然后踩的也比较均衡，比较不是说要这样，你感觉身材一到现在，你会感觉到他每天有点
[21:08.800] 有点那种感觉，
[21:11.220] 是吧？还有这种提速建议，这是切换到运动，这样在项目操作比较快，
[21:17.660] 这样主播让找到
[21:19.600] 晚上开基本上C的时候我们就可以
[21:22.960] 了。
[21:23.720] 不过咱们有的变速箱是9速变速箱，所以说整体上来说还是比较顺畅的。
[21:29.240] 因为11年迈腾跟2.0T
[21:32.650] 涡轮其实特别一点，
[21:34.350] 应该是6层面增强。
[21:37.310] 没有。
[21:39.950] 基本上
[21:40.880] 就在这等红绿灯起步的第一小，没有反应空一点，然后才会慢慢跟我下来。
[21:47.220] 但德国车的设计特点来说都差不多，
[21:50.160] 到达本质一会你可以感受一下，他也
[21:53.480] 也有点延迟。
[21:54.720] 这种感觉对。
[21:56.040] 不能增加的可都是这样，比例也还好。
[21:58.800] 想要的来的挺快。
[22:02.880] 的
[22:04.240] 信息，
[22:47.020] 轿车保险验车什么时候到期？
[22:50.930] 10月份。
[22:52.150] 到10月份，
[22:59.560] 时间太长
[23:01.000] 了，牲畜也多。
[23:02.330] 差多少从里面是不是？
[23:04.380] 感觉没好看？
[23:06.210] 他公布可能有时候稍微一点，他摔的功夫其实都是自己打开，都是自己，因为当时上台一年上台时候个人不给上的。
[23:17.970] 公布了，
[23:44.590] 要介绍现代，然后调价走一回来，我们就
[23:49.050] 可能是
[23:50.740] 我现在已经出示了。
[23:52.800] 了。
[23:55.140] 放下还有个回弹。
[23:57.090] 好，其他都没问题。
[23:59.690] OK，
[24:16.250] 这个EQ是个
[24:18.600] 能量回收就是48伏，对。
[24:25.720] 像这种48伏，
[24:30.820] 他如果在后期换了它高柜吗？不会。
[24:35.530] 没事，其实就跟正常的车的马卡差不多，那家12伏启动玛卡，所以他俩成本应该都是差不多的差不多，对，而且都是享受正常的三包改为5个维护都没问题，他也是需要保养的，
[24:50.870] 基本上不需要保养。
[24:59.560] 是吧？
[25:00.630] 你太深了以后，你会感觉到她还是得需要
[25:03.710] 缓一下才能起来。
[25:05.860] 但起步的时候，
[25:07.710] 你别再深，你要踩深，像我刚才跟您说的，你切换到运动模式，这样能稍微的顺畅一些。
[25:15.260] 他首先能提起来要舒适模式，往往理睬身的话就会稍微的有点混乱。
[25:32.830] 咱们上桥，然后在下桥路居出口处，
[25:59.290] 因为我家在这边，我昨天去北边来看，北苑那边看了，
[26:04.760] 海南没有私家车，
[26:06.540] 还有
[26:09.040] 国家在田村山南路
[26:11.210] 他们也道歉。
[26:13.520] 所以我说咱们家门口
[26:17.470] 他昨天给报那个价是走到了9万块钱的时候，9万首付，
[26:22.290] 9万的首付，那优惠多少钱？
[26:25.920] 优惠还是
[26:28.430] 这块的架势，28万多的
[26:31.990] 3468
[26:33.760] 千286万多块钱不到7。
[26:37.060] 差不多。
[26:41.240] 大概38%应该是20 20咱们到那出就行。
[26:46.670] 每个月是还6700多袋三家，
[26:51.330] 就跟宋楚瑜
[26:52.270] 不知道你要走中国银行，
[26:54.480] 走工商银行
[26:55.920] 来对待5年可以20%，到时候我给你问问那大哥，您核实一下那个资质情况就行。
[27:02.930] 如果说您的征信各方面像您父亲这边都特别好，基本就没问题，
[27:09.640] 然后再制造就行了。
[27:27.110] 这种平常的经济模式的就是普通模式，
[27:30.800] 就温柔点，
[27:32.280] 推着车，
[27:40.950] 他这个轮胎也是防爆胎吗？
[27:43.000] 法宝。
[27:44.060] 被备胎了吗？没配没有备胎都打开了，都那样，你还可以继续拍。
[27:49.660] 这种轮胎多少钱？
[27:53.470] 2000块钱左右。
[27:55.100] 这4S店的价格如果要挖完可能会稍微便宜点，
[27:58.480] 一般三天都是2000多，咱这只聪明操炮院里头进，
[28:11.270] 他从那拐
[28:12.260] 这点
[28:40.060] 短主管多少钱？
[28:41.880] 三十一万三千八六百万。
[28:44.630] 咱优惠的少点应该大概是6万块钱左右。
[28:48.230] 如果达到二十五六万，
[28:50.400] 都能看出短轴标准的
[28:53.540] 要投的话就是和自己开后排空间可能输入性来说没那么好，
[29:01.250] 看着配置没桌面也高，比如说像座椅羁押进去。
[29:06.080] 对，直接进就行。
[29:16.980] 咱们前面这有转跟着那个车有关就行。
[29:20.520] 其他
[30:13.100] 带好您随身物。
[30:22.590] 应该快。
[31:17.240] 早8点。
[31:20.680] 我把钥匙还一下，然后咱们打工我给您算。
[31:36.640] 我就跟他说了。
[31:38.480] 就是为了给客户满意度，明白了吗？
[31:40.940] 要能让给她描绘
[31:42.260] 的特征OK你说。
[31:50.050] 30号。
[31:53.650] 第二
[32:18.400] 看看
[32:23.590] 看到。
[32:31.790] 颜色
[32:35.630] 撤。
[33:13.250] 二
[33:16.900] 数据
[33:19.610] 的
[33:37.320] 没事，您先看看哥也行。
[33:38.620] 我在那边工位我给您查查东西，给您算一报价，一会看完过来你找我去了。
[34:10.150] 今天早坏了是吧？
[34:12.790] 这中间我给你。
[34:15.500] 对，又订了有关一般。
[34:17.810] 不是后山不漏水了，你平反了。
[34:21.200] 进了。
[38:31.440] 这我过来给你签字了。
[38:52.400] 坏。
[39:04.430] 花。
[39:34.460] 能。
[39:39.830] 远远点差不多。
[39:44.100] 一样，谁知
[39:52.540] 行我知道了，好好了，拜拜。
[39:56.650] 我给你问了一下您这样用户的画作银行可以做中国银行。
[40:05.540] 中国银行。
[40:08.120] 作为银行做多少也一样，点数都是一样。
[40:13.020] 多少拓展？
[40:15.060] 我又给您算一个奔驰金融的吗？
[40:20.160] 我感觉合适，我看哪个合适。
[40:24.830] 不要考虑。
[40:26.120] 说一下。
[40:32.790] 你说。
[40:35.390] 他那个钱这么没事。
[40:38.940] 谁知
[40:41.440] 我给你的感觉
[40:43.560] 放弃
[40:48.210] 两
[40:51.500] 2万块，
[40:54.050] 30%。
[40:56.210] 20。
[40:57.320] 20 20，最后20贷三年8.63其实也还好。
[41:02.660] 1月还6000多是吧？那就做这个也行也不高。
[41:13.390] 也许
[41:33.640] 公开的分析，
[41:40.430] 但是你
[41:42.960] 品牌
[41:44.040] 跟
[41:45.400] 18块6。
[41:50.680] 你日本
[41:53.510] 我们应该的
[41:55.020] 了，价格已经算完了，然后做了报价之前还是跟您强调一下奔驰的服务空间，所有方案关键内容明码标价，公开证明全部房款销售销售消费就不适用在家里，工号40688188一些芥末了。
[42:06.860] 这个是全国统一饱览一番，简单给您做一个报价，C260L运动轿车，颜色外观没给您写，
[42:12.890] 都一样，厂商指导价346,800，我们现在优惠7万又完了，276,800，
[42:18.960] 购置税2万块钱的税，
[42:20.900] 你要是考虑在店里做装饰，我们13,800装饰，但这没有任何强制要求，可选择可不选。
[42:26.550] 本地上牌，
[42:28.050] 上面配有一个2500的验车，
[42:30.500] 然后人保、平安、太平洋，如果下边险种您都上了，差不多上全了大概1万块钱左右，如果您要店内成功置换给您4000的保险，
[42:39.380] 这样办齐了是309,795，如果您考虑13,800装饰是323,595，
[42:45.890] 然后20%首付首付是5万多，
[42:49.150] 但没有加税保险上牌什么的，浇完了差不多像您说的8万多块钱，
[42:53.750] 然后待202236期，利率2.63一个月还6000多D系一共17,000。
[43:01.100] 也不高，这个事挺高是吧？
[43:04.520] 然后您看整体价格给您算的所有报价的门口这个公式您有效，可以看看您看消息价格有没有什么其他问题。
[43:12.000] 这个首付是算上13,800的装饰过吗？没有，这5万多只是车款的是按照279,800的20%，
[43:20.930] 你还得加上购置税是2万多3万多，那就是9万9万不到9万，
[43:28.210] 再加上保险要6
[43:29.970] 差不多9万，对这78万
[43:33.750] 55,000加上24,000应该是78,000 8万8万加6860 86年再加上1万多900多块钱，
[43:40.950] 这个是不是不用抢准，你要选择做我们可以给您申请优惠，还是优惠多优惠点这样的问题。
[43:48.150] 然后您看看所有的报价内容有没有什么不清楚的地方？
[43:51.860] 没有这个报告。
[43:54.590] 2500是管我从就车上换下车牌，再到上到3000上再等等，
[44:00.860] 不然再见我这样。
[44:02.520] 怎么样2+2有的颜色有吗？
[44:08.900] 抱歉，您要找到检测了没有，这是不是对你要先说你要订再等的话，等到下个月的20多号，最近
[44:17.330] 下月28号咱们有多少，大概28号我也得交定金，然后订车先交定金，
[44:24.030] 然后您来定夺就行了。
[44:25.560] 8月1号才。
[44:27.830] 比如说您这块到店的话，8月中旬慢一点，8月底。
[44:34.280] 但是现在现车的话，
[44:37.430] 白色、月光石、辉、浩、沙云，
[44:41.950] 还有石墨实惠，
[44:43.930] 还有钙石蓝，其实拜师来你可以考虑，原来也不考虑。
[44:49.600] 反正现在目前就这么一情况，等到8月中然后定，如果现在订就把这东西天津大舅的话，应该来说现在目前没人定，你要是用在等的话，你现在考虑给它定下来，然后差不多的需要
[45:02.950] 下个月的
[45:04.090] 快的还是中旬，慢的话就大约20多号20多，对，反正一个月的排产基本差不多。
[45:13.530] 到目前就这一来说没错。
[45:15.690] 这一块就得看你个人征信，如果做到20%。
[45:19.860] 对，所以说您这要定完车以后，
[45:22.920] 咱们可以建一个群，就是微信加微信，然后跟我们金融城建群，交流群以后的话需要东西直接发到这里边，如果需要您现场配合的，您到时候您再配合一下，如果不需要的就更好了，你这种都可以不用面试的问题，我们现在运行期间分子内容这方面也都比较的
[45:41.190] 方便，比如说需要的东西传到里边就行了，但是这只是针对个人，但您公布这方面我们得需要给您确认一下，是不是这需要供货的代码证或者其他的一些东西，然后你需要您配合一下。
[45:54.420] 我拿上我可以商量一下小苗，你要是在
[46:00.250] 对这么多的
[46:01.410] 但是这个再说你要真考虑订的话，真的我们家现在就只有这一台车8月1号才能生产，你要觉得合适你可以先交1万定金买车。
[46:09.970] 后续的话等反正您离得近，您可以商量商量再比着急，
[46:14.000] 然后觉得合适您可以过来消费定金进行喝酒，这不是谁知。
[46:18.310] 对，然后没有什么其他顾虑了。
[46:22.420] 你给我写一下。
[46:23.970] 首付要准备的钱有多少？
[46:27.580] 下面
[46:28.460] 需要加礼包是吧？现在还是不见了，就这样。
[46:34.630] 光是就是这么个脚垫。
[46:37.050] 对。
[47:04.280] 88358835。
[47:06.390] 五。
[47:07.130] 根据双方合计一起在这儿
[47:09.320] 加上税保险研究上班的吗？
[47:11.870] 好，您再看看，然后价格下方是一个二维码进行服务公约，三年调研，到时您用微信帮我们扫描反馈一下好吧？谢谢。
[47:19.330] 谢谢没事，您开车来的怎么来？
[47:22.860] 您现在一场还不回来了，我现在立场说。
[47:25.640] 你别
[47:27.100] 院里有保时捷、沃尔沃、奥迪，
[47:29.610] 你要是想看别的品牌，你可以过会儿再扫。
[47:33.390] 他是要停车费什么。
[47:35.150] 咱们门口有一个停车马，回头到时候您可以扫一个马就OK了，这样就可以享受免费停车了。
[47:43.530] 没什么红色。
[47:44.760] 然后因为您这做的东西明天做好。
[47:47.860] 谁知
[47:51.530] 完了给你电话。
[47:53.590] 了。
[48:22.110] 您一会来走。
[48:23.160] 行，我一下就行了。
[48:25.280] 所有的电站之前都一块
[48:29.570] 讨论的感谢光明，然后就赶紧接待连接，好，谢谢您，赶紧来吧。
[48:38.230] 了。
[49:07.670] 就知道在哪。
[49:09.840] 从那边感觉进去了。
[49:22.130] 好了，收到马上到。
[49:42.920] 校长那进不去。
[49:44.360] 你从展厅近。
[49:45.840] 我跟您看过基本一样的一样。
[50:25.080] 您好。
[50:26.830] 没事，有事您忙您的也行，对，我们看完就赶紧。
[50:31.860] 日本说
[50:35.480] 好女儿因为确实挺诚信卡那块那款，要不你再去试驾试驾，看能不能再假一下，你再给我讲一讲，这是一个。
[50:43.810] 另外加完之后，咱们具体咱们有些细节谢谢再商量一下，行整个程序先把定金带来了，如果这没问题，我今天可以稍等我一下，要不你听妹妹如果你不现车吗？你跟老板商量4564价格咱们卖不了，我还想着我也想让你赶紧去找，说不过有个450的谁知，
[51:09.230] 四物流秘密，就我跟您说有一台现车您想要那个吗？
[51:14.290] 反正我觉得没什么。
[51:15.880] 工作，另外可以那样黑色外观。
[51:20.020] 然后黑色没事。
[51:21.640] 就有点类似，您那才是那款动感型的对不对？但是那台车不一定能卖，我看已经放了那么多。
[51:30.530] 放了6月份到了吧，6月份到店显示一直飙车，我得给您问问，不知道能不能给您销售。
[51:36.830] 不能没有，你看看能不能联系这试驾一下，你再给我几个我讲一下，我在给您讲一讲半个吃剩就行还是怎么着，您再亲自感受一下，对，您现在感受您的驾驶本还得给我用一下，
[51:49.520] 看看不适应，这是慢慢一点麻烦，这是形式版本这边的。
[51:57.610] 对眼睛都花了。
[51:59.900] 飞得慢点开好勒，稍等一会儿您。
[52:07.960] 三。
[53:03.920] 还没在。
[53:12.070] 别花。
[53:17.240] 数据、
[53:20.440] 回来了。
[53:26.630] 好了。
[53:30.670] 是的，谢谢。
[54:01.800] 电话。
