[00:01.070] 接车。
[12:16.680] 我就拿一下您的那个身份证，我对一下信息。
[12:19.520] 身份证对驾驶证也行。
[12:29.670] 马老师看看。
[12:31.320] 然后什么？
[12:33.480] 好。
[12:34.600] 嗯
[12:38.650] 嗯
[12:45.650] 啊
[12:47.050] 我们可以一起探讨一下。
[12:52.890] 嗯没有了。
[12:54.710] 场
[12:58.280] 嗯嗯嗯
[13:03.620] 嗯
[13:08.010] 嗯
[13:09.800]  no worry。
[13:11.670] 跳槽。
[13:13.310] 发现了吗？
[13:56.540] 您说一下您电话。
[13:58.260] 1370稍等。啊1370。
[14:01.140] 117
[14:05.680] 这个
[14:07.650] 1952是吧？
[14:09.290] 13701171952。
[14:11.960] 嗯
[14:13.190] 1958年。
[15:08.520] 您收一下您的证件帮我签个字。
[15:12.030] 啥也不让我看见2000。啊
[15:14.440] 呃待会我会给您看一下的，让让让您看一下单子。
[15:18.440] 嗯
[15:23.530] 这是一个外观的曲折单，这是。
[15:26.040] 啊嗯
[15:27.900] 等会我会给你讲一下，有异议没事咱可以改的。
[15:31.130] 没事。嗯
[15:34.920] 好。
[15:38.460] 或者是中间人说
[15:42.760] 能够让我们一个能够有所
[15:45.570] 对对方有错，嘛我们作为申报全部潜能，报价省钱的那个合同掉，
[15:54.230] 啊我们这些啊但是他可能会影响客户流量，
[16:01.530] 可能把他的这个
[16:03.590] 尽快的去办一下。
[16:05.850] 嗯
[16:16.880] 嗯
[16:21.190] 这是一取得单，然后那个这是车身的一些外观的伤，我刚才给您简单的给您标注了一下，
[16:26.800] 这是我的电话，有什么事你给我打电话就行。
[16:29.340] 现在呢我初步给您定到周一的下午。
[16:32.520] 唉不行，周一上午出差，刚才上午是吧？周三周四周五周六周日车。
[16:38.060] 周日晚上也行。
[16:39.780] 中日那车都是挺紧的，那是确实挺紧的，因为您这车还是amg，这车有没有配件我还不太确定，我只能是给您尽快。
[16:49.490] 中日确中日确实是盯紧，而且您这还涉及到报价，您看我们先跟您拆解拆解，
[16:56.120] 拆完之后我去给您报价，报完价之后我去保险公司去给您核损，核损完我们再给您修，因为这里边是有一个过程的。
[17:03.370] 你要说周日确实是挺紧的，
[17:06.130] 出来的可能性不是很大，周一上午。
[17:08.370] 呢
[17:08.840] 周一上午我只能给您催催，吧我让他尽快就是合作，完我给您打一电话，看您这边配件怎么样，因为这
[17:14.840] 对，因为你现在咱不拆解报价的，谁也没法给你确定配件的情况好吧？
[17:19.120] 就是后边那个如果你要是
[17:21.220] 不切，那椴扣不上，
[17:23.460] 那你还不让嗯行我这车间的师傅给说一下，然后那个
[17:28.190] 嗯切切的那个什么切，我到时跟车先核实一下，到底是切也好不气也好，那我到时候再给您回信好吧？
[17:35.910] 这是换告你不换杠再我再给您什么时候给我打电话，呀预计的话是明天的下午。
[17:43.170] 预计是明年的项目，对对对嗯那手续就办完了，那您就等我电话吧好吧？
[17:49.030] 嗯没事没事。
[17:51.740] 我呢尽快给您下单的，赶紧让他给您报价好吧？嗯
[17:55.610] 那您慢点啊姐。
[17:56.560] 嗯
[17:58.130] 嗯
[17:59.990] 啊一个人。
[18:01.710] 有
[18:02.710] 嗯
[18:04.690] 感谢大家
[18:06.830] 嗯
[18:07.740] 好。
